,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690,3690
ShareAmountCurrent,25924380000,25924380000,25924380000,60246505000,56763844000,56763844000,56763844000,56763844000,56763844000,56763844000,56763844000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,62440227000,60246505000,60246505000,60246505000
WKCurrent,6610,5310,5330,2150,5190,5340,0,5190,5150,5260,5230,5060,5080,5030,5010,5180,5200,5180,5220,5400,5430,5310,5560,5680,5760,5740,5890,5950,5350,5860
CWKCurrent,560,700,690,1710,710,690,,710,720,700,710,730,730,730,740,710,710,710,710,680,680,700,660,650,640,640,630,620,690,630
WKGrahamCurrent,-1920,-1830,-1330,-1460,40,-210,0,-300,-350,-480,-70,-230,-270,-470,-750,-1080,-1150,-870,-990,-1190,-580,-480,-560,-440,-250,-90,-30,380,-300,-110
CWKGrahamCurrent,,,,,101580,,,,,,,,,,,,,,,,,,,,,,,9620,,
PCurrent,150,270,320,400,490,510,210,250,200,210,230,720,1050,1090,1120,990,790,860,1500,1530,1730,1790,1370,2130,2620,2650,4440,4850,4500,6790
CPCurrent,24460,13450,11480,9130,7520,7280,17410,14660,18400,17390,16400,5150,3520,3400,3290,3730,4670,4270,2460,2420,2130,2060,2690,1730,1410,1390,830,760,820,540
ZCurrent,-1450,-1300,20,10,-10,150,110,-80,-60,-70,-100,70,120,-30,0,160,110,150,200,190,250,260,460,410,460,420,450,380,370,900
CZCurrent,,,177810,661640,,24290,34470,,,,,49540,29750,,,23130,33690,24210,18400,19210,15030,14110,7970,9100,8080,8800,8130,9680,10100,4100
