,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,2500000000,2500000000,2500000000,2500000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000,2700000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,9.69,58.84,7.94,61.61,,,,10.32,7.23,5.66,-7.39,-3.48,-1.43,0.95,17.01,13.76,8.71,8.44,6.25,1.02,4.58,1.63,-0.42,3.01,2.04,-24.68,-36.40,-31.74,-27.28,-9.34
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,9.05,-3.27,7.44,-2.67,6.00,-4.68,-5.83,1.44,8.26,-2.38,9.15,-1.38,3.46,-2.63,6.95,-6.23,7.09,-5.37,4.79,-3.00,6.08,-30.15,-11.52,4.12,13.01,-12.92
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
