,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
ShareAmountCurrent,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,83528750000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,8352875000,16703790000,16703790000,16703790000,16703790000,16703790000,16703790000
WKCurrent,3270,4530,6690,0,0,6150,7650,0,0,7040,7140,1310,0,1110,1020,1030,0,990,980,980,0,980,980,980,0,900,880,810,780,600,590,580,590,5870,5920,5790,6020,5700,5770,5700,5790,4380,4500,4230,4080,4180,2650,2650,2660,2640,2650,2640
CWKCurrent,200,140,100,,,100,80,,,90,90,490,,580,630,620,,640,660,650,,650,650,650,,710,730,790,820,1070,1090,1100,1090,110,110,110,110,110,110,110,110,150,140,150,160,150,240,240,240,240,240,240
WKGrahamCurrent,360,270,330,0,0,-90,820,0,0,-200,-120,590,0,340,40,260,0,280,270,280,0,310,310,310,0,320,320,260,230,280,270,230,250,2470,2410,2460,2420,2009,2029,1780,1930,1410,1340,1230,1120,1260,1170,1170,1190,1140,1090,1080
CWKGrahamCurrent,1780,2350,1950,,,,780,,,,,1090,,1890,15620,2510,,2250,2350,2260,,2080,2090,2050,,2029,1980,2500,2730,2320,2380,2760,2610,260,270,260,270,320,320,360,330,450,480,520,570,510,550,550,540,560,590,590
PCurrent,4880,4770,5130,5380,5560,5580,5650,5640,5710,5720,5810,560,520,500,450,420,410,480,600,720,880,970,970,990,970,1000,1010,1010,980,890,830,850,820,8050,8270,7860,7810,7790,7510,7260,7580,7550,7710,7440,6990,6410,2910,2630,2290,1990,1820,1830
CPCurrent,130,130,120,120,120,110,110,110,110,110,110,1150,1230,1270,1420,1510,1540,1340,1070,880,720,660,660,640,660,640,630,640,650,720,770,750,780,80,80,80,80,80,90,90,80,80,80,90,90,100,220,240,280,320,350,350
ZCurrent,1010,-60,110,120,140,250,1010,1050,1140,860,120,-20,-40,-260,-350,-300,-290,-120,-50,-50,-60,-20,0,-10,-20,-90,-100,-170,-180,-280,-270,-200,-170,-120,-110,-90,-90,-490,-470,-530,-620,-1440,-1420,-1370,-1340,-10,80,100,120,40,-10,0
CZCurrent,630,,5670,5380,4610,2530,630,610,560,740,5230,,,,,,,,,,,,651930,,,,,,,,,,,,,,,,,,,,,,,,8109,6440,5270,14540,,3563480
ZOCurrent,1220,-130,50,90,110,310,1060,1110,1220,990,230,-30,-60,-140,-150,-120,-110,-120,-120,-110,-100,-20,-20,-10,-40,-110,-130,-150,-140,-270,-260,-250,-230,-350,-310,-400,-380,-290,-280,-280,-380,-1850,-1840,-1800,-1780,-200,10,50,110,20,-40,-20
CZOCurrent,530,,11930,7500,5890,2060,610,580,530,650,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118780,12040,6020,26330,,
EVCurrent,570,590,700,640,640,640,640,640,640,640,640,650,640,460,640,640,640,640,590,690,640,500,550,550,640,570,630,590,620,600,630,630,600,290,300,210,240,460,440,920,670,300,460,710,490,410,260,220,180,220,260,350
EVPCurrent,120,120,140,120,120,110,110,110,110,110,110,1170,1230,920,1420,1510,1540,1350,990,950,720,520,560,550,660,570,620,580,630,680,750,730,730,40,40,30,30,60,60,130,90,40,60,100,70,60,90,90,80,110,140,190
