,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,123.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,32.17,36.49,86.57,,,,-15.54,-38.25,47.92,27.73,2.06,14.03,13.03,21.33,32.45,41.52,34.48,31.00,27.58,19.47,41.17,43.09,40.48,20.56,-18.05,-31.52,-37.42,-29.05,-13.51,-4.97,-0.13,-9.31,-8.94,-8.59,-5.97,0.35,4.55,10.31,7.25,7.51,-0.89,-6.08,-6.47,-5.11,2.34,7.67,16.66,20.50,18.05
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,30.38,-55.02,16.53,23.60,-4.68,7.74,0.62,-1.24,6.50,6.80,8.00,7.82,13.79,1.49,5.21,5.00,6.55,19.93,6.64,3.08,-8.56,-18.48,-10.88,-5.81,3.68,-0.62,-2.08,-1.01,-5.85,-0.22,-1.70,1.82,0.48,3.96,3.71,-1.00,0.73,-4.17,-1.72,-1.41,2.20,3.35,3.40,6.82,5.56,1.25
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-24.34,-26.73,-46.40,,,,18.39,61.93,-32.40,-21.70,-2.02,-12.29,-11.52,-17.60,-24.50,-29.34,-25.65,-23.66,-21.61,-16.28,-29.17,-30.10,-28.82,-17.06,22.02,46.00,59.79,40.95,15.63,5.23,0.14,10.24,9.83,9.41,6.33,-0.36,-4.36,-9.37,-6.76,-6.99,0.91,6.48,6.93,5.41,-2.28,-7.11,-14.30,-17.03,-15.31
CPCurrent_sy,-5.20,-2.24,-15.61,,,,-14.80,-12.86,-19.54,-11.72,-14.75,-0.96,4.40,9.90,2.42,1.49,0.75,-11.30,-2.87,-16.74,-18.57,-13.36,-12.47,9.28,2.24,6.91,-8.20,-24.75,-24.50,-24.38,0.06,-1.65,1.69,5.52,-7.19,0.43,8.18,6.29,3.37,0.94,-1.45,-1.94,-6.96,-10.61,-14.15,-18.14,-7.35,-15.60,-14.82
CPCurrent_qq,,,,-23.31,122.33,-14.19,-19.09,4.90,-7.19,-0.61,1.24,-6.10,-6.37,-7.43,-7.23,-12.12,-1.47,-4.96,-4.74,-6.15,-16.65,-6.21,-2.99,9.35,22.64,12.22,6.18,-3.55,0.61,2.13,1.04,6.19,0.23,1.74,-1.81,-0.48,-3.80,-3.58,1.02,-0.73,4.37,1.74,1.45,-2.14,-3.25,-3.29,-6.41,-5.26,-1.24
CPCurrent_sq,,,,1.00,3.47,-12.47,-6.86,3.30,-4.47,-3.96,-10.05,20.01,0.70,1.11,-16.18,18.92,-0.03,-10.99,-8.21,1.94,-2.23,-5.29,-7.27,27.27,-8.53,-0.96,-20.38,4.33,-8.23,-0.80,5.35,2.54,-5.11,2.93,-7.34,10.97,2.22,1.13,-9.89,8.36,-0.21,0.64,-14.50,4.11,-4.16,-4.05,-3.23,-5.16,-3.27
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-21.08,-79.20,4850.00,,,,-37.65,-91.57,-178.66,-187.82,-210.49,-242.93,139.26,163.84,179.17,600.18,211.00,130.81,-1.05,-92.30,-107.69,-178.60,-253.89,-1207.34,-1044.44,74.01,134.96,180.90,165.52,482.08,147.83,79.26,110.68,103.26,42.87,33.16,23.41,17.27,18.60,18.19,4.11,-1.05,3.63,8.60,17.99,9.34,8.34,6.92,-2.10
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,7.90,-24.83,-37.25,22.51,-85.42,-801.77,29.94,-54.13,81.14,292.76,13.93,91.15,19.15,19.85,-15.44,-18.06,-90.73,-219.72,-763.98,-60.44,33.28,-23.74,80.38,315.87,54.39,0.20,14.41,40.02,11.67,17.77,10.38,-1.58,4.09,9.14,4.89,-0.47,3.73,-3.87,-0.30,4.24,8.70,4.45,-7.62,3.29,7.28,-4.36
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,26.55,378.38,-97.97,,,,60.40,1087.84,,,,,,,,,-67.86,-56.67,1.06,1196.54,,,,,,,,,,,-59.66,-44.19,-52.54,-50.81,-30.00,-24.91,-18.95,-14.73,-15.69,-15.40,-3.96,1.06,-3.50,-7.91,-15.24,-8.54,-7.70,-6.47,2.14
CZCurrent_sy,-32.00,8.56,-22.87,,,,-18.01,-20.87,,,,,,,,,1.44,-13.42,22.88,-13.12,,,,,,,,,,,-31.41,-31.22,-25.97,8.09,9.72,-6.16,8.10,-29.84,-10.31,-12.79,-14.45,3.73,-25.13,-3.88,-10.20,-7.34,11.19,-22.35,-1.52
CZCurrent_qq,,,,-7.32,33.03,59.38,-18.37,586.33,,,,,,-12.26,-47.68,-16.07,-16.57,18.27,22.02,976.73,,,,,,,,-35.25,-0.17,-12.60,-28.59,-10.44,-15.10,-9.41,1.62,-3.92,-8.37,-4.68,0.47,-3.59,4.02,0.31,-4.07,-8.00,-4.26,8.24,-3.19,-6.78,4.56
CZCurrent_sq,,,,-0.73,-15.82,3.57,-5.27,-4.19,,,,,,27.34,-53.78,26.83,35.91,8.69,-34.41,-10.33,,,,,,,,8.36,-9.59,-21.65,-10.64,8.67,-2.69,14.40,-9.29,-7.06,12.09,-25.76,15.96,-9.63,9.97,-9.98,-16.30,16.01,2.74,-7.12,0.44,-18.98,30.30
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,-25.96,-22.54,17633.27,,,,-97.72,-99.91,-104.13,-102.52,-175.08,1439.77,266.82,386.41,382.53,273.58,68.46,46.10,-30.87,-55.53,-60.74,-85.70,-107.10,-120.30,-220.57,-147.79,779.22,630.85,252.05,1352.47,250.86,163.23,88.24,94.33,49.83,25.57,16.75,11.46,1.72,5.82,-5.40,-12.51,-2.04,1.00,6.13,8.35,5.07,9.64,9.98
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,0.62,-52.95,-2.45,-95.07,-96.03,-2268.18,40.62,-47.04,181.33,134.91,1.95,45.05,7.54,5.93,-11.58,-31.36,-30.82,-6.49,-67.79,-134.07,-97.84,-455.36,87.23,584.26,54.62,59.07,5.16,35.66,16.00,13.75,8.56,4.59,-2.78,5.76,3.64,-4.55,1.14,-5.46,-4.15,6.88,4.28,-0.65,-2.15,3.65,8.81,-0.34
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,35.02,29.13,-99.44,,,,4295.27,111986.63,,,,-93.54,,,,-73.24,-40.65,-31.54,44.65,124.88,154.75,599.37,,,,,,,,,-71.50,-62.01,-46.87,-48.54,-33.25,-20.37,-14.35,-10.28,-1.70,-5.50,5.71,14.31,2.08,-0.98,-5.78,-7.71,-4.82,-8.79,-9.08
CZOCurrent_sy,-11.35,-9.47,-25.33,,,,-1.52,14.48,,,,16.75,,,,-36.62,-19.04,8.15,6.62,-3.08,-15.04,-29.03,,,,,,,,,-20.61,-29.14,-43.93,-27.46,-14.43,-1.58,-17.03,-24.40,-21.79,-12.29,14.10,20.62,2.22,-7.72,0.24,2.45,5.35,-3.23,-13.68
CZOCurrent_qq,,,,-0.64,112.54,2.52,1930.02,2433.95,,,,,-57.44,-1.93,-31.05,-7.00,-5.61,13.11,45.68,44.57,6.93,210.53,,,,,,-35.34,-37.14,-4.90,-26.28,-13.80,-12.08,-7.90,-4.38,2.84,-5.44,-3.52,4.77,-1.13,5.78,4.33,-6.44,-4.10,0.66,2.19,-3.52,-8.10,0.34
CZOCurrent_sq,,,,-6.97,0.96,-8.37,14.44,8.14,,,,,-23.92,-15.55,-15.13,16.24,-2.83,12.82,-16.34,5.68,-14.82,-5.75,,,,,,1.65,24.52,-19.58,-22.01,-9.27,-1.47,4.04,-8.00,4.36,-16.94,-5.20,-4.82,17.03,8.05,0.22,-19.34,5.65,17.37,2.43,-17.06,-2.95,4.69
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,3.14,-9.26,25.91,,,,14.57,48.86,54.12,,25.70,24.60,10.65,,-6.37,-24.63,-10.24,,6.10,17.41,4.98,,10.20,22.31,11.15,61.58,-19.26,-22.99,-7.04,-1.70,7.57,7.13,1.85,0.20,-3.54,-3.21,3.26,1.72,-2.63,-2.23,-1.20,1.39,-3.34,-0.23,-2.16,1.34,1.70,1.58,-2.39
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
