,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,5053820000,5560804000,6056007000,5829340000,6129051000,6200114000,8755989000,9554806000,8618000000,9305000000,15965000000,13785000000,15752000000,21397000000,21882000000,21147000000,21211000000,22883000000,22683000000,21922000000,20707000000,24279000000,31247000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-91.21,,,7.72,,-29.43,-43.59,-31.43,-25.85,-4.16,-16.89,67.86,139.23,77.50,132.16,23.00,-16.20,-16.52,-23.29,-18.27,-2.62,-0.82
NetDebtEBITDA_sy,,-1.43,,,-0.91,,30.84,38.27,5.44,9.15,-14.06,-12.55,-5.73,-3.22,4.64,-3.72,-6.51,-11.83,-13.39,-14.73,12.32,19.96,-2.46
NetDebtEBITDA_qq,,,,14.11,-35.16,-11.86,8.21,-8.78,-21.19,-4.69,39.87,-20.89,59.17,35.84,3.78,3.47,-15.67,-7.45,3.38,-4.92,-10.15,10.26,5.29
NetDebtEBITDA_sq,,,,-4.55,4.56,1.07,29.70,0.87,-20.26,4.64,2.12,2.63,-14.04,7.42,10.41,-5.57,-16.54,1.32,8.46,-7.03,9.94,8.21,-11.82
DebtFin,1336680000,2096662000,1488592000,1163774000,2823332000,1222085000,3441832000,4012351000,4718000000,2188000000,4932000000,5544000000,9311000000,10386000000,7921000000,12553000000,12013000000,11348000000,3649000000,10357000000,9547000000,12704000000,7573000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-87.47,,,31.61,,12.85,18.66,-18.51,-11.53,-24.67,-20.40,81.24,393.79,107.99,242.67,17.85,-14.39,-62.90,-38.95,-33.47,2.74,49.43
DebtFinEBITDA_sy,,19.06,,,-47.99,,-1.10,-0.96,42.69,13.50,-24.67,-33.35,-11.11,52.18,44.80,47.12,26.73,-11.39,-51.95,-25.45,-0.07,50.56,82.15
DebtFinEBITDA_qq,,,,-7.32,49.62,-62.29,115.81,-2.55,2.75,-59.06,83.75,2.98,133.94,11.54,-22.60,69.66,-19.54,-18.97,-66.47,179.23,-12.32,25.13,-51.23
DebtFinEBITDA_sq,,,,16.24,-50.12,5.45,61.78,16.39,-28.14,-16.13,7.37,2.98,-4.16,43.60,2.16,4.63,-17.44,0.41,-44.60,62.33,10.67,51.28,-32.98
SP1,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,-5.62,,,20.34,,7.07,-20.62,-3.62,-21.87,-12.19,-4.95,-15.67,-33.99,-20.08,-16.46,-7.47,31.03,26.27,21.72,25.67,1.94,-13.85
SP1_sy,,-5.42,,,-0.90,,3.03,3.47,-2.27,8.98,-12.84,-9.69,-6.43,-22.12,-15.85,-10.24,1.59,8.13,0.62,-3.12,-8.58,-4.42,3.57
SP1_qq,,,,28.46,-21.98,32.35,-19.28,-4.76,-5.28,7.29,-9.27,3.08,-15.96,-16.02,9.85,7.76,-6.93,18.92,5.87,3.88,-3.91,-3.53,-10.53
SP1_sq,,,,-5.12,-0.94,-1.89,11.74,-4.72,-6.44,9.41,-10.63,-1.27,-3.07,-8.93,-3.44,5.31,9.69,-3.06,-10.15,1.39,3.51,1.35,-2.63
SP2,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,8.29,,,-9.32,,22.18,-0.67,16.64,-5.30,-4.26,-0.71,-11.74,-23.03,-10.38,-9.15,-3.23,21.60,1.79,4.13,10.55,3.66,-7.52
SP2_sy,,-3.85,,,0.09,,-1.14,-7.67,-1.17,7.77,-3.12,-1.61,3.85,-6.69,-6.80,-1.13,-2.52,0.39,-1.00,-1.15,-0.23,4.86,3.01
SP2_qq,,,,17.75,-18.37,22.90,3.43,-4.27,-4.15,-0.21,4.57,-0.73,-14.79,-12.97,21.74,0.64,-9.25,9.37,1.91,2.95,-3.65,2.55,-9.08
SP2_sq,,,,1.25,-6.82,-4.00,9.16,-5.44,-0.26,4.69,-1.88,-3.97,5.27,-5.93,-1.99,1.87,3.79,-3.12,-3.35,1.71,4.76,1.82,-5.05
CAR,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,460.19,,,9.59,,,,147.21,,,,-34.78,-53.03,-16.54,35.01,23.76,71.63,58.64,5.04,103.02,58.02,-31.88
CAR_sy,,19.15,,,-10.11,,,,36.33,,,,3.76,-7.74,-18.75,19.55,-8.04,6.36,-22.03,-34.28,-8.11,-31.44,-9.07
CAR_qq,,,,,,,,,,-7.50,-31.40,-19.52,27.72,-33.40,21.91,30.18,17.08,-7.63,12.68,-13.80,126.28,-28.11,-51.42
CAR_sq,,,,,,,,,,7.17,2.79,-27.44,29.81,-4.70,-9.48,6.76,-0.15,10.23,-33.64,-10.01,39.60,-17.76,-11.98
QR,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,26.34,,,4.59,,40.84,4.26,9.08,-17.77,-31.88,-4.67,-12.98,-23.56,2.70,-19.28,-13.13,18.85,6.78,0.49,17.08,4.89,-10.53
QR_sy,,4.29,,,16.28,,-1.73,-11.48,-13.52,2.19,10.80,12.39,-2.89,-6.58,-13.36,-7.97,23.30,23.12,3.24,1.22,-8.56,-2.46,-7.21
QR_qq,,,,27.43,-17.50,27.69,4.91,-5.67,-13.69,-3.74,-13.08,32.01,-21.22,-15.44,16.78,3.76,-15.21,15.69,4.91,-2.35,-1.22,3.64,-10.50
QR_sq,,,,7.97,7.16,-12.32,-3.13,-2.75,4.69,3.61,5.04,-1.36,-9.54,-0.34,-2.58,4.78,21.21,-0.49,-18.31,2.73,9.49,6.16,-22.29
CR,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,20.91,,,-6.97,,27.68,2.21,19.26,-4.77,-26.58,0.47,-17.40,-29.39,9.97,-14.24,-2.71,30.99,4.14,6.02,16.00,4.04,-10.19
CR_sy,,0.62,,,11.32,,-1.43,-11.94,-9.05,11.75,5.35,2.73,4.14,-5.90,-4.02,-10.40,7.44,12.27,-5.61,12.79,-8.36,-8.90,6.29
CR_qq,,,,18.70,-19.42,24.56,7.17,-4.98,-5.97,-0.54,-17.37,30.03,-22.70,-14.98,28.69,1.41,-12.31,14.47,2.31,3.23,-4.06,2.66,-11.67
CR_sq,,,,14.22,-5.23,-12.33,3.86,2.04,-2.12,7.72,-2.09,-0.49,-0.77,-2.66,-0.13,-7.11,18.99,1.72,-16.04,11.00,-3.33,1.12,-2.05
PP,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,460.19,,,9.59,,21.73,231.40,147.21,43.97,7.33,-38.99,-34.78,-53.03,-16.54,35.01,23.76,107.30,76.04,12.21,103.02,30.83,-38.61
PP_sy,,27.58,,,17.49,,10.91,-23.32,-3.02,59.02,42.16,11.94,-0.22,-15.65,-0.62,20.18,27.58,8.39,-7.72,-9.94,-20.57,-41.88,-33.08
PP_qq,,,,-47.99,60.14,58.82,-7.98,41.59,19.46,-7.50,-31.40,-19.52,27.72,-33.40,21.91,30.18,17.08,11.56,3.52,-17.02,111.83,-28.11,-51.42
PP_sq,,,,32.73,13.53,-18.63,-9.55,-8.24,43.60,33.42,-19.14,-27.74,28.01,12.78,-4.73,-12.62,35.89,-4.18,-18.89,-14.72,19.85,-29.88,-6.61
RCLR,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,14.75,,,-21.64,,29.82,-6.09,19.08,-26.75,-35.81,-4.86,-14.66,-26.30,-1.95,-25.20,-18.32,18.84,-0.19,-0.03,-3.92,-5.39,-3.48
RCLR_sy,,-11.83,,,-2.67,,-19.58,-14.38,1.47,-5.65,16.59,3.67,-20.00,-19.08,-22.30,-23.89,13.48,32.34,4.60,25.04,-11.26,-17.30,-10.00
RCLR_qq,,,,23.75,-36.56,56.97,5.34,-10.47,-19.56,-3.44,-7.69,32.70,-27.85,-16.60,22.81,1.23,-21.22,21.33,3.15,1.39,-24.28,19.48,5.23
RCLR_sq,,,,-0.83,-14.18,3.38,-8.59,5.58,1.70,-3.87,12.95,-6.12,-21.52,-2.76,8.45,-8.04,17.02,13.39,-14.27,9.93,-16.95,5.68,-6.71
KP,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,64.48,,,-146.60,,198.37,9.25,107.22,-86.58,-245.59,-7.17,-1370.91,-3710.00,56.06,-205.96,-22.89,77.98,38.22,79.14,69.85,59.12,-210.23
KP_sy,,-25.93,,,26.68,,-18.63,2.59,19.43,95.44,31.71,0.48,-2.43,-34.63,-23.02,-31.25,1.65,9.17,-22.67,-1.97,-15.30,1.48,17.96
KP_qq,,,,150.81,-371.17,139.11,82.55,-43.57,-82.08,-27.27,-2080.00,135.98,-345.26,-106.58,75.90,13.22,-184.44,62.98,32.39,70.70,-311.11,49.81,-413.08
KP_sq,,,,4.76,-14.40,-24.73,20.55,32.07,-0.34,23.17,-18.76,0.75,-3.22,-17.48,-4.33,-10.03,43.10,-11.37,-32.23,14.06,23.64,6.18,-21.23
PKKO,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,,,,136.94,,-165.91,56.09,-99.30,100.73,90.92,104.43,-1786.67,-6421.43,32.95,-272.11,-17.00,80.73,47.19,82.26,74.32,64.81,-224.07
PKKO_sy,,,,,-133.25,,-38.06,4466.67,131.68,115.22,-108.45,308.40,-72.83,-2348.57,-441.46,-64.67,-3634.04,106.54,269.37,-194.71,16.92,-861.17,-277.79
PKKO_qq,,,,-195.71,165.72,-159.82,-75.14,36.24,101.05,-37.78,-2278.57,131.15,-499.47,-133.20,76.89,20.05,-171.56,61.60,36.66,73.15,-293.10,47.37,-483.33
PKKO_sq,,,,-100.38,-9000.00,15.75,310.87,-72.99,-33.97,-59.54,-217.14,1404.88,-95.61,-3448.94,71.79,185.14,-539.42,106.20,630.10,-147.61,-285.47,43.19,-70.54
RN,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,406.23,,,-1.18,,-9.44,-3.83,-6.12,2.47,9.83,5.47,0.10,-7.42,-8.03,-6.18,2.80,7.59,3.78,5.13,5.40,7.43,8.02
RN_sy,,10.00,,,-7.82,,-6.16,1.70,7.10,13.80,2.21,-0.12,0.90,4.15,11.16,6.52,-12.18,-15.51,-16.87,-17.68,-3.36,1.24,3.73
RN_qq,,,,-3.50,2.22,-4.52,-3.84,2.48,-0.22,4.21,3.07,-1.59,-5.30,-3.62,2.38,0.39,3.77,0.88,-1.25,1.70,4.03,2.82,-0.70
RN_sq,,,,-0.68,-2.16,-7.76,4.69,7.65,3.03,-1.99,-5.97,5.19,4.08,1.17,0.35,0.81,-14.19,-2.67,-1.27,-0.18,0.74,1.97,1.16
CRN,279000,55000,55000,57000,56000,58000,61000,59000,59000,57000,55000,56000,59000,61000,60000,60000,58000,57000,58000,57000,55000,53000,54000
CRN_yy,,-80.29,,,1.82,,10.91,3.51,5.36,-1.72,-9.84,-5.08,,7.02,9.09,7.14,-1.69,-6.56,-3.33,-5.00,-5.17,-7.02,-6.90
CRN_sy,,-9.09,,,8.57,,6.76,-1.35,-6.58,-10.46,-15.19,-6.16,,2.19,-2.24,-5.84,14.29,17.14,19.08,22.48,3.75,-1.22,2.56
CRN_qq,,,,3.64,-1.75,3.57,5.17,-3.28,,-3.39,-3.51,1.82,5.36,3.39,-1.64,,-3.33,-1.72,1.75,-1.72,-3.51,-3.64,1.89
CRN_sq,,,,,2.70,0.66,3.27,-7.59,,-3.52,-2.19,2.24,2.19,,-6.43,,24.03,2.50,-4.88,1.28,5.06,-2.41,-1.23
CPZ,446000,71000,75000,75000,78000,76000,74000,73000,72000,74000,82000,84000,93000,105000,103000,108000,109000,104000,105000,103000,100000,99000,100000
CPZ_yy,,-84.08,,,9.86,,-1.33,-2.67,-7.69,-2.63,10.81,15.07,29.17,41.89,25.61,28.57,17.20,-0.95,1.94,-4.63,-8.26,-4.81,-4.76
CPZ_sy,,-1.59,,,-0.54,,-7.07,0.53,4.32,-3.17,-3.26,-7.41,-8.81,1.64,3.37,6.29,19.89,11.83,9.78,6.45,-1.90,0.48,
CPZ_qq,,,,,4.00,-2.56,-2.63,-1.35,-1.37,2.78,10.81,2.44,10.71,12.90,-1.90,4.85,0.93,-4.59,0.96,-1.90,-2.91,-1.00,1.01
CPZ_sq,,,,,-1.60,2.16,-2.65,2.72,2.12,-5.18,-2.73,-1.69,0.57,5.68,-1.08,1.09,13.44,-1.42,-2.88,-1.98,4.55,0.97,-3.35
RZ,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,,-36.29,-24.37,-35.35,-44.95,-23.81,-34.19,-22.17,-16.56,-3.41,3.20,-1.04
RZ_sy,,,,,,,,,,,,,-38.21,-24.13,0.67,-8.67,-28.54,-39.42,-44.49,-11.17,83.52,44.14,38.93
RZ_qq,,,,,,,,,,-8.98,2.99,6.75,-36.34,8.05,-11.96,-9.11,-11.89,-6.67,4.13,-2.56,2.00,-0.28,-0.15
RZ_sq,,,,,,,,,,-21.39,-26.55,-22.39,37.87,-3.47,-2.53,-29.59,7.87,-18.17,-10.68,12.66,122.88,-35.73,-13.91
CRZ,,,,,,,,,12000,13000,13000,12000,18000,17000,19000,21000,24000,26000,25000,26000,25000,25000,25000
CRZ_yy,,,,,,,,,,,,,50.00,30.77,46.15,75.00,33.33,52.94,31.58,23.81,4.17,-3.85,
CRZ_sy,,,,,,,,,,,,,63.64,20.00,45.45,37.50,27.78,116.67,75.00,-13.64,-47.83,-23.08,
CRZ_qq,,,,,,,,,,8.33,,-7.69,50.00,-5.56,11.76,10.53,14.29,8.33,-3.85,4.00,-3.85,,
CRZ_sq,,,,,,,,,,-9.09,,45.45,12.50,-33.33,33.33,37.50,4.55,13.04,7.69,-32.14,-36.84,,
RMO,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,393.79,,,-3.61,,-11.56,-8.65,-7.76,-6.10,-3.47,-6.37,-10.01,-10.90,-11.25,-11.35,-7.06,-5.33,-6.61,-3.59,-3.92,-2.10,1.87
RMO_sy,,13.21,,,-13.16,,-4.76,5.82,9.66,7.57,7.76,0.13,-2.11,1.00,-3.79,-0.53,-6.58,-9.14,-3.75,-5.10,-6.82,-6.64,-11.33
RMO_qq,,,,-2.84,-2.04,-4.05,-3.16,0.35,-1.08,-2.32,-0.44,-2.67,-4.93,-3.29,-0.83,-2.78,-0.33,-1.49,-2.17,0.37,-0.67,0.37,1.79
RMO_sq,,,,-6.98,-1.74,2.39,1.77,3.35,1.83,0.44,1.95,-3.97,-0.45,3.63,-2.89,-0.72,-6.50,0.79,2.88,-2.11,-8.20,0.99,-2.30
RMT,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,560.31,,,59.69,,37.84,1.99,-13.18,-29.12,-30.58,-28.46,-27.60,-26.55,-22.97,-14.99,-7.63,10.06,18.00,22.43,28.97,17.98,6.30
RMT_sy,,-5.04,,,15.70,,8.25,6.86,-2.61,8.26,2.72,-2.68,0.11,-1.32,-10.12,-3.91,-2.75,-6.25,-6.40,-9.55,-12.41,-15.05,-4.62
RMT_qq,,,,20.44,8.07,10.19,-3.89,-10.89,-8.01,-10.03,-5.87,-8.18,-6.90,-8.73,-1.27,1.34,1.16,8.76,5.84,5.14,6.56,-0.51,-4.63
RMT_sq,,,,6.05,1.99,-8.14,8.95,4.70,-7.05,2.11,3.38,-0.81,-4.39,0.65,-5.85,6.05,-3.23,-2.98,-5.99,2.47,-6.29,-5.90,5.54
RM,,,,,,,,,,,,,,,,,,,,,,,
RM_yy,,505.19,,,31.13,,13.96,-2.84,-10.81,-19.54,-19.67,-19.88,-20.85,-20.76,-18.65,-13.61,-7.41,3.82,7.55,11.08,14.05,8.92,4.37
RM_sy,,1.38,,,-5.44,,-2.39,2.47,9.37,5.73,8.83,3.97,0.22,1.90,1.49,5.36,-8.10,-10.82,-13.41,-16.82,-27.56,-10.47,9.77
RM_qq,,,,10.50,3.51,3.29,-3.54,-5.79,-4.99,-6.82,-3.68,-6.04,-6.14,-6.72,-1.11,-0.22,0.59,4.60,2.44,3.06,3.28,-0.10,-1.84
RM_sq,,,,-0.06,-3.77,5.29,-3.59,4.91,2.70,1.79,-0.77,0.22,-0.99,3.49,-1.16,4.04,-13.64,0.43,-4.03,-0.06,-24.79,24.12,17.66
COP,,,,,,,,,71000,70000,68000,68000,77000,78000,79000,81000,82000,83000,83000,83000,80000,78000,79000
COP_yy,,,,,,,,,,,,,8.45,11.43,16.18,19.12,6.49,6.41,5.06,2.47,-2.44,-6.02,-4.82
COP_sy,,,,,,,,,,,,,4.94,12.99,26.81,8.86,5.88,2.87,1.71,-1.16,8.33,9.50,-4.49
COP_qq,,,,,,,,,,-1.41,-2.86,,13.24,1.30,1.28,2.53,1.23,1.22,,,-3.61,-2.50,1.28
COP_sq,,,,,,,,,,-4.94,-10.39,,7.59,2.35,0.57,-1.71,4.65,-0.56,,,14.71,0.51,-13.27
CSP,,,,,,,,,-1000,-4000,-14000,-16000,-16000,-27000,-24000,-27000,-27000,-21000,-22000,-20000,-20000,-21000,-21000
CSP_yy,,,,,,,,,,,,,-1500.00,-575.00,-71.43,-68.75,-68.75,22.22,8.33,25.93,25.93,,4.55
CSP_sy,,,,,,,,,,,,,11.11,-35.00,-18.42,-46.67,-90.62,24.07,2.22,-68.18,-9.84,,-59.09
CSP_qq,,,,,,,,,,-300.00,-250.00,-14.29,,-68.75,11.11,-12.50,,22.22,-4.76,9.09,,-5.00,
CSP_sq,,,,,,,,,,-11.11,5.00,21.05,,-68.75,16.67,2.22,,32.79,-7.32,-68.18,,-5.97,
