,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZCurrent_qq,,,,-3.46,14.14,-51.06,-26.64,-28.91,2.90,-1.08,-25.22,14.36,45.59,3.10,99.57,16.56,-46.08,-49.71,9.79,7.14,-4.94,55.02,-36.68
CZCurrent_sq,,,,3.05,4.02,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,-26.24,10.00,6.56,14.35,-9.84,10.83,-18.62,57.94,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,551.99,,,-12.38,,95.89,154.52,221.76,102.11,92.96,46.21,-7.34,-14.93,-38.79,-53.65,-20.93,2.93,2.76,32.94,17.78,2.31,68.54
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,0.95,-8.34,66.68,27.01,31.17,15.87,4.70,21.26,-0.61,-26.57,-3.88,-12.74,-24.74,25.27,25.12,-12.89,-2.64,10.99,8.70,43.49
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-84.65,,,14.13,,-48.95,-60.71,-68.93,-50.52,-48.17,-31.60,7.93,17.55,63.37,115.77,26.46,-2.85,-2.68,-24.78,-15.09,-2.25,-40.67
CZOCurrent_sy,,11.56,,,-9.27,,-34.70,-57.16,-22.07,-33.54,-25.01,-11.36,5.24,-26.83,13.94,3.72,-22.33,68.22,19.50,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,,-0.95,9.12,-40.01,-21.28,-23.76,-13.70,-4.48,-17.54,0.62,36.19,4.03,14.60,32.88,-20.18,-20.08,14.80,2.72,-9.90,-8.00,-30.31
CZOCurrent_sq,,,,28.04,-36.23,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,-41.42,42.24,-9.64,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,2.10,,,1.97,,5.38,7.92,5.04,2.68,3.90,3.54,10.96,21.37,6.96,16.95,5.99,2.08,-9.77,-4.54,-5.16,2.87,9.94
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,-0.90,4.61,-4.25,6.16,1.49,1.82,-6.40,7.42,1.15,9.11,2.38,-5.34,10.59,-1.12,-1.39,-16.32,17.00,-1.75,6.96,-10.58
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-84.53,,,-24.71,,-24.46,-21.31,-21.86,-17.78,-17.08,-10.44,-4.80,-2.32,-14.02,-12.79,-22.09,-25.49,-32.80,-27.50,-27.85,-16.56,-9.74
EVPCurrent_sy,,-2.64,,,-6.41,,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
EVPCurrent_qq,,,,-10.20,-2.05,-12.69,-1.64,-6.46,-2.73,-8.13,-0.80,1.03,3.40,-5.74,-12.69,2.48,-7.62,-9.86,-21.25,10.56,-8.06,4.24,-14.81
EVPCurrent_sq,,,,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80,-16.22
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-84.33,,,16.38,,-46.21,-57.60,-67.36,-49.20,-46.15,-29.18,19.76,42.67,74.75,152.33,34.04,-0.83,-12.19,-28.19,-19.47,0.56,-34.77
EVEBITCurrent_sy,,50.07,,,4.72,,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38,12.94
