,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000
ShareAmountCurrent,18265036000,18265036000,18265036000,18265036000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000,19853300000
WKCurrent,15990,16620,28650,29150,24080,27370,28140,29540,29790,27010,28320,30310,31810,29120,30660,36030,37740,32220,33510,37610,40800,34720
CWKCurrent,5440,5230,3040,2980,3610,3180,3090,2950,2920,3220,3070,2870,2740,2990,2840,2410,2310,2700,2600,2310,2130,2510
WKGrahamCurrent,-30400,-31920,-11400,-13450,-15450,-14480,-15260,-16670,-17400,-21510,-21200,-20090,-19030,-22540,-22390,-18630,-18070,-24570,-24880,-24190,-21900,-30810
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,
PCurrent,50040,65370,57860,60290,54180,52440,53680,55050,54570,53520,53040,52820,54220,55250,54620,55770,56880,59800,62160,64769,67730,69410
CPCurrent,1740,1330,1500,1440,1610,1660,1620,1580,1590,1630,1640,1650,1600,1570,1590,1560,1530,1450,1400,1340,1280,1250
ZCurrent,940,2860,14580,3190,2540,2420,2940,3590,3110,3140,3680,4270,5520,6590,6820,10210,10410,10710,10460,9180,10710,10840
CZCurrent,92640,30430,5970,27270,34270,36020,29630,24260,27980,27680,23650,20380,15770,13200,12750,8520,8360,8119,8310,9470,8130,8020
ZOCurrent,1920,5340,4040,4230,3420,3300,3680,4080,3750,3790,4330,5180,6470,7720,7870,11800,11980,12310,12430,10130,11670,11730
CZOCurrent,45300,16280,21510,20580,25410,26350,23640,21320,23210,22970,20100,16790,13440,11270,11050,7370,7260,7070,7000,8590,7450,7420
EVCurrent,115410,118280,96230,98480,98480,99810,101220,99130,102460,105890,105700,102260,103380,106070,105600,102810,103120,108940,110220,108050,111810,119020
EVPCurrent,2310,1810,1660,1630,1820,1900,1890,1800,1880,1980,1990,1940,1910,1920,1930,1840,1810,1820,1770,1670,1650,1710
EVEBITCurrent,60090,22130,23800,23290,28760,30230,27510,24290,27340,27960,24420,19740,15970,13740,13410,8710,8610,8850,8870,10660,9580,10150
EVEBITDACurrent,27330,14390,14280,15020,18090,19030,18300,15720,16970,17260,15660,13130,11220,10020,9740,6970,6920,7120,7090,8050,7400,7810
DTAR,720,740,470,490,540,520,500,530,510,560,540,530,510,540,530,500,480,540,550,530,510,590
CG,2630,2890,880,950,1150,1080,1010,1110,1040,1260,1200,1110,1050,1180,1140,1020,920,1190,1200,1110,1020,1440
LDER,1830,1960,430,570,650,540,580,660,650,790,750,630,610,670,650,570,530,720,710,630,660,800
PZAT,1550,1450,3100,2470,2430,2710,2550,2280,2340,2200,2240,2520,2510,2550,2550,2580,2680,2350,2330,2520,2220,2260
PELDR,980,1020,1030,1080,1010,1010,1030,1060,1050,1000,1000,980,1010,940,960,1030,1040,980,990,990,1090,960
TSF,780,760,760,800,770,740,790,780,810,790,800,770,790,770,770,780,800,780,780,770,820,740
ZKO,3620,2990,1830,1940,2250,1950,2160,2029,2270,2710,2670,2490,2330,2920,2800,2040,2090,2790,2630,2370,2110,2600
