,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000,8495000
ShareAmountCurrent,1703500000,1703500000,1703500000,1703500000,1703500000,1703500000,1703500000,1703500000,1703500000,1703500000,1703500000,1706067000,1706067000,1706067000,1746067000,1746067000,1750277000,1750277000,1750277000,1750277000,1750277000,1750277000,1761565000,1761565000,1761565000,1761565000,1779664000,1779664000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1831123000,1835207000,1835207000,1835207000,1835207000,1839291000,1839291000,1839291000,1839291000,1839291000,1839291000
WKCurrent,112020,136450,128280,131130,0,159380,166120,189260,0,238130,247870,242830,0,331120,316880,335520,0,391700,389470,359060,0,419300,434460,392670,0,514600,531420,497200,579530,659980,671430,652890,713820,815520,808650,806500,835590,892990,894180,942240,950050,1032010,1008660,1053790,1042380,1163210,1096310,1121820,1187480,1328470,1272460,1361620
CWKCurrent,75840,62260,66220,64780,,53300,51140,44890,,35670,34270,34980,,25660,26810,25320,,21690,21810,23660,,20260,19550,21630,,16510,15990,17090,14660,12870,12650,13010,11900,10420,10510,10530,10170,9510,9500,9020,8940,8230,8420,8060,8150,7300,7750,7570,7150,6390,6680,6240
WKGrahamCurrent,31390,21730,11030,9930,0,31580,34740,58820,0,69050,49370,18230,0,-118090,-129020,-106220,0,-31080,-38230,-57000,0,13700,32770,-3630,0,93240,110240,42810,127600,164480,140980,72320,102080,144490,102810,46400,58420,66620,43620,47500,41140,50650,37270,66600,62760,161330,77130,96360,178420,284750,161240,204320
CWKGrahamCurrent,270660,390910,770240,855370,,269000,244500,144420,,123030,172060,466060,,,,,,,,,,620250,259200,,,91100,77060,198440,66580,51650,60260,117460,83220,58790,82630,183090,145420,127510,194750,178830,206480,167730,227920,127540,135350,52660,110140,88160,47610,29830,52690,41580
PCurrent,320690,402610,407150,414260,434740,478510,545210,618640,689540,748070,791150,825670,868970,951310,1000220,1076220,1134790,1144440,1122400,1117090,1139080,1188020,1223550,1279710,1324430,1414940,1488990,1589940,1666150,1760530,1811270,1937340,2081460,2247970,2354020,2460020,2529240,2604570,2636000,2693980,2708860,2801750,2889380,3004440,3128080,3279760,3374410,3484790,3661150,3821810,3940360,4127550
CPCurrent,26490,21100,20860,20510,19540,17750,15580,13730,12320,11360,10740,10290,9780,8930,8490,7890,7490,7420,7570,7600,7460,7150,6940,6640,6410,6000,5710,5340,5100,4830,4690,4380,4080,3780,3610,3450,3360,3260,3220,3150,3140,3030,2940,2830,2720,2590,2520,2440,2320,2220,2160,2060
ZCurrent,24750,23510,14170,9170,7090,23080,37750,57440,74410,0,3940,1480,6330,98180,81120,78430,55210,59780,61490,65990,75250,78510,88750,103690,128900,152550,161940,169430,182710,192470,184580,207710,216610,235360,216740,242840,227150,261890,249640,232700,231600,191860,176040,150540,103560,95230,67050,112420,162230,239690,246350,264210
CZCurrent,343280,361300,599620,926750,1198840,368010,225020,147900,114170,,2156990,5742090,1342820,86520,104720,108310,153880,142100,138150,128740,112890,108200,95720,81930,65900,55690,52460,50140,46490,44140,46020,40900,39220,36090,39190,34980,37400,32439,34030,36510,36680,44280,48260,56430,82030,89200,126690,75560,52360,35440,34480,32150
