,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,31000000000,31000000000,31000000000,31000000000,31000000000,31000000000,31000000000,31000000000,33414295000,35114295000,40159241000,50159241000,50159241000,50159241000,50164241000,50164241000,50164241000,50164241000,50164241000,50164241000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,7575.76,,,,9.24,11.91,28.54,41.54,103.48,121.93,66.70,46.01,3.25,-10.64,-0.41,1.54,0.21,2.29,2.12
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,2.61,4.16,1.98,0.24,5.11,19.63,12.29,44.10,14.64,-10.14,-1.65,1.90,-0.78,0.15,0.27,0.57,1.28,-0.02
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-98.69,,,,-8.46,-10.65,-22.19,-29.36,-50.86,-54.94,-40.02,-31.51,-3.15,11.88,0.42,-1.51,-0.20,-2.23,-2.07
CWKCurrent_sy,,-34.08,,,,-8.46,-17.93,-10.47,-18.61,-18.71,-2.46,10.00,11.35,-5.13,3.30,-2.32,5.45,12.17,11.04,43.50
CWKCurrent_qq,,,-2.53,-4.00,-1.93,-0.24,-4.86,-16.41,-10.96,-30.60,-12.75,11.25,1.69,-1.87,0.78,-0.15,-0.27,-0.56,-1.28,0.02
CWKCurrent_sq,,,-7.15,-9.68,2.38,6.61,-16.75,-1.47,-6.93,6.49,-0.11,11.11,-5.79,-9.27,8.77,5.06,1.71,-3.49,7.67,35.78
