,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sy,,-22.25,-0.42,-16.27,,,-7.92,,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,,,-3.70,-4.17,-2.50,-1.98,-2.38,-1.41,-2.00,-2.70,-3.64,-4.82,-2.54,-2.70,1.10,0.90,-1.11,-1.45,-2.99,-3.69,-3.76,-4.03,-4.11,-3.19,-3.84,-3.71,-4.30,-4.59,-4.18,-3.60
CPCurrent_sq,,,,,,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-195.31,108.35,705.48,,,194.90,,-232.69,-267.80,-316.09,-2086.25,-67.88,60.70,127.60,157.33,1073.21,2339.26,1604.84,889.13,-90.92,-94.47,-98.66,-105.37,-128.35,-75.94,229.66,243.95,439.05,206.17,-280.33,-238.29,-350.86
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,49.64,40.29,-90.77,-785.00,-89.23,-80.67,15.19,42.10,55.71,226.87,76.21,882.82,1.92,-3.41,2.24,-90.98,-37.88,-76.63,-509.75,52.33,152.71,220.16,78.92,12.28,-52.40,-288.58,-37.21,-103.69
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,-87.62,,,-66.07,,,,,,,,,,,,-94.14,-89.89,1001.31,1707.14,7358.48,,,315.36,-69.61,,,-67.33,,,
