,2006/Q4,2007/Q4,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050
ShareAmountCurrent,9479166000,9479166000,9479166000,9479166000,9479166000,9479166000,10479166000,10479166000,10479166000,10479166000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21183332000,21339587000,21339587000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000,21242655000
WKCurrent,3220,3800,4310,0,4800,5070,5920,0,6320,6520,7350,0,8380,8410,8250,0,8500,8750,8960,9100,8730,9010,8280,8660,8900,8950,8470,8910,9130,9520,9390,9660,10060,10250,9740,10520,9340,10100,10220
CWKCurrent,4050,3430,3030,,2720,2570,2200,,2070,2000,1780,,1560,1550,1580,,1540,1490,1460,1430,1490,1450,1580,1510,1470,1460,1540,1460,1430,1370,1390,1350,1300,1270,1340,1240,1400,1290,1280
WKGrahamCurrent,650,1430,420,0,1420,1690,2540,0,3010,3240,-2360,0,-1830,-1560,-1740,0,-1240,-980,-1010,-660,-350,-30,0,340,510,800,70,410,510,900,490,1000,1220,1760,970,1520,500,1090,970
CWKGrahamCurrent,19930,9110,30970,,9200,7710,5130,,4340,4030,,,,,,,,,,,,,,37860,25530,16360,175000,32080,25400,14530,26680,13050,10650,7430,13480,8610,26310,12020,13470
PCurrent,17710,18000,16110,16340,15790,15710,14080,15080,15800,16230,9680,10780,12260,13640,13650,13380,13030,12760,12500,12760,12760,12940,12730,12660,12750,12980,13260,13360,13750,14250,14750,15090,15650,16190,16390,17040,17170,17500,17940
CPCurrent,740,720,810,800,830,830,930,870,830,800,1350,1210,1060,960,960,980,1000,1020,1040,1020,1020,1010,1030,1030,1020,1010,980,980,950,920,880,860,830,810,800,770,760,750,730
ZCurrent,1420,1060,1150,1060,1130,1300,1030,930,970,1000,550,620,860,960,910,880,820,830,970,1010,1030,1040,1190,1230,1130,1150,1030,1020,1050,1150,1190,1300,1370,1570,1670,1770,520,560,480
CZCurrent,9200,12280,11340,12290,11510,10030,12690,13970,13400,13090,23520,21110,15260,13570,14310,14840,15880,15670,13470,12900,12680,12500,10950,10650,11550,11360,12640,12810,12430,11340,10970,10030,9530,8290,7800,7380,25060,23140,27240
ZOCurrent,1750,1690,1780,1640,1580,1660,1340,1370,1240,1240,910,1290,1590,1750,1600,1360,1330,1350,1460,1570,1550,1630,1620,1680,1710,1690,1680,1590,1550,1580,1640,1800,1940,2110,2130,2250,2250,2310,2450
CZOCurrent,7480,7730,7330,7960,8250,7860,9770,9500,10490,10560,14270,10150,8230,7440,8140,9580,9830,9680,8950,8320,8410,8000,8060,7760,7620,7720,7750,8230,8400,8260,7970,7240,6740,6170,6120,5800,5810,5660,5320
EVCurrent,15670,14820,17150,13050,15560,16320,15190,13050,15730,16200,19440,13050,19010,18970,19220,13050,18130,18160,17590,17100,15820,17020,16670,17070,17050,17110,16550,16860,16850,17110,16360,16400,16309,16520,16580,16210,15290,16250,16630
EVPCurrent,880,820,1060,800,990,1040,1080,870,1000,1000,2009,1210,1550,1390,1410,980,1390,1420,1410,1340,1240,1320,1310,1350,1340,1320,1250,1260,1230,1200,1110,1090,1040,1020,1010,950,890,930,930
EVEBITCurrent,8980,8770,9640,7960,9840,9830,11380,9500,12640,13110,21260,10150,11990,10810,12000,9580,13660,13470,12060,10910,10190,10440,10300,10150,9950,10120,9830,10630,10840,10830,9990,9100,8430,7810,7770,7200,6800,7050,6780
EVEBITDACurrent,8150,8390,9180,7530,9290,9290,10630,8910,11760,12180,19980,9610,11380,10260,11330,8970,12710,12540,11270,10240,9580,9830,9710,9590,9410,9560,9270,9990,10170,10130,9130,8280,7540,6980,7030,6580,6290,6570,6350
DTAR,640,580,650,,560,530,490,,480,460,550,,490,490,520,,480,440,440,430,430,410,480,460,410,390,470,460,400,410,440,420,370,400,460,400,460,470,480
CG,1790,1390,1830,,1270,1130,970,,930,860,1240,,960,970,1070,,910,800,770,750,760,700,940,860,700,650,890,860,650,700,770,730,600,670,840,680,840,900,920
LDER,280,130,70,,40,30,10,,10,10,710,,520,510,500,,430,400,370,340,320,290,260,230,200,180,170,250,290,270,260,180,190,200,210,230,230,200,220
PZAT,1750,3330,9070,,12320,13250,26980,,30900,32990,270,,330,320,330,,360,380,400,420,450,500,570,630,690,780,890,570,480,500,550,760,710,670,720,600,680,740,680
PELDR,1610,1810,1190,,1470,1550,1770,,1930,2000,1290,,1240,1280,1240,,1250,1260,1240,1250,1270,1380,1260,1280,1280,1290,1180,1310,1370,1400,1330,1320,1360,1450,1340,1440,1290,1340,1350
TSF,460,470,380,,460,480,510,,520,540,760,,770,770,720,,750,780,770,770,750,750,650,660,710,710,620,670,780,740,710,680,740,720,660,740,670,630,640
ZKO,900,790,950,,810,770,690,,660,630,1350,,1290,1240,1240,,1190,1160,1170,1110,1060,1000,1000,960,920,880,990,950,920,880,940,880,830,800,890,820,940,890,910
OSF,1130,1260,1050,,1150,1160,1210,,1260,1260,1020,,1060,1040,1030,,1040,1050,1050,1030,1020,1080,1000,1000,980,970,1000,990,980,970,990,980,950,960,990,960,990,1000,1000
NetDebt,53376000000,47015000000,72349000000,,52920000000,50237000000,56054000000,,56820000000,58382000000,186580000000,,167135000000,169783000000,184778000000,,151721000000,143046000000,142314000000,132501000000,116152300000,127417000000,158586000000,152806600000,126102600000,120729000000,146936100000,151013700000,120769700000,131023700000,143469700000,142661600000,118529000000,134512800000,158466000000,132776100000,147921400000,183177700000,184745800000
