,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,
ShareAmountCurrent,18500000000,18500000000,18500000000,18500000000,18500000000,21500000000,21500000000,21500000000,21500000000,21500000000,21500000000,21500000000,21500000000,21500000000
ShareAmountCurrent_yy,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,
WKCurrent_yy,,24.59,0.62,321.10,,,,17.56,17.28,2.47,2.51,5.47,6.30,6.05
WKCurrent_sy,,,,,,,,,,,,,,
WKCurrent_qq,,,,,2.38,7.59,2.82,3.80,2.13,-5.99,2.86,6.80,2.93,-6.22
WKCurrent_sq,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,
CWKCurrent_yy,,-19.74,-0.61,-76.25,,,,-14.94,-14.73,-2.42,-2.45,-5.20,-5.93,-5.70
CWKCurrent_sy,,-47.15,0.42,19.18,,,,-7.89,-8.08,15.75,8.30,-12.97,-2.00,29.08
CWKCurrent_qq,,,,,-2.32,-7.06,-2.75,-3.66,-2.09,6.37,-2.78,-6.37,-2.85,6.63
CWKCurrent_sq,,,,,-26.37,-5.25,7.69,22.60,-26.52,19.32,0.75,-1.47,-17.26,57.16
WKGrahamCurrent,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,286.55,-21.33,135.82,,,,48.27,40.59,-10.25,-0.04,8.40,11.27,13.53
WKGrahamCurrent_sy,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,8.64,36.74,-3.93,3.89,3.01,-12.71,7.00,12.66,5.74,-10.93
WKGrahamCurrent_sq,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-74.14,27.09,-57.59,,,,-32.56,-28.88,11.42,0.05,-7.75,-10.13,-11.92
