,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,1690,730,960,1800,2980,1460,2140,2070,1870,1520,1590,1890,1240,,,1970,1990,2160,,2600,2160,1650,1350,1200,1740,970,1870,1740,1840,1230,1030,870,1050,1180,1830,700,930,770,480,1650,1220,3850,9740,1040,1020,1000
KP,600,390,430,610,750,540,640,660,470,450,450,530,450,,,560,500,470,,500,490,400,440,420,460,330,450,480,490,430,360,370,370,390,480,300,350,310,80,160,60,170,410,90,100,90
PKKO,40,50,40,90,90,80,80,80,70,80,80,90,70,,,70,70,70,,90,100,80,90,80,90,60,80,80,90,80,70,70,70,70,100,70,80,90,20,20,10,40,140,1030,1390,860
RN,28580,20530,31020,20170,19650,16510,15280,16530,14740,17240,19060,21240,23620,27030,30470,25650,17530,15390,13090,11690,13510,14000,14420,15030,15550,16620,17510,18570,19690,21230,21830,22240,21100,20780,18410,16930,15820,14670,15530,15210,14150,11950,6480,240,90,40
CRN,13000,18000,12000,18000,19000,22000,24000,22000,25000,21000,19000,17000,15000,14000,12000,14000,21000,24000,28000,31000,27000,26000,25000,24000,23000,22000,21000,20000,19000,17000,17000,16000,17000,18000,20000,22000,23000,25000,23000,24000,26000,31000,56000,1528000,3907000,8173000
CPZ,8000,25000,12000,18000,15000,15000,13000,11000,14000,11000,11000,10000,10000,9000,8000,9000,10000,12000,14000,14000,12000,13000,14000,16000,16000,17000,16000,14000,13000,11000,12000,14000,17000,17000,17000,20000,22000,26000,34000,32000,36000,39000,26000,778000,2116000,5847000
RZ,44310,16710,24110,19080,21070,21920,24720,24060,20970,25090,28150,25710,26170,27580,26700,32409,52880,46220,39280,37750,27690,26400,22980,19830,19080,16880,18190,18780,18850,18340,17190,16830,15970,17720,15990,15070,13890,11730,12250,14740,16030,15630,290140,397800,,
CRZ,8000,22000,15000,19000,17000,17000,15000,15000,17000,15000,13000,14000,14000,13000,14000,11000,7000,8000,9000,10000,13000,14000,16000,18000,19000,22000,20000,19000,19000,20000,21000,22000,23000,21000,23000,24000,26000,31000,30000,25000,23000,23000,1000,1000,,
RMO,16309,8690,13970,9480,9510,8820,8890,8700,7940,9050,9950,11400,12000,13370,13960,12250,10540,9610,8170,7740,8270,8480,8260,8039,8070,7910,8480,8890,9090,9230,9010,9000,8540,8770,7920,7360,6910,6240,6460,7110,7110,7130,6020,220,80,40
RMT,167540,148860,60140,69320,78210,82920,87100,62790,36800,29520,25890,26970,30200,33500,34600,33990,33740,26870,22850,18620,16190,16239,16290,16149,16100,15720,15770,15850,15960,15560,15260,15190,14380,14950,13860,13130,12690,12010,12730,12110,9310,5930,2680,100,50,40
RM,14870,8210,11340,8340,8480,7970,8070,7640,6530,6930,7190,8010,8590,9560,9940,9000,8029,7070,6020,5460,5460,5560,5470,5370,5380,5260,5520,5690,5790,5790,5670,5650,5360,5530,5040,4720,4470,4110,4280,4480,4030,3240,1860,70,30,20
COP,21000,40000,27000,37000,36000,39000,39000,37000,42000,36000,32000,31000,29000,27000,26000,25000,28000,32000,37000,41000,40000,40000,41000,42000,42000,44000,41000,39000,38000,37000,38000,38000,40000,39000,43000,46000,49000,56000,53000,49000,49000,54000,57000,1529000,,
CSP,13000,15000,15000,19000,21000,24000,26000,26000,28000,25000,21000,21000,19000,18000,18000,16000,18000,20000,23000,27000,28000,27000,27000,26000,26000,27000,25000,25000,25000,26000,26000,24000,23000,22000,26000,26000,27000,30000,19000,17000,13000,15000,31000,751000,,
