,2011/Q4,2012/Q4,2013/Q4
EVEBITDACurrent,,,
EVEBITDACurrent_yy,,-417.66,-111.06
EVEBITDACurrent_sy,,26.27,-27.61
EVEBITDACurrent_qq,,,
EVEBITDACurrent_sq,,,
ROE,,,
ROE_yy,,-14.15,-18.00
ROE_sy,,14.24,31.45
ROE_qq,,,
ROE_sq,,,
ROA,,,
ROA_yy,,3.88,-19.54
ROA_sy,,9.60,27.40
ROA_qq,,,
ROA_sq,,,
OPM,,,
OPM_yy,,1.62,-3.33
OPM_sy,,-10.66,45.47
OPM_qq,,,
OPM_sq,,,
ROS,,,
ROS_yy,,4.33,-2.54
ROS_sy,,5.58,76.00
ROS_qq,,,
ROS_sq,,,
RS,,,
RS_yy,,1.58,-0.14
RS_sy,,-9.54,24.12
RS_qq,,,
RS_sq,,,
GPM,,,
GPM_yy,,1.54,-3.02
GPM_sy,,1.89,43.32
GPM_qq,,,
GPM_sq,,,
RBS,,,
RBS_yy,,0.60,-2.70
RBS_sy,,-2.45,9.67
RBS_qq,,,
RBS_sq,,,
ROPA,,,
ROPA_yy,,1.20,-20.23
ROPA_sy,,-7.34,25.63
ROPA_qq,,,
ROPA_sq,,,
ZNPO,,,
ZNPO_yy,,12.15,-23.50
ZNPO_sy,,-6.15,-7.13
ZNPO_qq,,,
ZNPO_sq,,,
ZFI,,,
ZFI_yy,,-64.67,-67.08
ZFI_sy,,0.73,-65.53
ZFI_qq,,,
ZFI_sq,,,
DTAR,,,
DTAR_yy,,-42.45,10.00
DTAR_sy,,1.09,-5.48
DTAR_qq,,,
DTAR_sq,,,
CG,,,
CG_yy,,-52.44,12.11
CG_sy,,1.05,-8.52
CG_qq,,,
CG_sq,,,
LDER,,,
LDER_yy,,,
LDER_sy,,,
LDER_qq,,,
LDER_sq,,,
PZAT,,,
PZAT_yy,,,
PZAT_sy,,,
PZAT_qq,,,
PZAT_sq,,,
PELDR,,,
PELDR_yy,,,
PELDR_sy,,,
PELDR_qq,,,
PELDR_sq,,,
TSF,,,
TSF_yy,,,
TSF_sy,,,
TSF_qq,,,
TSF_sq,,,
ZKO,,,
ZKO_yy,,-43.87,2.95
ZKO_sy,,-2.46,-6.67
ZKO_qq,,,
ZKO_sq,,,
OSF,,,
OSF_yy,,-24.25,48.12
OSF_sy,,-7.18,7.04
OSF_qq,,,
OSF_sq,,,
NetDebt,2941000000,-8316000000,-17654000000
NetDebt_yy,,,
NetDebt_sy,,,
NetDebt_qq,,,
NetDebt_sq,,,
NetDebtEBITDA,,,
NetDebtEBITDA_yy,,-311.92,-87.12
NetDebtEBITDA_sy,,-25.74,-18.27
NetDebtEBITDA_qq,,,
NetDebtEBITDA_sq,,,
DebtFin,-5295000000,-13829000000,-27172000000
DebtFin_yy,,,
DebtFin_sy,,,
DebtFin_qq,,,
DebtFin_sq,,,
DebtFinEBITDA,,,
DebtFinEBITDA_yy,,-95.71,-73.21
DebtFinEBITDA_sy,,-132.93,-414.78
DebtFinEBITDA_qq,,,
DebtFinEBITDA_sq,,,
SP1,,,
SP1_yy,,34.95,43.85
SP1_sy,,-0.81,7.10
SP1_qq,,,
SP1_sq,,,
SP2,,,
SP2_yy,,34.95,43.85
SP2_sy,,5.13,11.19
SP2_qq,,,
SP2_sq,,,
CAR,,,
CAR_yy,,190.18,18.46
CAR_sy,,206.76,73.96
CAR_qq,,,
CAR_sq,,,
QR,,,
QR_yy,,88.25,6.38
QR_sy,,20.72,21.36
QR_qq,,,
QR_sq,,,
CR,,,
CR_yy,,78.17,-2.89
CR_sy,,6.45,17.20
CR_qq,,,
CR_sq,,,
PP,,,
PP_yy,,190.02,18.46
PP_sy,,211.18,74.14
PP_qq,,,
PP_sq,,,
RCLR,,,
RCLR_yy,,42.82,-6.54
RCLR_sy,,7.61,0.67
RCLR_qq,,,
RCLR_sq,,,
KP,,,
KP_yy,,26.18,6.09
KP_sy,,14.41,39.25
KP_qq,,,
KP_sq,,,
PKKO,,,
PKKO_yy,,26.98,27.49
PKKO_sy,,8.59,47.33
PKKO_qq,,,
PKKO_sq,,,
RN,,,
RN_yy,,21.20,-19.77
RN_sy,,4.19,-4.68
RN_qq,,,
RN_sq,,,
CRN,85000,70000,87000
CRN_yy,,-17.65,24.29
CRN_sy,,-5.67,6.02
CRN_qq,,,
CRN_sq,,,
CPZ,53000,31000,41000
CPZ_yy,,-41.51,32.26
CPZ_sy,,-7.03,3.49
CPZ_qq,,,
CPZ_sq,,,
RZ,,,
RZ_yy,,24.32,56.46
RZ_sy,,-14.06,0.51
RZ_qq,,,
RZ_sq,,,
CRZ,41000,33000,21000
CRZ_yy,,-19.51,-36.36
CRZ_sy,,12.98,
CRZ_qq,,,
CRZ_sq,,,
RMO,,,
RMO_yy,,-2.85,-22.78
RMO_sy,,-3.11,1.86
RMO_qq,,,
RMO_sq,,,
RMT,,,
RMT_yy,,11.07,21.00
RMT_sy,,-8.03,0.23
RMT_qq,,,
RMT_sq,,,
RM,,,
RM_yy,,-0.37,-17.48
RM_sy,,0.71,-4.60
RM_qq,,,
RM_sq,,,
COP,126000,103000,108000
COP_yy,,-18.25,4.85
COP_sy,,4.85,-8.54
COP_qq,,,
COP_sq,,,
CSP,73000,72000,67000
CSP_yy,,-1.37,-6.94
CSP_sy,,18.89,-4.67
CSP_qq,,,
CSP_sq,,,
