,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebtEBITDA,970,5630,7420,4300,8980,,4990,3480,5780,,2870,4490,8250,,26320,6140,7500,18340,37040,75500,-23050,-42910,-29630,-11960,-60310,-54120,-34260,18110,14970,14740,8730,27210,96350,24870,592980,13030,6840
DebtFin,46163000000,82059000000,273684000000,350127000000,367746000000,,375289000000,410376000000,353469000000,,384269000000,267776000000,306699000000,,354227000000,392237000000,457427000000,476844000000,493452000000,508370000000,480990000000,493957000000,519135000000,558527000000,522563000000,539841000000,542284000000,491751000000,497211000000,486489000000,495405000000,479436000000,370380000000,373502000000,364841000000,363881000000,336593000000
DebtFinEBITDA,420,2760,5060,3480,6760,,3910,2580,3640,,2440,3870,7450,,23880,5620,6820,16690,33310,75620,-21330,-37240,-24320,-10470,-51500,-45930,-29720,15670,12940,12950,7630,23560,80400,20780,486450,10700,5620
SP1,760,710,360,550,660,,630,940,880,,850,800,690,,660,630,560,560,520,550,530,510,470,470,450,420,420,460,460,470,460,460,540,550,570,560,580
SP2,1030,1230,780,1160,1190,,1230,1780,1650,,1500,1440,1330,,1030,1000,1070,840,870,950,950,930,1080,1080,900,880,910,980,1070,1080,1060,1060,1100,1110,1100,1090,1070
CAR,30,60,20,20,10,,160,90,60,,250,1970,1940,,80,50,100,30,50,70,70,50,70,60,30,30,30,50,120,110,110,110,160,140,120,150,150
QR,260,380,130,170,340,,320,260,450,,1170,3570,3160,,330,280,440,210,190,470,480,350,690,700,250,230,290,380,590,610,510,530,600,650,640,610,640
CR,1050,1530,670,600,700,,970,720,1030,,2160,5550,5960,,1130,970,1500,580,600,850,870,790,1410,1390,690,640,710,910,1400,1500,1340,1360,1510,1560,1460,1450,1430
PP,30,60,20,20,10,,160,90,60,,250,1970,1940,,90,50,100,30,90,370,300,50,80,60,30,30,30,50,120,110,110,110,160,140,120,150,150
RCLR,220,320,100,150,340,,150,160,390,,920,1570,1170,,240,220,320,180,100,100,170,300,610,640,220,200,250,330,470,500,410,420,450,510,520,470,500
KP,20,140,-150,-130,-90,,-10,-70,10,,130,290,240,,20,-10,60,-130,-110,-40,-40,-50,60,60,-80,-100,-80,-20,60,70,50,50,70,80,70,70,60
PKKO,-8910,-47820,59910,36970,48130,,7380,122280,-8670,,-128860,-225960,-159010,,-13140,3270,-36720,91440,78910,33990,26350,47090,-61310,-71970,132690,149550,115720,28640,-85590,-108290,-88790,-93250,-122080,-137070,-136410,-135270,-111980
RN,3410,2500,4120,4650,1650,1530,1240,1130,1190,1360,2190,1730,1990,1830,650,1120,1110,980,1160,1350,1380,1350,1030,820,810,870,1050,1240,1220,1330,1330,1380,1440,1250,1450,1360,1610
CRN,107000,146000,89000,79000,221000,238000,293000,324000,308000,269000,167000,212000,184000,200000,558000,325000,329000,373000,315000,271000,265000,270000,356000,445000,451000,421000,347000,295000,298000,274000,274000,264000,254000,293000,252000,269000,226000
CPZ,478000,463000,856000,517000,1099000,1188000,1442000,1450000,1274000,1113000,420000,303000,161000,176000,795000,976000,1306000,1694000,1779000,1830000,1912000,1653000,1408000,1175000,1125000,1147000,1170000,1198000,1035000,768000,664000,590000,575000,660000,532000,553000,454000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,730,520,640,1170,540,500,350,320,320,360,770,610,600,550,160,230,240,240,260,260,260,280,280,300,330,340,390,420,420,460,440,440,450,380,470,440,550
RMT,410,350,280,390,180,160,110,110,130,150,360,300,270,250,60,60,50,50,60,60,70,80,80,80,80,80,90,100,100,110,110,110,110,100,130,130,160
RM,260,210,190,220,100,100,70,60,70,80,180,170,170,160,40,50,40,40,50,50,50,60,60,70,70,70,70,80,80,90,90,90,90,80,100,100,120
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
