,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,7337916000,7337916000,7337916000,7337916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000,9537916000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,16.72,10.92,92.90,,14.00,,,8.20,7.75,7.41,6.60,9.64,7.16,5.71,5.51,-1.81,-4.48,-2.81,-0.46,3.00,4.52,4.47,6.15
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,2.47,2.02,1.31,2.16,2.05,1.69,0.56,5.07,-0.26,0.32,0.37,-2.22,-2.97,2.06,2.79,1.18,-1.54,2.02,4.45
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-14.33,-9.84,-48.16,,-12.28,,,-7.58,-7.20,-6.90,-6.20,-8.79,-6.67,-5.40,-5.21,1.84,4.67,2.90,0.45,-2.92,-4.32,-4.28,-5.79
CWKCurrent_sy,,49.50,2.69,4.58,,-7.48,,,1.99,-10.11,-11.02,-10.84,-8.49,-3.21,-2.11,-0.49,-1.64,-9.47,-16.12,-12.34,-5.16,-2.61,3.40,0.27
