,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
KP,180,10,-150,-330,-190,240,120,80,40,30,390,-40,-170,240,250,230,210,170,150,100,90,60,80,60,50,40,10,-10,40,40
PKKO,-27170,0,-40,-290,-120,-12030,-5020,-160,-60,,-27160,1330,-410,460,380,300,340,320,240,150,140,90,100,80,110,100,20,-30,110,110
RN,3080,18370,14300,8470,6390,8130,8370,7580,9220,6430,5430,5370,4620,4320,3690,3390,2760,2850,3030,3060,4440,4340,4800,5240,4480,4100,4030,3600,3360,4310
CRN,119000,20000,26000,43000,57000,45000,44000,48000,40000,57000,67000,68000,79000,84000,99000,108000,132000,128000,120000,119000,82000,84000,76000,70000,81000,89000,91000,101000,109000,85000
CPZ,169000,70000,74000,124000,141000,143000,153000,126000,109000,124000,104000,113000,126000,120000,140000,130000,126000,128000,128000,134000,111000,119000,119000,118000,147000,153000,151000,161000,173000,143000
RZ,,23350,22170,35490,34600,,,-8250,-12100,,,,6950,14780,18770,34940,49850,39700,30550,19420,20930,17690,16200,17110,10850,8109,7690,7420,7900,12000
CRZ,,16000,16000,10000,11000,,,-44000,-30000,,,,53000,25000,19000,10000,7000,9000,12000,19000,17000,21000,23000,21000,34000,45000,47000,49000,46000,30000
RMO,1760,3680,5240,3640,3810,2910,2470,2380,2470,2570,2570,2550,2680,2320,1990,1870,1570,1600,1690,1670,2230,2280,2390,2470,2009,1900,2029,2040,1940,2350
RMT,89850,7660,8180,4150,3410,2590,2190,1960,2210,2640,2820,2720,2630,2300,1850,1810,1630,1530,1510,1240,1550,1420,1340,1400,960,760,750,690,620,890
RM,1730,3960,3690,2290,1800,1370,1160,1070,1170,1300,1350,1320,1330,1150,960,920,800,780,800,710,910,870,860,890,650,540,550,510,470,650
COP,,36000,42000,53000,68000,,,4000,10000,,,,132000,109000,118000,118000,139000,137000,132000,138000,99000,105000,99000,91000,115000,134000,138000,150000,155000,115000
CSP,,-34000,-32000,-71000,-73000,,,-122000,-99000,,,,6000,-11000,-22000,-12000,13000,9000,4000,4000,-12000,-14000,-20000,-27000,-32000,-19000,-13000,-11000,-18000,-28000
