,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZKO,950,1050,1040,770,,810,820,810,,810,780,810,,850,860,850,,850,830,830,,850,840,870,,990,980,980,990,1050,1070,1100,1120,1150,1080,1080,1080,1030,1020,1010,1000,980,960,960,930,1040,1010,870,870,980,990,1020
OSF,670,590,590,1030,,1090,1060,1180,,1250,1260,1290,,1160,1150,1180,,1050,1050,1060,,1080,1080,1100,,870,890,900,870,690,650,550,480,550,640,650,640,750,800,840,900,960,1050,1070,1170,730,840,1560,1530,990,1000,830
NetDebt,248401000000,272761000000,260988000000,268528000000,,298137000000,376987000000,445120000000,,373750000000,409797000000,554051000000,,563017000000,642881000000,665727000000,,518377000000,544903000000,611950000000,,578630000000,766126000000,1066428000000,,1191679000000,1336305000000,1617340000000,1583796000000,1448165000000,1470406000000,1572428000000,1610707000000,1179153000000,1050381000000,1079063000000,1110040000000,971796000000,864974000000,930653000000,895685000000,710723000000,712780000000,714106000000,685378000000,692889000000,672085000000,723177000000,723850000000,756570000000,750211000000,839254000000
NetDebtEBITDA,-7440,25210,13340,6660,,7340,12520,11010,,4760,3930,5440,,3890,3510,3100,,2480,3040,3900,,4830,7880,12940,,-11380,-11800,-13060,-13210,-17040,-16120,-11910,-11370,-5730,-5610,-7710,-11020,19600,20930,23090,20420,11440,9300,9640,9900,11830,12900,13230,18740,23360,32890,-111410
DebtFin,-18794000000,8780000000,-92202000000,-70809000000,,-129677000000,-58236000000,-77166000000,,-241912000000,-168495000000,-154836000000,,-250197000000,-285387000000,-320110000000,,-338624000000,-231053000000,-176088000000,,-363759000000,-95012000000,22075000000,,-97816000000,188449000000,269980000000,284653000000,225950000000,380398000000,478578000000,504674000000,265423000000,144404000000,166184000000,122333000000,50143000000,-8078000000,-33577000000,3625000000,-138186000000,-76823000000,-48824000000,-35327000000,4511000000,99074000000,100774000000,138179000000,125762000000,171399000000,176311000000
DebtFinEBITDA,560,810,-4710,-1760,,-3190,-1930,-1910,,-3080,-1620,-1520,,-1730,-1560,-1490,,-1620,-1290,-1120,,-3040,-980,270,,930,-1660,-2180,-2380,-2660,-4170,-3630,-3560,-1290,-770,-1190,-1210,1010,-200,-830,80,-2220,-1000,-660,-510,80,1900,1840,3580,3880,7510,-23410
SP1,700,560,570,1340,,1360,1290,1450,,1550,1610,1590,,1370,1330,1380,,1230,1270,1280,,1270,1290,1260,,870,910,920,880,660,610,500,430,480,590,600,590,730,780,840,900,980,1090,1120,1250,700,840,1800,1750,1000,1020,820
SP2,920,1000,1500,1530,,1660,1600,1760,,1730,1790,1770,,1560,1500,1560,,1540,1570,1550,,1550,1580,1550,,1150,1170,1180,1150,910,870,750,710,750,890,1350,1380,1750,1740,1900,1900,1970,2330,2370,2060,2020,2130,3360,3320,3130,2090,1950
CAR,200,240,510,300,,410,240,240,,460,350,270,,370,360,380,,520,430,350,,500,250,130,,220,40,60,80,120,50,30,40,90,180,180,210,220,270,270,240,410,400,370,330,320,190,200,150,160,80,90
QR,880,990,1270,1120,,1100,1030,1000,,880,830,790,,850,790,730,,930,900,900,,910,860,890,,870,840,850,870,850,800,790,770,770,810,910,890,970,870,850,850,850,880,1000,890,910,1000,1180,1160,1070,850,790
CR,1190,1200,1540,1410,,1390,1360,1360,,1310,1360,1300,,1250,1210,1230,,1350,1400,1360,,1320,1360,1270,,1100,1110,1090,1080,1020,1000,970,960,950,990,1130,1140,1210,1210,1220,1230,1260,1360,1380,1270,1290,1360,1510,1530,1470,1210,1160
PP,220,240,520,300,,410,240,250,,460,360,290,,370,360,380,,520,430,350,,500,250,130,,220,40,60,80,120,50,30,40,90,180,180,210,220,270,270,240,410,400,370,330,320,190,200,150,160,80,90
RCLR,670,780,820,820,,770,790,800,,530,600,640,,620,600,600,,560,610,650,,500,530,550,,410,480,470,430,390,390,410,420,430,370,450,460,520,400,490,490,390,420,470,410,600,660,640,640,650,480,490
KP,110,110,250,220,,220,210,210,,190,210,190,,160,140,150,,190,210,200,,180,200,160,,70,80,70,60,10,0,-30,-40,-40,-10,90,100,150,140,150,160,170,220,230,180,190,220,300,300,280,150,120
PKKO,80,70,160,160,,150,120,130,,110,110,110,,100,100,110,,120,130,120,,120,130,110,,40,40,40,30,10,0,-20,-40,-30,-10,90,110,150,140,170,170,190,230,220,170,160,170,300,310,290,160,140
