,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500
ShareAmountCurrent,2492326000,2492326000,2492326000,2492326000,2492326000,2492326000,3421926000,3421926000,3421926000,3421926000,3421926000,3421926000,3421926000,3455526000,3455526000,3455526000,3455526000,3455526000,3455526000,3455526000,3455526000,3606526000,3606526000,3606526000,3606526000,3606526000,3606526000,3606526000,3606526000,3606526000
WKCurrent,370,1070,4350,4770,5300,5960,20860,21560,22300,21950,22770,23650,24750,24280,25470,26270,27740,27660,28460,28700,36390,35290,37240,49070,47630,45250,46930,46840,47360,50940
CWKCurrent,117930,40640,10000,9120,8210,7300,2090,2020,1950,1980,1910,1840,1760,1790,1710,1660,1570,1570,1530,1520,1200,1230,1170,890,910,960,930,930,920,850
WKGrahamCurrent,-50,730,-160,2910,3260,3510,18870,18540,16360,12890,14690,13010,14360,10310,11180,11360,13060,12700,8870,14930,-6670,-12170,-9370,-18130,-17620,-13540,-8380,-6890,-5230,-1760
CWKGrahamCurrent,,59240,,14950,13350,12400,2300,2350,2660,3370,2960,3340,3030,4220,3890,3830,3330,3430,4900,2910,,,,,,,,,,
PCurrent,120,1650,2040,2330,2690,3420,2910,3200,3490,3690,4019,4590,5370,6140,7450,8600,10040,11700,12830,14280,15380,21880,29670,35470,42870,49260,52000,56390,57230,53940
CPCurrent,373460,26400,21360,18680,16200,12720,14940,13580,12450,11800,10820,9480,8100,7080,5840,5060,4330,3720,3390,3050,2830,1990,1470,1230,1010,880,840,770,760,810
ZCurrent,-370,700,910,1210,1450,790,1770,2170,2490,3640,3010,3180,3570,3890,4260,4200,4580,4980,4590,4030,830,2310,2790,11120,13320,12510,13610,7080,7670,6190
CZCurrent,,62000,47940,36060,29910,54860,24630,20080,17480,11940,14450,13690,12180,11170,10210,10350,9500,8740,9480,10790,52300,18820,15570,3910,3260,3480,3200,6140,5670,7020
ZOCurrent,-380,770,770,1240,1900,2120,2400,2070,2190,2370,2630,2920,3420,3870,4210,4019,4280,4930,4900,6110,2990,4560,5970,12900,14960,16110,17560,11600,13200,9680
CZOCurrent,,56560,56560,35110,22880,20470,18120,21050,19900,18330,16530,14880,12710,11230,10340,10820,10160,8820,8870,7110,14550,9550,7280,3370,2910,2700,2480,3750,3300,4500
EVCurrent,43490,42830,43500,40770,40720,40250,25060,26420,28200,30410,31880,32290,32980,36160,37930,36500,36160,32090,37720,37730,64170,59180,58590,54590,63360,58990,55570,54600,54200,49320
EVPCurrent,373340,25990,21360,17500,15160,11770,8610,8250,8070,8250,7930,7040,6140,5880,5090,4240,3600,2740,2940,2640,4170,2700,1970,1540,1480,1200,1070,970,950,910
EVEBITCurrent,-115540,55690,56560,32910,21420,18950,10440,12790,12900,12810,12110,11040,9640,9330,9010,9080,8440,6510,7690,6170,21470,12990,9810,4230,4240,3660,3160,4710,4110,5100
EVEBITDACurrent,-118700,50410,51200,29990,20140,17930,9710,12040,12020,11840,11520,10540,9240,8980,8670,8700,8050,6160,7150,5730,18220,11460,8790,3850,3720,3120,2650,3630,3300,3850
DTAR,330,80,40,120,90,90,20,20,30,70,30,30,60,110,50,40,50,100,60,30,410,430,400,420,340,330,310,300,270,280
CG,490,90,40,130,100,100,20,20,30,80,30,30,60,120,50,50,50,120,70,30,730,780,700,880,620,590,550,510,450,480
LDER,,0,,90,70,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,190,610,570,460,410,420,410,400,360,70
