,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,,2.37,0.95,2.37,3.17,0.51,5.08,2.19,-4.32,4.18,4.21,1.46,2.01,-3.47,-1.16,-1.99,-3.59,4.01,-0.31,1.74,2.78,4.30,1.29,3.94,0.48,-1.95,2.41,3.33,7.19
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,9.70,-10.21,,,-15.88,,-8.38,-6.68,-10.34,-10.18,-3.15,-6.57,-5.78,-5.11,-11.00,-3.94,1.26,4.83,10.92,2.94,2.07,-1.68,-7.76,-8.02,-9.47,-11.39,-9.37,-3.60,-4.65,-4.07,-10.08
CPCurrent_sy,,8.49,-17.12,,,-35.85,,-25.15,-24.65,-8.47,-2.32,1.32,1.79,1.77,-8.60,-5.15,-1.44,4.76,-9.30,-7.50,-7.44,-4.03,2.96,-12.95,-13.89,-14.03,-17.45,-6.29,-7.45,-6.64,-4.77,-2.98
CPCurrent_qq,,,,,-2.32,-0.94,-2.32,-3.07,-0.50,-4.83,-2.14,4.51,-4.01,-4.03,-1.44,-1.97,3.60,1.17,2.04,3.72,-3.86,0.31,-1.71,-2.70,-4.12,-1.27,-3.80,-0.48,1.99,-2.35,-3.21,-6.71
CPCurrent_sq,,,,,-3.93,-26.77,14.26,-6.88,-3.28,-11.05,21.94,-3.42,-2.83,-11.07,9.52,0.23,0.96,-5.47,-5.18,2.21,1.03,-1.98,1.72,-13.58,-0.07,-2.14,-2.32,-1.89,-1.30,-1.29,-0.36,-0.04
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-1.99,0.39,,,7.09,,1.68,1.29,9.48,15.09,2.25,-0.32,5.26,0.58,1.25,-0.68,-4.96,-2.59,1.77,10.25,11.77,10.59,11.40,12.27,5.14,7.55,3.17,-4.86,1.37,2.26,19.08
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
