,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent,12750,13610,15130,13730,14140,13670,12660,11250,11000,16340,15710,16500,19550,17240,45670,132330,62900,13830,8390,8150,8480,9000,8840,9200,9500,12300,16780,17720,20060,10230,7660,6420,5630,7790,7130,7200,7310,6580,6090,5620,6060,6450,6010,7130,7880,6600,5770,5200,5570,5850,5560,5320
DTAR,380,320,320,330,,310,300,270,,260,250,280,,300,330,330,,310,290,310,,300,290,300,340,350,420,420,440,430,420,400,390,410,370,390,390,380,360,360,360,360,370,380,360,360,310,270,280,300,280,260
CG,600,460,460,500,,450,430,370,,350,330,390,,440,490,480,,450,410,450,,430,410,440,520,540,720,730,780,760,710,680,640,700,590,630,640,620,570,560,570,570,590,610,570,550,450,370,380,430,390,360
LDER,270,320,310,340,,320,300,210,,180,170,180,,200,240,260,,170,170,170,,210,210,220,230,230,330,440,440,410,400,410,390,430,370,420,410,410,390,370,410,370,340,270,270,230,210,210,220,210,200,190
PZAT,4810,2650,2730,2650,,2790,2830,4310,,4830,5170,5120,,5070,4290,4200,,6120,6090,6230,,5160,5120,5040,4920,5090,3860,2970,3010,3040,3010,2970,3020,2730,3040,2650,2690,2710,2730,2850,2590,2930,3050,3870,3950,4540,4610,4650,4610,4630,4740,4710
PELDR,920,1170,1210,1180,,1200,1250,1110,,1150,1170,1130,,1130,1120,1080,,1050,1080,1040,,1040,1100,1050,1050,990,960,1000,990,1040,1060,1060,1080,1090,1120,1120,1140,1130,1170,1160,1200,1180,1170,1090,1070,1090,1130,1100,1100,1120,1140,1150
TSF,790,900,900,890,,910,910,880,,880,880,850,,830,830,850,,810,830,810,,850,850,850,810,800,770,830,810,800,820,840,850,840,860,870,860,870,880,880,900,870,840,790,810,790,840,880,880,840,860,880
ZKO,2690,1400,1250,1360,,1280,1130,1330,,1180,1070,1230,,1260,1410,1670,,1500,1370,1540,,1630,1420,1750,1680,1810,2180,2500,2470,1930,1820,1970,1880,1840,1640,1770,1650,1690,1520,1520,1480,1410,1340,1410,1540,1320,1220,1400,1370,1240,1150,1130
OSF,1950,1240,1140,1200,,1160,1070,1220,,1120,1050,1150,,1160,1230,1400,,1310,1230,1330,,1400,1270,1470,1390,1460,1570,1740,1690,1420,1380,1480,1450,1400,1330,1390,1320,1350,1280,1280,1250,1210,1170,1200,1290,1170,1130,1270,1250,1140,1100,1090
NetDebt,9265202000000,6244950000000,5374021000000,5604407000000,,5955281000000,4749985000000,5231131000000,,5756653000000,4925845000000,5601466000000,,7426732000000,8039795000000,8170242000000,,8417242000000,7266178000000,7703650000000,,8662939000000,8151892000000,9064660000000,10996020000000,11794000000000,15442375000000,16212475000000,17575250000000,18659000000000,16947000000000,15922000000000,16192000000000,16782000000000,13412000000000,14436000000000,14938000000000,15232000000000,12765000000000,11465000000000,12357000000000,10820000000000,9919000000000,10276000000000,11649000000000,11204000000000,9330000000000,9262000000000,10837000000000,11548000000000,9771000000000,8732000000000
NetDebtEBITDA,3240,2230,2160,2060,,2150,1640,1610,,2510,2100,2530,,3340,9570,27700,,2930,1600,1630,,1960,1860,2100,2540,3420,5770,6180,7330,4050,2930,2300,2050,2990,2310,2510,2580,2400,1970,1670,1850,1780,1610,1970,2310,1880,1470,1320,1560,1760,1510,1300
DebtFin,3473296000000,-772562000000,-1316757000000,-1616613000000,,-1081611000000,-2253182000000,-2363383000000,,-1445534000000,-2107430000000,-2302659000000,,-509129000000,-514951000000,142497000000,,831838000000,-715541000000,-292590000000,,825809000000,-89599000000,793644000000,2288659000000,3494000000000,6040587000000,7587336000000,9230269000000,8263000000000,5457000000000,5549000000000,5551000000000,4834000000000,2568000000000,2477000000000,3427000000000,2880000000000,656000000000,-245000000000,1559000000000,360000000000,-1933000000000,-1693000000000,851000000000,523000000000,-1455000000000,-1597000000000,721000000000,428000000000,-2043000000000,-2407000000000
DebtFinEBITDA,1220,-280,-530,-600,,-390,-780,-730,,-630,-900,-1040,,-230,-610,480,,290,-160,-60,,190,-20,180,530,1010,2260,2890,3850,1790,940,800,700,860,440,430,590,450,100,-40,230,60,-310,-320,170,90,-230,-230,100,70,-320,-360
SP1,730,880,920,880,,910,950,920,,950,980,930,,920,880,840,,870,900,860,,860,890,840,830,810,720,700,680,730,760,750,770,760,810,780,800,800,840,840,850,860,870,850,840,880,930,900,910,920,950,960
SP2,920,1160,1200,1180,,1200,1240,1110,,1120,1150,1100,,1100,1090,1050,,1020,1050,1010,,1040,1070,1030,1020,990,960,1000,990,1030,1060,1060,1070,1080,1110,1120,1130,1130,1170,1160,1190,1180,1170,1080,1060,1090,1130,1100,1100,1120,1140,1150
CAR,150,1090,1200,1220,,1260,1640,740,,450,660,570,,290,370,300,,200,350,340,,270,300,200,150,190,230,190,140,200,350,350,260,360,570,600,560,460,830,950,960,960,1030,770,600,560,680,520,280,340,500,520
QR,550,1990,2360,1910,,2140,2640,1340,,1300,1600,1100,,970,1100,850,,770,990,720,,980,1160,730,600,680,690,610,510,790,980,870,770,930,1260,1180,1030,1200,1640,1500,1660,1630,1560,1080,910,1050,1390,1270,1090,1190,1480,1470
CR,670,2300,2490,2200,,2660,2940,1730,,1790,1950,1540,,1440,1410,1290,,1090,1240,1050,,1210,1410,1160,1070,960,840,1010,940,1120,1250,1280,1360,1380,1650,1710,1700,1740,2060,1990,2390,1990,1740,1280,1240,1290,1580,1670,1670,1550,1750,1930
PP,240,1130,1420,1360,,1280,1650,740,,460,670,590,,320,380,310,,210,360,360,,280,400,270,230,230,230,220,160,210,370,400,300,400,600,640,590,550,910,1030,1070,1070,1110,820,650,620,720,580,330,400,570,700
RCLR,330,890,880,520,,890,940,590,,960,990,580,,760,780,630,,660,680,420,,700,830,550,500,450,430,360,330,580,580,440,480,530,600,510,430,670,670,420,560,540,400,230,250,410,600,630,710,760,830,690
KP,-70,130,150,130,,150,180,90,,100,110,80,,70,70,40,,20,40,10,,30,60,20,10,-10,-40,0,-10,20,50,40,60,60,90,90,100,100,120,120,140,130,120,60,50,60,90,80,80,90,100,110
PKKO,1300,-2760,-3560,-3230,,-3580,-4260,-1830,,-1940,-2270,-1610,,-1540,-1430,-880,,-350,-860,-210,,-690,-1340,-530,-320,210,910,-30,250,-550,-1020,-940,-1120,-1220,-1630,-1660,-1810,-1880,-2400,-2180,-2610,-2220,-2140,-1070,-840,-1160,-1700,-1350,-1390,-1570,-1920,-2070
RN,5610,6250,6250,6060,6230,6460,6540,6470,6620,6230,5810,5660,5830,5710,5750,5580,5510,5490,5670,5850,5990,6450,6260,6230,6430,6560,7150,7700,8400,7740,7530,7340,7250,7980,8510,8740,9120,9730,10560,11380,11430,11670,11780,11280,11580,10850,9890,9540,8660,8109,8070,7840
CRN,65000,58000,58000,60000,59000,56000,56000,56000,55000,59000,63000,64000,63000,64000,63000,65000,66000,66000,64000,62000,61000,57000,58000,59000,57000,56000,51000,47000,43000,47000,48000,50000,50000,46000,43000,42000,40000,38000,35000,32000,32000,31000,31000,32000,32000,34000,37000,38000,42000,45000,45000,47000
CPZ,199000,147000,107000,80000,78000,75000,73000,71000,70000,71000,74000,79000,76000,84000,89000,90000,91000,96000,98000,107000,105000,96000,92000,85000,90000,99000,108000,109000,110000,109000,102000,101000,96000,90000,84000,79000,77000,68000,61000,59000,55000,57000,65000,82000,95000,105000,102000,86000,75000,67000,61000,62000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,2750,2340,2190,1960,2009,1990,1940,2140,2190,2430,2690,2660,2740,2690,2800,2920,2880,3020,3120,3040,3110,3300,3280,3420,3380,3270,3430,3470,3560,3420,3280,3140,3070,3100,3070,3050,2950,3150,3330,3340,3300,3060,2800,2570,2550,2540,2680,3020,3210,3410,3600,3430
RMT,450,520,590,620,640,650,650,670,680,730,750,780,810,820,860,840,830,810,800,790,810,820,810,790,800,790,810,810,790,810,830,830,850,860,850,860,870,930,1000,1030,1030,990,960,920,900,910,930,950,970,990,1030,1030
RM,380,430,460,470,490,490,490,510,520,560,590,610,620,630,660,650,640,640,640,630,640,660,650,640,650,630,650,660,650,650,660,660,660,670,660,670,670,720,770,780,780,750,710,670,660,670,690,720,740,760,800,790
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
