,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880
ShareAmountCurrent,1330170000,1330170000,1330170000,1330170000,1330170000,1330170000,1330170000,1846837000,1846837000,3820170000,3820170000,3820170000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000,3820500000
WKCurrent,68050,62580,0,55450,61550,63510,0,35920,28550,15650,12990,12570,9520,9660,8080,6730,6100,4930,4700,3520,4190,3480,3450,3490,3580,3600,3720,2940,3200,30
CWKCurrent,10,10,,20,10,10,,20,30,60,70,70,90,90,110,130,140,180,190,250,210,250,260,250,250,240,240,300,280,25280
WKGrahamCurrent,46790,15890,0,38280,43080,42040,0,23390,12390,8010,5330,4850,420,1900,300,850,-40,-3810,-1330,-930,-840,-2640,-2550,-2470,-2480,-3730,-3010,-3310,-3810,-4930
CWKGrahamCurrent,20,60,,20,20,20,,40,70,110,170,180,2100,460,2890,1040,,,,,,,,,,,,,,
PCurrent,9240,13490,11650,9620,4450,4510,3380,1920,1570,820,800,900,1170,1400,1420,1320,1010,590,450,1500,1530,1650,1970,800,1280,1250,1080,1290,860,590
CPCurrent,100,70,80,90,200,200,260,460,560,1070,1100,980,750,630,620,670,870,1500,1970,590,580,530,450,1100,690,700,820,680,1020,1500
ZCurrent,12870,2840,-5990,-13080,-7220,1350,-2630,-8570,-20320,-11460,-11800,-7460,-6930,-5990,-4910,-5830,-3420,-4730,-3380,-3210,-2750,-1450,-1130,-460,-210,-320,-280,-570,-610,-3820
CZCurrent,70,310,,,,650,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent,-10,-1210,-3950,-5560,-9330,-9110,-9860,-8980,-8220,-3130,-2490,-1140,-770,-480,-280,-1220,-1380,-1720,-1920,-1120,-1040,-840,-510,-590,-190,-170,-460,30,-340,-1720
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,31720,,
EVCurrent,20210,51480,880,43630,10550,29640,880,34940,10080,4210,4410,7560,3360,2740,4410,6930,6300,6220,3300,3280,3660,3530,3280,3170,2920,2170,1920,2200,2120,2040
EVPCurrent,2190,3820,80,4530,2370,6570,260,18210,6430,5120,5520,8380,2860,1960,3100,5270,6250,10620,7380,2180,2390,2140,1670,3950,2280,1730,1790,1700,2450,3480
EVEBITCurrent,-1680410,-42640,-220,-7840,-1130,-3250,-90,-3890,-1230,-1350,-1770,-6620,-4380,-5710,-15960,-5670,-4570,-3620,-1720,-2940,-3520,-4180,-6450,-5340,-15300,-13100,-4140,79260,-6320,-1180
EVEBITDACurrent,349180,-48320,-230,-8130,-1160,-3330,-90,-3960,-1250,-1380,-1810,-6950,-4630,-6070,-17030,-5690,-4570,-3620,-1720,-2950,-3530,-4210,-6510,-5410,-16050,-13790,-4240,61320,-6500,-1190
DTAR,310,500,,470,470,460,,510,420,370,390,390,490,440,480,530,540,580,450,510,530,570,580,560,550,620,540,630,660,990
CG,440,1000,,880,880,850,,1030,720,580,640,640,960,770,920,1110,1190,1360,810,1060,1110,1330,1390,1280,1200,1660,1180,1670,1900,165300
LDER,20,360,,420,380,20,,30,50,40,50,50,70,70,80,70,80,90,100,130,110,220,240,230,250,220,220,250,240,20160
PZAT,750,50,,40,40,760,,490,2980,2800,2780,2610,2620,2520,2520,3400,3410,3640,3640,3640,3670,2410,2280,1820,1590,10,10,440,430,470
PELDR,3500,4150,,5020,4990,3240,,2970,1860,2150,1800,1740,1130,1340,1130,1230,1070,870,850,890,920,700,710,750,760,770,880,800,740,260
TSF,700,680,,760,730,550,,510,610,660,640,640,540,600,560,510,490,460,610,550,520,520,520,540,570,460,560,470,430,130
ZKO,390,800,,560,560,560,,610,620,530,610,620,960,800,960,900,1010,2310,1540,1340,1220,2310,2140,2220,2360,2680,3210,3080,2670,6950
OSF,1350,2430,,1980,2020,1790,,1770,1110,1090,1040,1020,1000,990,1000,1030,1000,1840,1200,1060,1020,1320,1230,1300,1400,1630,2250,1880,1540,70
NetDebt,-32046000000,27075000000,,-23374000000,-23259000000,-30409000000,,-16845000000,-12277000000,-15796000000,-9767000000,-8983000000,4666000000,257000000,6769000000,8143000000,13007000000,21840000000,11039000000,9544000000,12717000000,15852000000,16051000000,14441000000,14514000000,17411000000,14050000000,15819000000,19606000000,20513000000
NetDebtEBITDA,-416180,-19110,,3270,1920,2570,,1030,820,1350,1050,2160,-1680,-150,-6840,-1750,-2470,-3330,-1510,-2240,-3210,-4940,-8340,-6460,-20850,-29020,-8109,115470,-15720,-3140
DebtFin,25716000000,67305000000,,56869000000,12858000000,38252000000,,62901000000,16982000000,12731000000,13491000000,25535000000,9463000000,7094000000,13478000000,23113000000,20710000000,20409000000,9259000000,9174000000,10604000000,10135000000,9167000000,8746000000,7810000000,4914000000,3983000000,5039000000,4744000000,4422000000
DebtFinEBITDA,333970,-47500,,-7970,-1060,-3230,,-3860,-1140,-1090,-1450,-6140,-3420,-4120,-13630,-4960,-3940,-3110,-1260,-2160,-2680,-3160,-4760,-3910,-11220,-8189,-2300,36780,-3800,-680
SP1,3450,3050,,3540,3630,3180,,2900,1780,2070,1710,1630,1050,1240,1040,1140,990,800,780,790,830,570,580,590,590,610,700,610,570,10
