,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
ShareAmountCurrent,27350061000,27350061000,27350061000,27350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28350061000,28436561000,28436561000,28436561000,28436561000,28436561000,28436561000,28436561000,28436561000,28607061000
WKCurrent,680,730,1350,0,1480,1510,1500,0,1510,1530,1230,1210,1130,1120,1150,1190,1240,1250,1250,1280,1280,1330,1320,1360,1410,1450,1360,1420,1430,1480,1390,1460,1520,1620,1700
CWKCurrent,4250,3990,2150,,1960,1920,1930,,1920,1900,2360,2400,2560,2600,2520,2450,2340,2310,2330,2260,2260,2170,2200,2130,2050,2000,2130,2040,2029,1960,2090,1990,1910,1790,1710
WKGrahamCurrent,0,50,530,0,260,120,70,0,-190,-190,-340,-390,-490,-470,-450,-410,-380,-350,-330,-260,-160,-90,-120,-120,-90,-10,-70,0,20,100,10,100,180,280,370
CWKGrahamCurrent,,55930,5440,,11240,23670,39000,,,,,,,,,,,,,,,,,,,,,,119520,30230,299880,29740,16190,10470,7760
PCurrent,400,510,680,820,850,890,1020,1090,1240,1350,1450,1580,1600,1710,1790,1860,1930,1980,2020,2080,2150,2230,2310,2430,2570,2740,2960,3090,3240,3430,3520,3720,3860,4010,4150
CPCurrent,7280,5740,4260,3560,3400,3240,2850,2660,2350,2140,2000,1840,1810,1690,1620,1560,1500,1470,1440,1390,1350,1300,1250,1200,1130,1060,980,940,900,850,820,780,750,720,700
ZCurrent,60,90,110,120,110,100,110,50,80,60,-50,-40,-120,-130,-40,10,100,120,130,140,80,110,130,130,180,170,180,200,150,160,140,150,210,260,310
CZCurrent,50970,31340,26070,24860,26600,29240,26010,63630,37390,49350,,,,,,266070,28400,24620,22180,21280,35330,25300,22230,21840,15750,16860,16320,14660,19030,18120,20740,19590,13790,11120,9250
ZOCurrent,70,120,130,120,110,100,120,50,120,100,-10,10,-100,-110,-10,50,110,130,130,150,120,160,180,170,190,170,180,180,160,180,150,190,280,350,420
CZOCurrent,39500,24510,22040,25070,26030,29180,24560,56660,24800,30450,,232250,,,,54230,27600,22680,22240,19830,23540,18370,16410,16880,15130,16670,15900,16160,17870,16560,19120,14970,10430,8400,6960
EVCurrent,2840,2850,2290,2900,2660,2810,3050,2900,3260,2850,2870,3400,3390,2890,3370,3370,3280,3250,3220,3190,3120,3020,2980,3040,2970,2900,3040,2970,2930,2900,2960,2920,2810,2660,2920
EVPCurrent,7130,5630,3360,3560,3120,3140,3000,2660,2640,2110,1990,2160,2110,1680,1880,1810,1700,1650,1590,1530,1450,1350,1290,1250,1160,1060,1020,960,900,850,840,790,730,660,700
EVEBITCurrent,38670,24060,17400,25070,23870,28280,25840,56660,27910,29890,-536130,272430,-35450,-26280,-351040,62960,31260,25430,24700,21820,25340,19150,16860,17680,15480,16670,16650,16530,18050,16580,19510,15080,10110,7710,7020
EVEBITDACurrent,33720,22000,15870,20890,19750,21760,23520,29570,18560,17430,29720,37820,-238800,-111520,45660,23680,16750,14880,14400,13260,14310,12010,11030,11490,10300,10530,10650,10470,11190,10760,12090,10220,7600,6100,5760
DTAR,160,140,130,,190,130,180,,330,290,360,370,400,400,380,370,340,340,330,300,290,280,310,290,320,290,330,280,300,290,320,300,300,320,260
CG,190,160,160,,230,140,220,,490,420,570,590,680,660,620,580,530,510,500,430,410,390,440,410,470,410,490,390,430,410,470,440,420,470,360
LDER,100,80,50,,90,70,110,,260,240,320,290,310,290,280,270,250,250,240,220,210,200,190,190,180,170,180,160,150,140,150,130,120,110,90
PZAT,3860,4160,5810,,6240,9550,6160,,3140,3470,2900,3340,3300,3490,3510,3530,3560,3570,3680,3740,3520,3660,3880,3900,4010,3950,3920,4110,4400,4450,4450,4600,5000,5020,5410
PELDR,1100,1170,1740,,1320,1160,1170,,1130,1100,1030,970,920,910,930,950,960,980,980,1020,1080,1120,1090,1100,1110,1170,1120,1160,1170,1220,1160,1220,1270,1340,1400
TSF,920,930,910,,880,930,910,,850,880,840,810,780,780,790,810,820,830,830,850,860,860,830,850,810,830,790,840,800,810,780,790,780,750,810
ZKO,1010,690,280,,570,640,810,,1330,1440,1920,2250,2780,2760,2630,2500,2390,2230,2160,1910,1450,1220,1260,1270,1160,1020,1120,1010,960,860,990,870,780,730,620
OSF,1010,750,470,,690,700,860,,1190,1280,1500,1700,1940,1940,1900,1860,1830,1740,1700,1580,1280,1140,1160,1170,1090,1010,1070,1010,980,920,990,930,890,890,790
NetDebt,1835000000,1754000000,-11015000000,,-345000000,3667000000,8544000000,,17161000000,16573000000,19299000000,19748000000,21499000000,20502000000,20215000000,19089000000,18004000000,17429000000,17257000000,15302000000,13928000000,11535000000,12561000000,13139000000,12247000000,10741000000,15095000000,12206000000,12131000000,12477000000,14397000000,13421000000,10605000000,9997000000,14485000000
NetDebtEBITDA,800,500,-2790,,-90,1000,2320,,3440,3580,7040,7740,-53480,-27930,9670,4740,3240,2810,2720,2240,2250,1620,1640,1750,1500,1370,1860,1510,1630,1630,2070,1650,1010,810,1000
