,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930,930
ShareAmountCurrent,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,14925500000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000,15020000000
WKCurrent,310,830,2050,2180,11910,0,16410,15510,18040,0,16720,17730,19860,18720,9770,3340,5070,2650,-3370,-3130,-5810,-2990,-3330,-3870,-2840,-2610,-3100,-2900,-2060,-1220,-2940,-2580,-2960
CWKCurrent,3010,1130,450,430,80,,60,60,50,,60,50,50,50,100,280,180,350,,,,,,,,,,,,,,,
WKGrahamCurrent,-1720,-1070,160,20,5670,0,3950,4310,4390,0,-1710,-1420,-1510,-4960,-14400,-11440,-11620,-14410,-17210,-13790,-18750,-15300,-13240,-12540,-12910,-12620,-13650,-13000,-11330,-10110,-10920,-10710,-12000
CWKGrahamCurrent,,,5740,58540,160,,240,220,210,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,2390,3440,6460,6620,9300,8280,11330,11220,11060,12200,12320,14010,15350,18070,14880,14270,9900,5550,6670,5650,7220,7680,6620,7180,7180,7780,8770,8070,8280,9120,7610,8060,7520
CPCurrent,390,270,140,140,100,110,80,80,80,80,80,70,60,50,60,70,90,170,140,160,130,120,140,130,130,120,110,120,110,100,120,120,120
ZCurrent,-240,440,1860,2090,5070,3470,6210,5630,3630,4270,1680,1710,2090,1690,-6330,-7830,-11460,-13420,-11710,-11780,-9230,-6310,-640,1200,1410,240,510,860,660,1530,80,370,-490
CZCurrent,,2130,500,450,180,270,150,170,260,220,550,540,440,550,,,,,,,,,,780,660,3810,1830,1080,1410,610,11210,2480,
ZOCurrent,560,1000,2310,2670,5320,3660,6470,5860,4470,5270,3790,4270,5060,5090,90,-310,-3240,-4980,-90,-310,1340,3140,3520,3980,3750,3560,4440,4290,4140,4780,2600,3060,1760
CZOCurrent,1660,930,400,350,170,250,140,160,210,180,250,220,180,180,10690,,,,,,690,300,260,230,250,260,210,220,220,190,360,300,530
EVCurrent,2960,3130,2510,3770,1710,930,6220,4010,9590,930,12020,14100,16960,18180,21100,17480,16630,17070,16970,15760,16040,13840,13100,12730,13510,12950,13600,13100,12240,11960,12010,11830,12980
EVPCurrent,1240,910,390,570,180,110,550,360,870,80,980,1010,1100,1010,1420,1230,1680,3080,2540,2790,2220,1800,1980,1770,1880,1660,1550,1620,1480,1310,1580,1470,1730
EVEBITCurrent,5270,3130,1090,1410,320,250,960,680,2150,180,3170,3300,3350,3570,242400,-57330,-5130,-3430,-196410,-50420,11980,4400,3720,3200,3600,3630,3060,3050,2960,2500,4610,3860,7370
EVEBITDACurrent,4610,2820,1030,1340,320,240,900,640,1680,140,2290,2320,2580,2680,10320,9380,-12450,-5320,7930,9540,5050,2870,3070,2800,3230,3290,2830,2830,2730,2350,4070,3470,6150
DTAR,910,810,560,630,340,,260,250,370,,480,490,560,570,670,730,780,850,1030,1080,1180,1000,1110,1160,1080,1080,1070,1070,1020,960,1090,1050,1060
