,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130
ShareAmountCurrent,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000,50000000000
WKCurrent,4830,5370,5680,4550,3690,3890,0,4450,4300,3960,4080,4120,3980,4130,4260,4250,4120,4300,4400,4250,4340,4410,4490,4110,3920,4000,4050,3510,3360,3360,4059,3100,3040,3100
CWKCurrent,230,210,200,250,310,290,,250,260,290,280,270,280,270,270,270,270,260,260,270,260,260,250,270,290,280,280,320,340,340,280,360,370,360
WKGrahamCurrent,740,1460,1960,-610,-1490,-1280,0,-950,-1180,-1440,-1310,-1280,-1390,-1090,-900,-860,-920,-700,-560,-1280,-1200,-1090,-970,-1360,-1590,-1590,-1430,-1880,-2040,-1870,-1160,-2060,-2170,-2070
CWKGrahamCurrent,1530,770,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,5920,5330,4650,4480,4930,5100,5290,5740,5600,5150,4590,4190,4080,3970,4260,4400,4800,5280,5410,5390,5450,5580,5710,5730,5730,5800,5720,5680,5640,5650,5690,5760,5630,4780
CPCurrent,190,210,240,250,230,220,210,200,200,220,250,270,280,280,270,260,240,210,210,210,210,200,200,200,200,190,200,200,200,200,200,200,200,240
ZCurrent,470,530,320,3450,470,450,530,630,630,470,210,70,80,170,180,120,190,170,150,10,0,-10,-20,-80,-190,-250,-310,-150,-120,-170,-60,-430,-340,-260
CZCurrent,2410,2110,3560,330,2420,2530,2130,1790,1780,2420,5330,16360,14550,6800,6290,9210,5800,6740,7700,216480,,,,,,,,,,,,,,
ZOCurrent,650,620,410,3690,710,720,780,940,950,760,430,170,180,270,310,310,400,380,380,190,170,130,120,180,50,-20,-110,-60,-30,-50,40,-330,-230,-130
CZOCurrent,1730,1820,2780,310,1600,1570,1450,1200,1190,1490,2640,6720,6280,4130,3640,3620,2820,2940,2980,6100,6620,8620,9740,6270,23880,,,,,,28930,,,
EVCurrent,910,-50,70,2280,2650,3230,1130,2850,3250,3250,3070,3020,3250,3190,3160,3040,3090,3050,2910,3400,3580,3400,3300,3240,3340,3370,3270,3180,3400,3260,3230,3170,3330,3260
EVPCurrent,150,-10,20,510,540,630,210,500,580,630,670,720,800,800,740,690,640,580,540,630,660,610,580,570,580,580,570,560,600,580,570,550,590,680
EVEBITCurrent,1390,-80,180,620,3740,4470,1450,3010,3420,4270,7190,17970,18060,11660,10170,9740,7720,7930,7660,18370,20990,25940,28470,17980,70490,-142720,-30620,-55910,-131350,-61130,82620,-9530,-14770,-24900
EVEBITDACurrent,700,-40,70,580,2530,3060,1010,2200,2500,2930,3990,5250,5330,4330,3880,3940,3580,3560,3400,5020,5440,5260,5200,4450,5510,6180,6840,6250,6330,6530,5490,13530,12000,11490
DTAR,160,200,90,390,490,470,,430,420,510,480,440,430,460,450,440,460,460,450,470,490,490,470,490,510,530,510,540,560,570,510,560,570,560
CG,190,250,100,650,950,890,,750,740,1020,920,770,770,860,810,790,840,860,800,900,960,970,890,950,1030,1120,1040,1160,1270,1340,1030,1290,1320,1260
LDER,40,40,50,440,530,520,,430,440,460,430,420,420,430,410,380,390,370,390,460,450,440,420,440,460,460,430,110,310,100,320,100,470,110
PZAT,15790,14060,11660,1790,1840,1810,,2040,2130,2160,2220,2270,2290,2040,2009,2170,2110,2170,2080,2130,2110,2110,2170,2250,2250,2290,2380,10820,3880,11340,3010,12220,2780,11640
PELDR,1230,1440,1600,1290,1110,1140,,1180,1130,1070,1090,1080,1050,1130,1170,1150,1140,1180,1240,1120,1140,1160,1170,1080,1040,1040,1050,720,810,710,1030,660,860,670
TSF,880,840,950,880,790,800,,820,830,720,750,800,800,770,780,770,760,740,770,770,740,730,750,740,720,690,700,510,580,470,650,480,630,490
ZKO,550,480,230,1260,1740,1590,,1400,1590,1550,1540,1680,1830,1440,1350,1350,1360,1230,1190,1510,1400,1340,1320,1530,1650,1550,1520,1870,1920,1720,1380,2060,2190,2130
OSF,650,660,360,1110,1240,1190,,1150,1250,1140,1160,1280,1360,1140,1120,1120,1110,1060,1050,1160,1100,1080,1080,1150,1180,1110,1120,1210,1200,1100,1070,1240,1280,1280
NetDebt,33853000000,-129000000,-23077000000,105152000000,151885000000,172383000000,,163487000000,157189000000,202092000000,187640000000,156153000000,152565000000,175370000000,172251000000,167889000000,173152000000,184772000000,174832000000,189514000000,207733000000,214411000000,199549000000,195007000000,201155000000,223192000000,209994000000,198298000000,212576000000,222843000000,208614000000,199023000000,199801000000,194711000000
NetDebtEBITDA,520,0,-440,530,2900,3270,,2530,2420,3640,4880,5430,5000,4760,4230,4350,4019,4310,4090,5590,6300,6630,6280,5360,6650,8189,8800,7800,7910,8930,7100,16970,14390,13720
DebtFin,-11083000000,-58832000000,-52860000000,57599000000,75966000000,104788000000,,85782000000,106098000000,105878000000,97206000000,94521000000,106130000000,103152000000,101534000000,95418000000,97837000000,96043000000,88920000000,113575000000,122696000000,113489000000,108621000000,105551000000,110289000000,111909000000,106785000000,102516000000,113596000000,106348000000,104847000000,102131000000,110213000000,106528000000
DebtFinEBITDA,-170,-890,-1020,290,1450,1990,,1330,1630,1910,2530,3290,3480,2800,2490,2470,2270,2240,2080,3350,3720,3510,3420,2900,3650,4110,4470,4030,4230,4260,3570,8710,7940,7510
SP1,1180,1370,1530,880,710,750,,820,780,730,760,760,740,790,830,830,820,860,890,770,780,800,820,750,710,720,740,650,620,640,780,600,580,600
SP2,1230,1430,1600,1270,1090,1140,,1180,1130,1070,1090,1080,1050,1130,1170,1150,1140,1180,1240,1120,1140,1160,1170,1080,1040,1040,1050,720,810,710,1030,660,860,670
CAR,320,1220,3330,910,280,20,,60,20,0,0,40,0,30,0,0,0,0,20,10,0,0,10,10,0,10,0,20,0,10,10,10,0,0
