,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050
ShareAmountCurrent,1434708780000,1434708780000,1434708780000,1434708780000,1434708780000,1687892683000,1687892683000,1687892683000,1824179246000,1824179246000,1824179246000,1824179246000,1824179246000,1824179246000,1824179246000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1824156906000,1869760829000,1869760829000,1869760829000,1869760829000,1869760829000,1869760829000,1869760829000
WKCurrent,19030,14810,15900,16410,16880,18470,19020,18560,0,20260,20920,20810,0,22310,23230,21950,22640,22320,22920,22640,23250,23870,24300,24260,24450,24540,25170,21070,21630,22100,22580,22170,22470,22830,23320,23590,24380,24170,24850,25050
CWKCurrent,530,680,630,610,600,540,530,540,,500,480,480,,450,430,460,440,450,440,440,430,420,410,410,410,410,400,480,460,450,450,450,450,440,430,430,410,420,400,400
WKGrahamCurrent,-7170,-6270,-7340,-6930,-6490,-1850,-1170,-2220,0,-3610,-2960,-3240,0,-1850,-1030,-2530,-2400,-2410,-1800,-2570,-2480,-2430,-2490,-3100,-3200,-4070,-3890,-3530,-3910,-5040,-5090,-5950,-6180,-6670,-6130,-5640,-5290,-8690,-8020,-7920
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,16970,16090,13530,13440,13930,12810,12800,12550,11570,11220,12290,13300,14450,15410,15760,15960,15950,16710,16650,16810,17110,16530,16050,16040,15580,15430,15770,15450,15590,15650,15420,15330,15320,15020,14280,13400,12950,12350,13100,13560
CPCurrent,590,620,740,750,720,780,790,800,870,900,820,760,700,650,640,630,630,600,600,600,590,610,630,630,650,650,640,650,640,640,650,660,660,670,700,750,780,810,770,740
ZCurrent,1200,2770,1340,1940,2120,2000,2009,1820,1700,1640,1810,2029,2090,2680,2920,2950,3170,1980,1680,1700,1620,2160,2000,2510,2110,1990,2160,-2320,-1970,-1660,-1790,1410,1200,1370,1420,1880,2310,1420,1410,1310
CZCurrent,8370,3630,7510,5180,4750,5030,4990,5520,5920,6130,5560,4940,4800,3750,3440,3410,3170,5070,5970,5900,6190,4640,5030,4010,4770,5040,4650,,,,,7140,8350,7320,7060,5340,4340,7060,7140,7690
ZOCurrent,1620,1490,2270,3300,3520,3170,3010,2780,2400,2270,2330,2420,2620,2240,2510,2630,2720,2400,2080,2070,2029,2660,2440,3070,2860,2790,3030,-2520,-2320,-1970,-2130,1940,1710,1880,1920,2400,2930,1940,2000,1880
CZOCurrent,6210,6760,4420,3040,2860,3170,3340,3610,4180,4420,4310,4150,3840,4480,4010,3820,3690,4190,4820,4850,4940,3780,4130,3270,3520,3600,3310,,,,,5180,5880,5350,5230,4180,3430,5190,5030,5340
EVCurrent,13690,13440,14270,13210,13070,8820,8460,8000,10050,10760,10630,10140,10050,9970,9360,7740,9440,9330,9070,8880,9230,9250,9470,10610,10180,9430,9990,10020,9930,11330,12140,12380,12300,14000,12840,12550,12310,14260,14370,14650
EVPCurrent,810,840,1060,980,940,690,660,640,870,960,870,760,700,650,590,480,590,560,540,530,540,560,590,660,650,610,630,650,640,720,790,810,800,930,900,940,950,1150,1100,1080
EVEBITCurrent,8460,9030,6280,4000,3720,2780,2810,2880,4180,4730,4560,4190,3840,4450,3730,2940,3470,3890,4350,4290,4540,3480,3890,3450,3570,3370,3290,-3970,-4290,-5760,-5710,6390,7190,7450,6690,5220,4200,7370,7200,7780
EVEBITDACurrent,3190,3230,3500,2600,2450,1860,1850,1840,2590,2880,2810,2610,2470,2680,2330,1850,2190,2330,2450,2380,2510,2150,2320,2250,2240,2070,2070,2420,2360,2510,2830,3210,3300,3550,3200,3060,2650,3490,3400,3480
DTAR,330,350,360,350,330,290,270,280,,300,320,300,,300,310,330,290,280,260,300,280,280,270,310,300,320,300,330,340,340,320,340,370,370,350,340,330,360,340,330
CG,660,750,750,720,660,500,450,490,,440,490,440,,430,450,500,400,390,350,430,390,400,380,450,430,480,440,490,510,520,480,510,600,580,540,520,490,570,530,490
LDER,460,490,420,440,410,310,250,250,,200,200,190,,180,170,180,180,210,200,230,230,220,220,290,300,320,310,310,300,330,320,340,420,400,390,360,360,370,350,310
PZAT,2820,3470,3970,3680,3850,3990,4930,4970,,5550,5440,5840,,5910,5880,5910,5900,5160,5150,4590,4610,4780,4780,3690,3610,3520,3540,3550,3660,3540,3610,3530,2880,3020,3060,3280,3270,3500,3560,4080
PELDR,850,840,810,840,850,980,950,930,,1010,1090,1080,,1080,1150,1070,1070,1090,1110,1100,1110,1110,1100,1140,1150,1130,1130,1120,1110,1080,1080,1060,1120,1080,1100,1100,1110,990,1010,980
TSF,730,700,690,700,710,750,730,730,,820,800,820,,820,800,790,840,870,890,860,880,870,880,890,910,890,910,880,860,870,900,890,890,880,900,890,910,860,870,860
ZKO,2320,2310,2620,2430,2400,1250,1160,1320,,1680,1410,1550,,1240,1110,1300,1360,1390,1290,1360,1370,1340,1370,1390,1440,1530,1540,1510,1540,1790,1900,2130,1850,2020,1940,1850,1810,2710,2560,2790
OSF,1340,1280,1470,1390,1400,930,880,980,,1410,1220,1360,,1130,1050,1160,1220,1250,1190,1220,1230,1210,1240,1230,1270,1310,1340,1300,1300,1450,1550,1680,1450,1560,1540,1490,1480,1960,1900,2080
NetDebt,13903329000000,12689454000000,14643896000000,14537203000000,13598961000000,7879239000000,6543018000000,7971040000000,,13508363000000,15869712000000,13815937000000,,13570437000000,13958530000000,11818970000000,11794713000000,10873615000000,9818000000000,11381000000000,11398000000000,11379000000000,11629000000000,15372000000000,13150000000000,15098000000000,15146000000000,14014000000000,15187000000000,17764000000000,17947000000000,18726000000000,19158000000000,22017000000000,18959000000000,17805000000000,16556000000000,23113000000000,22168000000000,21745000000000
NetDebtEBITDA,2260,2120,2500,2000,1780,990,850,1080,,1990,2300,1950,,2000,1900,1550,1500,1490,1450,1670,1700,1450,1560,1790,1580,1820,1720,1860,1970,2160,2300,2660,2820,2990,2530,2320,1900,3020,2800,2760
DebtFin,5229061000000,4863174000000,6059122000000,4532313000000,4338722000000,-2082352000000,-2691248000000,-3455116000000,,1295682000000,1064966000000,157154000000,,-138520000000,-1261673000000,-4220940000000,-1119871000000,-1315969000000,-1786000000000,-2126000000000,-1492000000000,-1462000000000,-1063000000000,1019000000000,246000000000,-1135000000000,-117000000000,-61000000000,-211000000000,2339000000000,3819000000000,4256000000000,4107000000000,7378000000000,5210000000000,4671000000000,4217000000000,7872000000000,8083000000000,8597000000000
DebtFinEBITDA,850,810,1040,620,570,-260,-350,-470,,190,150,20,,-20,-170,-550,-140,-180,-260,-310,-220,-190,-140,120,30,-140,-10,-10,-30,280,490,600,600,1000,690,610,490,1030,1020,1090
SP1,580,550,560,570,580,740,770,740,,840,860,880,,920,950,890,900,900,920,890,900,900,900,880,880,860,860,860,850,810,820,790,780,770,790,810,820,720,740,750
SP2,850,830,790,820,820,980,950,930,,1010,1040,1050,,1080,1110,1050,1060,1080,1110,1100,1110,1100,1100,1140,1150,1130,1130,1120,1100,1080,1080,1060,1120,1080,1100,1100,1110,990,1010,980
CAR,670,500,290,350,380,1320,1190,990,,310,240,300,,390,440,640,530,660,760,760,750,760,710,630,1010,860,830,690,610,410,260,260,750,350,680,720,940,280,290,140
QR,1220,1050,630,760,760,1910,1730,1400,,670,370,520,,910,790,830,800,1130,1410,1270,1300,1250,1250,1580,1680,1390,1530,1400,1240,1270,1340,1170,1600,1370,1530,1500,1830,840,930,690
CR,1420,1270,870,1060,1110,2140,1900,1570,,1100,1200,1130,,1380,1450,1220,1340,1560,1880,1630,1760,1670,1720,1990,2280,1930,2200,1770,1590,1540,1660,1460,1850,1590,1780,1750,2060,1060,1180,970
PP,760,590,320,360,390,1320,1210,990,,320,250,300,,390,440,640,530,670,780,780,760,780,730,640,1030,870,840,700,620,410,260,260,750,350,680,730,940,290,300,160
RCLR,460,490,360,420,440,530,430,310,,280,240,260,,440,380,180,230,370,500,400,440,400,390,740,470,500,650,510,420,510,660,560,520,820,630,520,590,400,450,390
KP,40,30,-20,10,10,120,110,80,,20,40,20,,70,90,50,50,70,90,80,90,90,80,110,120,100,110,90,80,70,70,50,90,70,80,80,90,10,20,0
PKKO,140,100,-90,40,60,600,560,400,,80,160,80,,220,300,150,170,220,270,250,260,260,260,370,400,360,380,290,260,230,220,160,320,230,300,330,440,40,100,-20
