,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent_qq,,,-94.00,-85.26,100.00,,-39.72,-34.33,100.00,,-0.29,5.48,100.00,,-10.72,6.70,100.00,,6.07,-13.87,100.00,,1.67,0.13,100.00,,0.55,-25.54,-100.00,,-2.57,-13.75,-36.27,9.58,-4.49,-49.30,-5.55,210.87,-13.58,-1.26,3.26,13.20,-0.47,-97.81,-4.76,-111.25,-1677.78,1833.13,0.13,-6.83,1.66,39.51
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.65,308.43,252.51,,70.40,73.81,195.64,99.49,-29.67,-22.27,-60.08,-63.49,0.26,-12.95,3821.36,4156.33,,,-96.97,-97.12,,,-24.42
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.35,22.18,4.08,,6.12,9.31,1.28,-32.51,1.56,-31.69,-9.44,39.20,-21.89,10.65,10.90,-8.25,,,-12.72,-14.39,,,-8.26
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,34.33,,,2.64,15.94,56.93,-8.76,4.70,97.20,5.89,-67.83,15.72,1.27,-3.16,-11.66,0.47,4462.00,5.12,,,,-0.12,7.32,-1.64,-28.32
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,49.71,16.97,,,-8.25,-0.36,14.82,1.09,-5.50,-7.67,-23.49,52.13,-36.44,22.40,17.61,-14.63,-9.96,22.68,-2.70,,,,-4.55,-6.57,-1.97,4.95
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,-72.23,,,,1255.13,2184.90,51250.00,16758.45,570.11,529.84,537.49,-106.91,-101.61,-100.84,-97.77,398.32,-800.65,-1652.58,-840.00,-186.86,177.14,172.67,172.00,262.21,229.51,223.17,176.88,84.05,-53.55,-63.42,-70.53,-94.51,-116.09,-122.43,-133.78,-228.57,245.95,233.84,205.37,228.60,2.22,5.18,16.03,-37.68,-34.89,-22.12,2.86,68.16,45.34,28.00,-2.60
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,-171.12,104.03,1725.00,2492.69,9.42,-0.82,499.16,3.06,2.85,0.38,-106.50,75.99,46.33,365.96,770.40,-172.49,-4.44,-12.30,-2.16,164.38,-1.62,11.26,130.16,30.79,-3.51,-4.67,53.00,-66.99,-24.02,-23.20,-71.48,-196.68,-5.91,-15.66,-8.56,209.75,-2.87,-8.94,32.50,-12.76,-0.06,0.45,-28.84,-8.86,19.53,32.68,16.34,-21.22,5.27,0.96
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,260.32,,,,-92.62,,-99.80,-99.41,-85.08,-84.12,-84.31,,,,4391.79,,,,,,,,,,-69.66,-69.05,-63.88,-45.67,115.27,173.36,239.28,1719.62,,,,,,,,,-2.18,-4.93,-13.82,60.49,53.69,28.46,-2.82,-40.54,-31.21,-21.87,2.72
CPCurrent_sy,,-0.17,,,,17.52,,27.88,93.79,-49.51,-23.06,-25.00,,,,85.65,,,,,,,,,,-12.30,0.49,-8.81,-14.52,35.76,-2.25,9.22,9.08,,,,,,,,,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,,,-94.32,-96.14,-8.61,0.84,-83.31,-2.99,-2.75,-0.39,,,,,-88.52,,,,,,1.64,-10.13,-56.55,-23.54,3.65,4.90,-34.65,202.94,31.62,30.20,250.49,,,,,,2.95,9.88,-24.56,14.63,0.06,-0.40,40.49,9.77,-16.37,-24.65,-14.04,27.01,-5.02,-0.94
CPCurrent_sq,,,,,-37.38,164.90,-16.46,-7.73,-5.10,-30.99,27.32,-10.05,,,,,-39.36,,,,,,-11.69,20.99,-3.68,-14.78,1.19,9.78,-9.71,35.35,-27.14,22.66,-9.82,,,,,,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,63.03,,,,115.55,-9.26,110.99,677.71,7202.70,4747.70,6454.64,-115.64,-111.73,-110.94,-108.06,172.96,-92.79,-98.62,-220.10,-330.71,113.91,109.52,123.82,228.91,1656.47,2556.68,793.26,177.67,-55.13,-65.94,-72.54,-98.62,-133.35,-147.22,-166.61,-900.41,122.63,125.47,123.03,135.62,93.22,62.27,83.45,-6.23,-45.76,-50.50,-44.25,-18.24,-90.03,1.73,-0.67
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,77.31,-600.26,-21.87,108.03,-259.46,170.46,6304.47,1.49,1.49,-0.63,-115.28,23.85,5.41,26.77,238.32,-301.22,2.55,-18.01,0.30,112.13,-33.28,195.21,439.51,65.29,0.92,-0.74,67.70,-73.29,-23.40,-19.96,-91.58,-746.28,-8.44,-12.91,-1.15,118.28,22.03,2.08,56.46,-0.87,2.49,15.41,-20.02,-42.66,-6.47,29.97,17.29,-93.01,854.05,26.91
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,-98.63,,-98.48,,,,,,,,,,,,,,-94.31,-96.23,-88.81,-63.99,122.90,193.67,264.12,7151.27,,,,,,,,,-48.22,-38.35,-45.57,6.72,84.38,101.95,79.43,22.33,892.50,-1.79,0.68
CZCurrent_sy,,,,,,,,,,-52.88,,-18.86,,,,,,,,,,,,,,47.69,58.81,93.67,189.97,58.30,-3.35,-10.44,7.70,,,,,,,,,-21.32,-19.91,-13.73,-32.54,-14.59,-26.88,-21.44,1.29,4.67,-17.28,-28.39
CZCurrent_qq,,,,,,,,,-98.44,-1.47,-1.45,0.62,,,,,,,,,,,49.78,-66.11,-81.46,-39.50,-0.91,0.74,-40.37,274.44,30.56,24.91,1087.54,,,,,,-18.01,-1.91,-36.17,0.85,-2.37,-13.40,25.15,74.24,6.94,-23.06,-14.68,1313.75,-89.42,-21.13
CZCurrent_sq,,,,,,,,,-30.59,-22.33,164.55,-43.10,,,,,,,,,,,-7.21,-15.09,-3.43,94.13,-0.23,3.55,44.58,5.98,-39.09,-4.05,73.87,,,,,,8.37,-11.88,-5.09,-13.20,10.31,-5.08,-25.78,9.91,-5.56,1.97,-4.31,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,14.46,,,,127.76,140.76,126.73,1048.08,2913.68,1604.97,1733.25,-112.66,-106.72,-105.69,-103.25,240.03,-150.44,-178.45,-466.32,-211.08,157.28,151.28,156.55,232.20,256.06,299.77,194.45,92.94,-58.68,-68.72,-73.89,-98.06,-131.33,-146.34,-164.54,-664.61,143.41,145.34,139.00,154.88,17.55,5.41,15.82,-51.50,-20.62,4.43,43.23,196.07,97.91,55.42,7.90
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
