,2004/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CZOCurrent_qq,,,,,,-13.73,-16.43,-3.74,-3.73,-18.55,14.54,-2.30,-20.61,33.12,-5.32,-9.67,2.60,-18.41,-20.21
CZOCurrent_sq,,,,,,-23.11,-0.68,-1.78,-1.49,15.81,-17.01,-7.31,-3.20,-3.95,33.28,-16.72,-14.61,-11.57,-14.09
EVCurrent,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,0.91,,1.45,-8.45,-3.83,,,,6.42,28.17,23.81,34.64,21.47,-2.94,-1.16,-5.55,2.94,4.62,-0.82
EVCurrent_sy,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,9.24,1.40,-2.45,-1.50,31.56,-2.05,6.08,-11.14,5.12,-0.26,1.37,-3.15,6.84,-5.44
EVCurrent_sq,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,434.33,,-27.04,-36.74,-6.95,,,,-0.40,33.63,18.41,15.79,-15.73,-39.40,-34.72,-31.57,-16.53,-10.85,-21.94
EVPCurrent_sy,146.97,,4.54,-33.45,33.96,,,,-0.40,8.35,-2.99,8.05,-1.42,-4.84,2.32,-5.32,-3.87,-12.26,-9.72
EVPCurrent_qq,,,,,,-0.35,0.10,-5.03,5.14,33.69,-11.30,-7.13,-23.48,-3.86,-4.45,-2.65,-6.66,2.69,-16.34
EVPCurrent_sq,,,,,,1.84,3.81,-6.01,0.24,10.78,-7.05,4.69,-8.55,6.94,-0.06,-3.13,-7.15,-2.40,2.84
EVEBITCurrent,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-22.97,,-51.59,-27.87,-7.92,,,,-28.90,-19.15,7.04,18.14,-12.10,14.79,-3.37,-14.63,20.24,-25.10,-40.16
EVEBITCurrent_sy,-8.24,,48.03,-16.35,49.13,,,,-13.75,-7.35,-23.70,1.04,-25.17,-16.45,18.85,2.02,-13.37,-25.10,-39.82
EVEBITCurrent_qq,,,,,,-5.76,-15.27,-6.10,-5.18,7.16,12.19,3.64,-29.45,39.94,-5.57,-8.44,-0.63,-12.83,-24.55
EVEBITCurrent_sq,,,,,,-12.72,-4.61,-18.65,27.35,-6.25,-21.45,7.73,-5.68,4.67,11.74,-7.52,-19.91,-9.50,-10.22
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,
