,2004/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CR,,,,,,,,,,,,,,,,,,,
CR_yy,-58.87,,7.57,2.11,-7.58,,,,31.77,-1.71,-0.54,-23.08,-23.84,-0.33,14.62,15.41,10.08,6.18,-2.19
CR_sy,9.41,,7.46,5.28,-6.55,,,,9.83,4.50,-4.24,4.72,5.09,-6.23,-13.11,-8.51,-17.59,-4.59,5.33
CR_qq,,,,,,4.76,-7.30,28.07,5.95,-21.86,-6.19,-0.95,4.89,2.27,7.87,-0.26,0.05,-1.35,-0.64
CR_sq,,,,,,3.24,3.51,-8.50,12.32,-1.78,-5.15,0.07,12.72,-12.36,-12.11,5.36,1.53,1.48,-2.97
PP,,,,,,,,,,,,,,,,,,,
PP_yy,-98.14,,-8.78,3.73,-13.57,,,,57.66,-69.63,-50.40,-89.03,-72.56,-19.48,-25.73,3.30,-35.75,-27.74,24.72
PP_sy,32.49,,74.72,53.53,-31.62,,,,-31.50,9.98,-31.55,-14.03,6.34,-9.55,6.18,-0.54,44.73,-18.77,-9.65
PP_qq,,,,,,-26.29,14.36,52.50,22.64,-85.80,86.75,-66.27,206.80,-58.33,72.26,-53.09,90.82,-53.14,197.32
PP_sq,,,,,,-21.11,30.12,-29.30,-5.61,26.66,-19.01,-11.21,16.76,7.74,-4.93,-16.83,69.91,-39.54,5.75
RCLR,,,,,,,,,,,,,,,,,,,
RCLR_yy,-49.71,,10.25,9.66,-10.58,,,,13.54,6.42,17.27,-4.37,-4.95,-10.78,6.29,5.18,12.63,3.95,-0.57
RCLR_sy,18.20,,-9.64,9.40,15.32,,,,-16.80,-11.81,-2.27,-4.27,2.22,5.70,-8.08,-0.17,-18.44,-13.39,-20.06
RCLR_qq,,,,,,22.99,-19.43,28.13,-10.58,15.28,-11.22,4.49,-11.12,8.21,5.77,3.39,-4.82,-0.13,1.17
RCLR_sq,,,,,,-0.55,-7.77,5.59,-14.09,5.42,2.20,3.43,-8.27,9.00,-11.12,12.33,-25.06,15.75,-17.97
KP,,,,,,,,,,,,,,,,,,,
KP_yy,-148.99,,20.64,11.76,-23.40,,,,41.51,-31.06,-7.23,-50.75,-44.00,8.21,60.25,61.98,44.40,36.31,20.44
KP_sy,-22.68,,20.66,12.28,-15.01,,,,25.94,-15.69,-0.06,3.60,7.56,15.31,-17.58,-7.31,-20.17,-10.08,22.30
KP_qq,,,,,,14.51,-36.59,91.82,1.61,-44.22,-14.66,1.83,15.52,7.79,26.38,2.93,2.99,1.75,11.66
KP_sq,,,,,,27.68,-8.22,-5.93,14.26,-14.52,8.79,-2.49,18.64,-8.37,-22.24,9.65,2.17,3.22,5.76
PKKO,,,,,,,,,,,,,,,,,,,
PKKO_yy,-808.25,,-3.98,-16.25,-2.80,,,,66.56,14.06,28.26,-40.40,-45.68,-25.82,14.47,25.63,30.61,38.87,28.07
PKKO_sy,54.09,,-2.70,51.22,-14.23,,,,-0.43,-39.04,-37.37,-10.82,25.58,28.30,-12.35,-12.38,-25.89,10.12,24.95
PKKO_qq,,,,,,5.18,-27.58,100.54,9.04,-27.97,-18.56,-6.81,-0.63,-1.63,25.67,2.28,3.30,4.59,15.89
PKKO_sq,,,,,,34.66,-3.97,-19.42,-4.44,-17.56,-1.33,14.73,34.56,-15.77,-32.59,14.70,13.81,25.15,-23.52
RN,,,,,,,,,,,,,,,,,,,
RN_yy,-56.17,,29.59,15.25,-8.60,,,,-0.41,-8.72,-12.17,-11.47,-5.55,9.47,14.81,19.25,12.82,2.30,-2.31
RN_sy,10.02,,-7.30,13.41,-0.19,,,,-7.65,-4.40,-6.98,-0.99,2.90,1.14,7.39,7.31,5.38,6.76,1.63
RN_qq,,,,,,0.99,1.73,-0.79,-2.30,-7.43,-2.10,,4.23,7.29,2.68,3.86,-1.39,-2.71,-1.95
RN_sq,,,,,,-1.97,2.28,-5.81,-2.22,1.49,-0.48,,1.62,-0.24,5.67,0.18,-0.21,1.07,0.59
CRN,317000,121000,94000,81000,89000,88000,87000,87000,89000,96000,99000,99000,95000,88000,86000,83000,84000,86000,88000
CRN_yy,128.06,,-22.31,-13.83,9.88,,,,,9.09,13.79,13.79,6.74,-8.33,-13.13,-16.16,-11.58,-2.27,2.33
CRN_sy,-9.59,,6.98,-11.96,1.23,,,,,4.82,7.41,1.16,-2.27,-1.15,-6.90,-6.90,-5.81,-5.81,-4.94
CRN_qq,,,,,,-1.12,-1.14,,2.30,7.87,3.12,,-4.04,-7.37,-2.27,-3.49,1.20,2.38,2.33
CRN_sq,,,,,,1.22,-2.41,,2.33,-1.14,,,-1.15,,-5.81,,,,-4.94
CPZ,1422000,172000,121000,95000,89000,90000,98000,103000,102000,107000,106000,107000,105000,100000,96000,91000,90000,92000,94000
CPZ_yy,354.31,,-29.65,-21.49,-6.32,,,,14.61,18.89,8.16,3.88,2.94,-6.54,-9.43,-14.95,-14.29,-8.00,-2.08
CPZ_sy,-9.28,,3.42,-0.83,-1.67,,,,2.54,-4.13,-7.38,-8.13,-5.79,-7.76,-7.96,-9.73,-0.88,8.41,16.35
CPZ_qq,,,,,,1.12,8.89,5.10,-0.97,4.90,-0.93,0.94,-1.87,-4.76,-4.00,-5.21,-1.10,2.22,2.17
CPZ_sq,,,,,,2.54,0.83,0.82,-1.63,-4.13,-2.59,,0.88,-6.14,-2.80,-1.92,10.78,2.65,4.31
RZ,,,,,,,,,,,,,,,,,,,
RZ_yy,-21.01,,-1.11,75.07,-14.44,,,,-11.36,-30.90,-24.75,-18.02,-9.86,10.87,11.29,-2.96,-13.39,-20.81,-19.09
RZ_sy,-34.79,,-24.13,10.26,17.57,,,,-9.62,-2.28,-4.62,-6.47,-17.83,-9.67,-3.58,-12.61,3.14,-7.09,-14.03
RZ_qq,,,,,,7.87,-9.51,-3.78,-5.63,-15.91,-1.46,4.84,3.77,3.42,-1.08,-8.59,-7.39,-5.43,1.07
RZ_sq,,,,,,-7.23,-2.06,-0.46,-0.07,0.31,-4.41,-2.38,-12.21,10.27,2.04,-11.53,3.62,-0.66,-5.58
CRZ,15000,29000,29000,17000,19000,18000,20000,21000,22000,26000,26000,25000,24000,23000,24000,26000,28000,29000,29000
CRZ_yy,25.00,,,-41.38,11.76,,,,15.79,44.44,30.00,19.05,9.09,-11.54,-7.69,4.00,16.67,26.09,20.83
CRZ_sy,22.45,,,-9.04,-15.53,,,,11.76,1.35,5.33,6.58,21.05,10.67,3.80,13.58,-3.26,8.43,15.85
CRZ_qq,,,,,,-5.26,11.11,5.00,4.76,18.18,,-3.85,-4.00,-4.17,4.35,8.33,7.69,3.57,
CRZ_sq,,,,,,8.82,1.35,1.33,,-1.32,,2.53,13.58,-9.78,-1.20,12.20,-3.26,1.12,
RMO,,,,,,,,,,,,,,,,,,,
RMO_yy,-46.40,,32.82,23.77,2.80,,,,-12.55,-17.37,-11.92,-1.74,11.24,21.89,19.78,14.45,5.77,-2.10,-4.29
RMO_sy,6.93,,-3.70,17.70,-13.39,,,,-7.53,-2.73,2.74,3.67,10.17,8.17,5.40,8.30,2.04,1.92,3.81
RMO_qq,,,,,,0.98,-3.79,-4.89,-5.36,-4.59,2.55,6.11,7.14,4.55,0.77,1.39,-0.98,-3.23,-1.49
RMO_sq,,,,,,-2.78,-3.24,0.05,-1.75,2.26,2.20,0.95,4.41,0.40,-0.42,3.74,-1.62,0.29,1.43
RMT,,,,,,,,,,,,,,,,,,,
RMT_yy,-80.72,,21.66,41.47,-9.66,,,,-35.67,-47.93,-38.41,-27.34,-6.98,22.94,27.10,24.94,20.82,15.94,26.44
RMT_sy,22.45,,-0.50,-0.59,-13.76,,,,5.08,6.80,14.31,22.67,29.05,33.21,26.36,19.34,11.59,5.44,-6.03
RMT_qq,,,,,,1.33,-15.29,-10.75,-16.03,-17.99,0.22,5.29,7.51,8.38,3.61,3.50,3.96,4.00,12.99
RMT_sq,,,,,,0.55,1.92,0.35,2.19,2.19,9.09,7.68,7.51,5.48,3.48,1.70,0.53,-0.34,-7.78
RM,,,,,,,,,,,,,,,,,,,
RM_yy,-69.80,,27.86,31.05,-2.72,,,,-24.55,-34.40,-26.83,-16.20,0.97,22.48,23.80,20.15,13.76,7.15,10.42
RM_sy,19.34,,14.09,-1.21,-24.68,,,,10.90,6.80,11.03,4.82,5.90,8.31,4.19,10.48,5.83,9.13,16.53
RM_qq,,,,,,1.13,-9.23,-7.76,-10.90,-12.06,1.24,5.65,7.35,6.67,2.33,2.54,1.64,0.48,5.45
RM_sq,,,,,,3.85,2.13,3.82,0.72,0.01,6.18,-2.00,1.76,2.28,2.14,3.92,-2.53,5.48,9.07
COP,332000,150000,123000,98000,108000,106000,107000,108000,111000,122000,125000,124000,119000,111000,110000,109000,112000,115000,117000
COP_yy,119.87,,-18.00,-20.33,10.20,,,,2.78,15.09,16.82,14.81,7.21,-9.02,-12.00,-12.10,-5.88,3.60,6.36
COP_sy,4.51,,-1.88,-2.55,3.92,,,,19.50,17.50,9.88,0.57,-11.58,-10.11,-6.74,-6.25,,1.18,3.61
COP_qq,,,,,,-1.85,0.94,0.93,2.78,9.91,2.46,-0.80,-4.03,-6.72,-0.90,-0.91,2.75,2.68,1.74
COP_sq,,,,,,0.63,1.25,8.02,8.57,-1.05,-5.32,-1.12,-4.55,0.60,-1.78,-0.60,1.82,1.79,0.58
CSP,-1090000,-22000,2000,3000,19000,16000,9000,5000,9000,15000,19000,17000,14000,11000,14000,18000,22000,23000,23000
CSP_yy,-572.84,,109.09,50.00,533.33,,,,-52.63,-6.25,111.11,240.00,55.56,-26.67,-26.32,5.88,57.14,109.09,64.29
CSP_sy,39.13,,-14.13,43.04,11.50,,,,,-17.74,-24.59,-26.79,-34.92,-17.65,-19.57,-21.95,-17.07,-16.67,28.38
CSP_qq,,,,,,-15.79,-43.75,-44.44,80.00,66.67,26.67,-10.53,-17.65,-21.43,27.27,28.57,22.22,4.55,
CSP_sq,,,,,,-1.59,-1.61,-8.20,12.50,-19.05,-9.80,-10.87,,2.44,-11.90,-13.51,6.25,2.94,
