,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,1365000000,1365000000,1365000000,1365000000,1365000000,1365000000,1365000000,5088084000,5088084000,5429964000,6047864000,6047864000,6047864000,6047864000,6047864000,6047864000,6047864000,6047864000,6829114000,6829114000,6829114000,6829114000,6829114000,6829114000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,,,,3.05,-13.50,-41.79,-60.26,-1.03,7.99,1.31,48.98,52.05,22.65,21.76,21.64,11.19,22.14,9.11,2.62,2.86,-9.25,1.69,2.03
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,39.74,60.65,6.52,-56.91,17.31,8.11,-27.28,7.32,27.99,1.43,6.93,9.53,3.24,0.69,6.83,0.12,13.42,-10.05,0.47,0.35,0.07,0.79,0.81
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,,,,-2.93,15.62,71.81,151.44,1.06,-7.48,-1.35,-32.90,-34.21,-18.43,-18.00,-17.80,-10.13,-18.18,-8.33,-2.37,-2.67,10.10,-1.52,-2.13
CWKCurrent_sy,,,,,29.31,33.51,2.13,-9.42,-9.66,-2.19,8.79,2.91,-2.45,-2.56,-9.80,-1.40,8.22,0.11,-2.55,-3.30,-5.65,-5.81,-3.38,-2.13
