,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
QuoteCurrent,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500,28500
ShareAmountCurrent,8527096000,8527096000,8527096000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000,6819677000
WKCurrent,8000,8200,10950,12220,14820,12230,12630,13100,14520,11900,13270,14790,15500,13620,14510,15020
CWKCurrent,3560,3480,2600,2330,1920,2330,2260,2180,1960,2400,2150,1930,1840,2090,1960,1900
WKGrahamCurrent,590,1270,4450,3680,5680,2700,3080,3790,5490,3680,5010,6500,7260,5380,6240,6890
CWKGrahamCurrent,47980,22390,6410,7740,5020,10560,9260,7520,5190,7750,5690,4380,3920,5290,4570,4140
PCurrent,7410,6920,11890,13350,12840,12660,10670,11050,11970,12080,14100,16020,15440,16210,15660,14880
CPCurrent,3850,4120,2400,2130,2220,2250,2670,2580,2380,2360,2020,1780,1850,1760,1820,1910
ZCurrent,1510,1210,3390,2700,2480,3090,1420,1900,2820,2820,3630,4760,4100,4350,3990,2880
CZCurrent,18860,23650,8400,10570,11480,9210,20130,14960,10090,10100,7860,5990,6950,6550,7140,9910
ZOCurrent,1730,1390,4160,3380,3090,2900,1710,2270,3400,3350,4430,5830,4990,5330,4840,3500
CZOCurrent,16440,20490,6860,8420,9230,9840,16670,12560,8380,8510,6440,4890,5710,5350,5890,8150
EVCurrent,27990,27670,25450,25460,23280,26320,26000,26180,25250,24590,24220,23470,21980,22980,22000,21170
EVPCurrent,3780,4000,2140,1910,1810,2080,2440,2370,2110,2040,1720,1470,1420,1420,1400,1420
EVEBITCurrent,16149,19890,6120,7530,7540,9090,15210,11530,7420,7340,5470,4030,4410,4310,4550,6050
EVEBITDACurrent,15480,18950,6040,7340,7340,8810,14540,11160,7280,7200,5390,3980,4340,4250,4470,5920
DTAR,90,90,110,130,100,90,80,90,100,120,140,140,120,130,150,130
CG,100,100,120,150,120,100,90,100,120,140,160,160,140,150,170,150
LDER,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0
PZAT,4550,3770,2610,3100,1700,2460,2790,3340,3580,3710,4810,4870,5100,6790,6530,6110
PELDR,1140,1230,1760,1500,1790,1470,1500,1600,1790,1550,1760,1960,2060,1750,1880,1990
TSF,910,920,900,880,910,910,920,920,900,880,860,860,880,870,860,870
ZKO,580,390,230,330,230,320,270,250,240,300,300,270,230,270,280,240
OSF,630,460,380,470,390,450,390,390,400,450,490,490,440,450,500,460
NetDebt,830000000,-3289000000,-28261000000,-13783000000,-29656000000,-10027000000,-14052000000,-17287000000,-20592000000,-16399000000,-15179000000,-26483000000,-38292000000,-24503000000,-27919000000,-35317000000
NetDebtEBITDA,50,-260,-790,-580,-1370,-490,-1150,-1080,-870,-700,-500,-660,-1110,-660,-830,-1450
DebtFin,-4358000000,-7099000000,-26001000000,-20728000000,-35584000000,-14869000000,-17031000000,-15812000000,-22141000000,-26658000000,-29217000000,-34309000000,-44444000000,-37622000000,-44361000000,-49968000000
DebtFinEBITDA,-280,-570,-720,-880,-1650,-730,-1400,-990,-940,-1140,-950,-850,-1290,-1020,-1320,-2050
SP1,1080,1200,1670,1430,1700,1420,1460,1550,1710,1490,1650,1830,1920,1650,1760,1890
SP2,1090,1210,1680,1440,1720,1430,1470,1560,1720,1490,1650,1830,1920,1660,1760,1890
CAR,690,1160,2520,1810,3390,1960,2450,2000,2009,2540,2050,2130,3080,2820,2660,3360
QR,1280,2590,4240,2900,4310,3050,3680,3920,4040,3070,2970,3310,3920,3370,3130,3780
CR,1790,2740,4640,3180,4720,3390,3960,4210,4370,3380,3380,3750,4430,3750,3550,4170
PP,910,1560,3730,2220,3870,2340,3000,3170,2870,2570,2070,2650,3660,2840,2680,3380
RCLR,880,1170,920,960,850,1050,960,1050,1500,810,1320,1100,780,910,870,780
KP,70,150,370,270,350,210,230,270,340,280,330,380,410,350,370,400
PKKO,-8330,-19090,-75390,-44870,-69790,-30810,-39910,-50270,-81540,-56870,-74470,-91710,-95040,-71390,-78820,-85580
RN,10720,7800,10480,6840,7150,7370,8150,9150,8020,8029,7250,7000,7420,7330,7640,8160
CRN,34000,47000,35000,53000,51000,50000,45000,40000,46000,45000,50000,52000,49000,50000,48000,45000
CPZ,39000,40000,38000,49000,49000,46000,47000,41000,39000,41000,42000,44000,48000,48000,52000,54000
RZ,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,
RMO,5240,3340,2070,2530,2210,2170,2029,2150,2350,2220,2290,2240,2009,1970,1820,1720
RMT,1000,1020,1820,1580,1510,1470,1240,1280,1400,1440,1710,1960,1920,2000,1920,1830
RM,840,770,970,950,880,850,740,760,830,840,950,1030,970,980,930,880
COP,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,
