,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
ShareAmountCurrent,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000,863523000000
WKCurrent,16590,20650,23220,13050,13960,13130,14120,14820,15800,14070,14280,14800,15870,14660,15890,16430,17220,15300,14590,15180,16079,13800,14800,15250,16309,13730,14320,14970,15520,13630,14330,15050,16129,15230,16100,16930,17230,15380
CWKCurrent,2410,1940,1720,3070,2870,3050,2830,2700,2530,2840,2800,2700,2520,2730,2520,2430,2320,2620,2740,2630,2490,2900,2700,2620,2450,2910,2790,2670,2580,2930,2790,2660,2480,2630,2480,2360,2320,2600
WKGrahamCurrent,-6900,-5170,-7450,-16280,-13930,-15030,-12710,-11130,-11780,-13940,-13880,-12890,-12240,-12470,-11280,-10640,-11620,-15060,-16970,-10570,-10940,-13690,-13320,-14470,-13990,-16379,-15070,-10680,-10350,-10300,-9950,-9950,-11010,-2029,570,470,24970,21900
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70780,84870,1600,1830
PCurrent,15410,15810,16540,16770,16580,16510,16420,16460,16610,16770,17010,17240,17590,17940,18280,18530,18810,18890,18870,18820,18680,18650,18700,19030,19390,19850,20150,20130,20140,20410,20900,21570,22440,23140,23960,24730,25180,25550
CPCurrent,2600,2530,2420,2380,2410,2420,2440,2430,2410,2390,2350,2320,2270,2230,2190,2160,2130,2120,2120,2130,2140,2140,2140,2100,2060,2020,1980,1990,1990,1960,1910,1850,1780,1730,1670,1620,1590,1570
ZCurrent,4110,4120,2700,4360,3970,3040,2820,2820,2810,3270,2810,2720,2750,2900,3850,3770,3790,3720,3680,3810,3720,3870,3580,3440,3650,2980,2590,2710,2190,1950,2110,2240,2760,3140,3210,3370,3020,3350
CZCurrent,9730,9700,14830,9180,10080,13160,14180,14160,14250,12230,14250,14730,14540,13770,10380,10610,10560,10750,10860,10490,10740,10350,11170,11640,10970,13450,15440,14740,18240,20540,18980,17850,14490,12730,12460,11870,13230,11920
ZOCurrent,5140,5120,3390,5330,4860,3740,3510,3580,3500,4040,3520,3420,3510,3690,4820,4730,4760,4740,4680,4840,4780,4950,4660,4280,4440,3560,3040,3400,2900,2750,3030,3460,4090,4750,5710,6380,6540,7530
CZOCurrent,7780,7810,11780,7510,8230,10690,11400,11190,11430,9900,11360,11680,11400,10830,8290,8470,8400,8450,8550,8260,8370,8090,8570,9350,9010,11230,13170,11750,13810,14570,13180,11550,9770,8430,7010,6270,6110,5310
EVCurrent,42330,42920,46320,43890,42370,41330,42700,43610,44090,45320,44780,43750,44580,43830,42920,42500,42110,42210,41990,41800,41030,41030,43260,50510,53930,42660,49240,88930,89150,92680,91680,106070,104770,263090,272180,290450,286310,287780
EVPCurrent,2750,2720,2800,2620,2560,2500,2600,2650,2650,2700,2630,2540,2530,2440,2350,2290,2240,2230,2230,2220,2200,2200,2310,2660,2780,2150,2440,4420,4430,4540,4390,4920,4670,11370,11360,11750,11370,11260
EVEBITCurrent,8230,8380,13650,8240,8720,11050,12170,12200,12600,11210,12710,12780,12710,11860,8900,9000,8840,8910,8970,8630,8590,8300,9270,11810,12140,11980,16210,26120,30770,33750,30210,30620,25600,55440,47700,45520,43760,38240
EVEBITDACurrent,8230,8380,13650,8240,8720,11050,12170,12200,12600,11210,12710,12780,12710,11860,8900,9000,8840,8910,8970,8630,8590,8300,9270,11810,11710,11280,14610,23280,27260,29010,26410,26920,22800,49540,42530,39230,37050,32580
DTAR,720,670,660,790,770,760,750,750,740,790,770,750,750,770,760,740,750,790,800,790,790,810,810,810,800,820,820,860,860,860,860,860,860,880,880,880,880,890
CG,2580,2070,1960,3720,3360,3200,3040,2960,2920,3710,3390,3070,3030,3280,3130,2930,2950,3730,3900,3790,3680,4360,4300,4130,4090,4580,4460,6990,6910,8270,7810,8330,7790,19810,19010,19140,18860,21630
LDER,2230,1780,1790,2980,2720,2870,2760,2700,2560,2960,2880,2740,2660,2870,2620,2610,2540,2890,3040,2960,2800,3320,3320,3640,3800,3670,4030,6690,6430,7600,7240,7900,7380,18910,18300,18450,18150,20460
PZAT,50,50,40,40,40,40,40,40,50,40,40,50,40,40,40,40,70,70,70,60,60,60,60,70,60,80,50,30,30,30,30,30,30,20,20,20,20,20
PELDR,2310,2260,2140,1800,1880,1820,2000,2130,2050,2000,1980,2020,2080,2100,2130,2180,2110,1970,1860,2330,2260,2170,2270,2380,2580,2130,2450,4080,4050,4130,4100,4510,4230,7200,7570,7640,17730,18150
TSF,900,910,940,840,850,920,930,930,910,840,880,920,910,900,880,920,900,820,820,830,810,810,820,900,940,840,920,940,920,900,900,920,920,890,890,900,900,890
ZKO,1190,1140,1200,1510,1420,1560,1420,1340,1340,1360,1400,1400,1340,1350,1290,1280,1300,1360,1420,1230,1230,1300,1260,1300,1270,1350,1310,1110,1110,1100,1100,1090,1100,1010,1000,1000,930,940
OSF,840,910,910,670,710,730,750,770,770,680,710,740,750,730,750,780,770,680,660,720,730,650,670,670,680,620,640,590,600,530,550,550,550,360,390,390,860,790
NetDebt,14796490000000,10586332000000,17458990000000,21301298000000,22566749000000,17344988000000,16802624000000,16705594000000,17270843000000,21916709000000,22667130000000,20355531000000,22278487000000,22251444000000,22156328000000,21950803000000,25183563000000,28642201000000,29622404000000,27266228000000,28097336000000,29397138000000,32423361000000,31999320000000,33658586000000,31815197000000,31039758000000,59306000000000,61952000000000,63756885000000,63060000000000,71633000000000,74181000000000,198749000000000,199503000000000,200452000000000,158362000000000,167505000000000
NetDebtEBITDA,3330,2390,5960,4630,5380,5370,5550,5410,5720,6280,7450,6880,7350,6980,5320,5380,6120,7000,7330,6520,6810,6880,8050,8660,8460,9740,10670,17980,21940,23110,21040,21050,18690,43340,36100,31350,23730,21960
DebtFin,2012622000000,2523727000000,5457915000000,3359973000000,2043082000000,1147462000000,2328030000000,3120812000000,3528481000000,4589863000000,4131557000000,3234048000000,3956518000000,3302975000000,2525495000000,2162561000000,1823418000000,1904708000000,1722380000000,1551880000000,890185000000,889151000000,2817159000000,9079237000000,12029556000000,2299920000000,7982315000000,42255000000000,42446000000000,45490389000000,44623000000000,57057000000000,55934000000000,192645000000000,200496000000000,216268000000000,212698000000000,213965000000000
DebtFinEBITDA,450,570,1860,730,490,360,770,1010,1170,1320,1360,1090,1310,1040,610,530,440,470,430,370,220,210,700,2460,3020,700,2740,12810,15030,16490,14890,16770,14100,42010,36280,33820,31870,28050
SP1,710,800,760,440,500,470,530,570,570,500,510,530,560,540,580,610,600,500,460,590,600,500,530,510,540,460,490,530,540,480,500,510,500,360,390,390,930,850
SP2,2280,2230,2110,1770,1860,1800,1980,2110,2029,1980,1960,1990,2060,2080,2110,2180,2110,1950,1860,2330,2260,2170,2270,2380,2580,2130,2450,4080,4050,4130,4100,4510,4230,7200,7570,7640,17730,18150
CAR,70,110,160,40,40,110,110,130,60,40,40,60,30,30,20,30,70,30,40,50,50,40,40,50,120,60,80,640,270,220,350,540,550,980,950,820,1110,740
QR,5960,6240,9560,3250,3620,6150,7610,8240,5860,3580,4720,6390,6040,5790,4670,7080,5560,3200,3180,3740,3420,3250,3470,6440,10940,3730,7900,21360,13050,11220,12470,18050,17280,21690,27050,27740,28630,19720
CR,6080,6410,9760,3330,3660,6250,7730,8380,5950,3630,4790,6550,6150,5890,4740,7080,5560,3250,3180,3740,3420,3250,3470,6440,10940,3730,7900,21360,13050,11220,12470,18050,17280,21690,27050,27740,28630,19720
PP,4350,5200,6480,2470,2310,5070,6000,6280,4530,2540,3070,4400,3830,3690,2970,4290,3070,1850,1800,2070,1890,1830,1800,3440,5760,2080,4520,8160,4780,4260,4760,6630,6000,5190,6620,7860,11580,7710
RCLR,1450,960,2910,750,1230,810,1400,1810,1200,970,1550,1930,2160,2020,1640,2570,2360,1320,1310,1590,1450,1350,1590,2750,4790,1500,2960,12300,7730,6550,7130,10870,10740,16230,20120,19660,16840,11820
KP,510,500,500,370,390,410,460,490,460,420,440,460,470,470,460,500,470,400,380,470,450,430,460,520,580,440,550,730,710,710,720,750,740,840,850,850,920,900
PKKO,2940,3250,3430,2070,2029,1850,2150,2400,2400,2330,2340,2330,2450,2380,2380,2280,2280,2070,1970,2660,2660,2500,2720,3070,3510,2460,3090,6720,6690,6930,6650,7640,7210,18580,18730,19220,21080,20840
RN,1790,2830,1460,2000,1870,2180,2410,2420,2890,2260,1920,1820,1620,1580,1530,1430,1350,1250,1180,1070,1010,980,900,910,900,930,1000,710,540,430,360,350,350,220,160,130,110,120
CRN,203000,129000,251000,183000,195000,167000,152000,151000,126000,162000,190000,200000,226000,232000,238000,255000,271000,293000,308000,340000,362000,373000,404000,401000,405000,394000,366000,517000,672000,847000,1002000,1037000,1053000,1670000,2259000,2781000,3219000,3130000
CPZ,140000,135000,86000,115000,147000,150000,149000,117000,98000,131000,147000,151000,148000,122000,125000,125000,129000,161000,183000,219000,255000,262000,271000,242000,194000,181000,140000,126000,138000,121000,127000,132000,123000,138000,145000,161000,178000,190000
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,430,420,430,460,460,500,540,540,530,490,490,490,500,520,510,500,500,480,480,450,420,410,390,390,390,400,410,330,280,240,210,210,210,150,110,90,80,80
RMT,660,610,540,550,560,570,590,610,610,620,620,620,630,640,660,670,680,660,640,640,650,670,690,680,670,670,670,680,690,710,730,750,760,700,660,630,700,850
RM,260,250,240,250,250,270,280,280,290,270,270,270,280,290,290,290,290,280,270,260,260,250,250,250,250,250,260,220,200,180,160,160,160,120,100,80,70,70
COP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
