,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sy,,-0.15,,,-5.03,,-31.30,-25.66,-6.02,4.83,29.99,-2.29,9.17,-3.92,5.43,27.36,5.63,-5.68,0.01,-10.21,-4.68,-1.97,-7.47,32.06,25.80,31.55,42.77,15.18,-9.09,9.94,-0.56
CPCurrent_qq,,,,0.18,-13.31,-6.70,-5.43,6.12,18.86,11.76,4.51,-10.13,-1.71,26.67,1.82,7.84,-18.95,8.17,-13.63,-4.76,-11.39,-8.84,3.19,-1.49,26.47,-1.87,16.26,1.15,21.90,5.94,9.95
CPCurrent_sq,,,,-0.35,-6.67,-0.67,-25.63,7.84,17.98,10.80,-7.79,-18.94,31.81,-2.48,1.19,-2.08,9.32,-12.92,7.29,-12.08,16.05,-10.45,1.28,25.48,10.54,-6.36,9.92,1.23,-12.75,13.25,-0.58
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,60.34,,,-79.36,,104.22,109.47,-1112.50,-3680.00,-4421.43,-902.67,118.45,107.79,99.17,-6.64,-89.76,-572.82,-4800.00,17.45,-32461.54,-1542.09,-1987.76,-1936.04,30.71,25.36,40.59,52.88,101.87,103.50,129.17
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-19.46,117.17,-125.74,180.00,167.86,-1936.00,3.92,8.54,50.25,142.19,-59.45,-109.71,-6320.00,104.05,-1973.08,-0.62,-8.16,-1487.55,4.96,-27.92,-5.48,45.97,-2.38,-1.83,16.34,102.14,91.74,748.33
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-37.69,,,384.16,,,,,,,,,,,,877.14,,,,,,,,,,,,,,
