,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
ShareAmountCurrent,74558541000,74558541000,74558541000,74558541000,104744107000,104744107000,104744107000,104744107000,105348131000,105348131000,105348131000,105348131000,105348131000,106201813000,106201813000,106201813000,106372191000,106483550000,106483550000,106528640000,106594909000,106661178000
WKCurrent,4330,10000,9880,13000,9390,9410,9390,8740,8170,8250,8300,9110,9170,9160,9070,9310,8840,8260,9280,9240,9510,8790
CWKCurrent,1270,550,560,420,590,580,590,630,670,670,660,600,600,600,610,590,620,670,590,600,580,630
WKGrahamCurrent,-8970,120,-5950,-4390,-3940,-4860,-5540,-6270,-6780,-7650,-8580,-9010,-9430,-9810,-9720,-10260,-9630,-11160,-10890,-10740,-11030,-12760
CWKGrahamCurrent,,47770,,,,,,,,,,,,,,,,,,,,
PCurrent,510,0,580,520,370,380,420,480,540,590,630,690,770,880,970,1010,1060,1070,1110,1180,1230,1280
CPCurrent,10870,,9500,10590,14790,14300,13120,11360,10260,9310,8700,8010,7150,6270,5650,5420,5200,5150,4950,4660,4470,4310
ZCurrent,1230,20,-1540,340,170,-120,40,-590,-1130,-1070,-1020,420,970,870,760,280,-200,40,280,-20,680,680
CZCurrent,4470,308560,,16050,32689,,124610,,,,,13180,5660,6340,7240,19510,,150750,19820,,8140,8109
ZOCurrent,1380,0,-1180,580,260,-10,180,-380,-1010,-840,-640,990,1720,1990,1480,1170,190,-110,760,-50,1160,1900
CZOCurrent,3980,,,9540,21270,,30730,,,,,5550,3190,2760,3720,4690,28670,,7230,,4760,2900
EVCurrent,15130,5500,12400,11820,9370,10450,11080,11570,12070,13140,14160,14540,14940,15270,15300,15730,15120,15780,16410,15960,16370,16770
EVPCurrent,29900,,21410,22760,25200,27160,26430,23900,22500,22250,22400,21160,19440,17410,15710,15510,14290,14770,14770,13520,13300,13150
EVEBITCurrent,10950,-3868600,-10500,20500,36250,-722880,61920,-30340,-11950,-15670,-22220,14670,8670,7670,10340,13430,78820,-137960,21580,-342150,14160,8850
EVEBITDACurrent,10950,-3868600,-10520,20330,35790,-1047310,60370,-30650,-11990,-15740,-22330,14620,8650,7660,10320,13390,77320,-143810,21470,-372420,14100,8830
DTAR,700,0,450,360,380,410,420,470,480,510,520,520,530,530,530,550,540,590,550,560,550,590
CG,2330,0,820,600,650,750,770,960,1010,1110,1180,1170,1200,1220,1220,1290,1320,1590,1350,1390,1340,1630
LDER,1920,,610,560,560,640,690,780,900,1020,1090,1060,1080,1070,1100,1080,1080,1340,1200,1230,1210,1530
