,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320
ShareAmountCurrent,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,7000000000,7000000000,7000000000,7000000000,7000000000,11308323000,11308323000,11308323000,11308323000,11308323000,11308323000,11308323000,11308323000,11308323000,11308323000,11308323000,11662677000,11662677000,11662677000,11662677000,11662677000,11635281000,11635281000,11635281000,11635281000,11635281000,11635281000
WKCurrent,20,40,1440,1510,1490,1250,1570,1420,1770,0,2029,2060,2400,0,2210,2250,2360,2530,3520,2310,2850,3140,4260,5300,5580,5230,6460,6950,6650,6820,8510,8800,9120,5680,2640,-260,320,140,-19740,-19780,-1060
CWKCurrent,62860,31430,920,880,890,1060,840,930,750,,650,640,550,,600,590,560,520,380,570,460,420,310,250,240,250,200,190,200,190,160,150,140,230,500,,4110,9270,,,
WKGrahamCurrent,10,30,1420,1570,2380,2100,1500,1360,1730,0,2050,2350,1990,0,1690,1680,1900,1990,1040,1060,1220,1330,790,2250,2270,3350,4140,5030,4670,2170,7370,7610,7760,4600,-1910,-490,110,-70,-19920,-19960,-1320
CWKGrahamCurrent,227590,42040,930,840,550,630,880,970,760,,650,560,660,,780,790,690,660,1270,1250,1080,1000,1660,590,580,390,320,260,280,610,180,170,170,290,,,12110,,,,
PCurrent,510,770,570,2400,2440,5480,6020,6540,7730,8620,10690,12100,13330,15730,13140,14520,15820,16190,15420,10860,11690,14030,17370,18330,20410,14160,11590,9830,7620,11880,2760,4059,-2270,-4630,1130,-2490,890,840,890,880,900
CPCurrent,2570,1710,2310,550,540,240,220,200,170,150,120,110,100,80,100,90,80,80,90,120,110,90,80,70,60,90,110,130,170,110,480,330,,,1170,,1480,1580,1490,1500,1470
ZCurrent,10,20,160,60,-10,-60,70,0,350,530,510,660,440,710,730,770,800,810,1000,660,840,1030,1390,2600,2550,2510,2220,1420,1440,1440,4660,4510,4580,4330,-2410,6830,7100,6930,-9900,-19520,-1380
CZCurrent,143480,62860,8020,21050,,,18590,286960,3780,2470,2600,1990,2980,1850,1800,1710,1640,1620,1320,2000,1570,1280,950,510,520,530,600,930,920,920,280,290,290,310,,190,190,190,,,
ZOCurrent,20,30,150,50,40,50,250,210,810,950,1230,1500,1150,1460,1410,1540,1560,1460,1430,910,1010,1200,1020,1110,1110,-50,80,0,-330,600,-210,100,-690,-810,-1340,-1920,-630,-890,10,50,1140
CZOCurrent,78570,39050,8740,26930,37700,26930,5350,6250,1620,1390,1070,880,1150,900,930,860,850,900,920,1450,1300,1100,1290,1180,1190,,15860,304630,,2180,,13190,,,,,,,95390,26030,1160
EVCurrent,1320,1250,90,260,1320,1320,630,420,720,1320,1070,1690,2620,1320,2470,2250,3010,3010,2890,2790,2650,3680,1380,2480,3300,3360,3020,3550,4040,5590,-2440,-2250,-1070,3510,3080,3490,1770,1730,20090,20020,2880
EVPCurrent,2570,1620,160,110,540,240,110,60,90,150,100,140,200,80,190,160,190,190,190,260,230,260,80,140,160,240,260,360,530,470,-890,-560,,,2740,,1980,2070,22670,22780,3210
EVEBITCurrent,78490,37050,590,5390,37700,26930,2570,2009,890,1390,870,1120,2280,900,1750,1460,1930,2060,2020,3060,2610,3080,1350,2220,2970,-73360,36350,818410,-12160,9240,11700,-22510,1530,-4310,-2300,-1820,-2820,-1950,1451660,394830,2530
EVEBITDACurrent,54940,23720,560,3140,18850,15710,2170,1550,800,1260,810,1050,2070,820,1610,1340,1740,1820,1510,2240,1890,2310,1100,1830,2440,14930,7810,12340,-45450,8340,-17910,-5710,2860,-7530,-2400,-1900,-2860,-2080,291060,187560,2410
DTAR,800,820,80,290,,,450,540,430,,560,510,550,,600,570,570,560,560,570,620,650,580,500,500,460,500,450,500,380,400,430,340,400,380,1050,840,920,22620,21770,1940
CG,3910,4670,90,470,,,980,1510,990,,1680,1510,1740,,2150,1950,1960,1860,1660,1600,1790,1940,1530,1020,1020,870,1030,830,1040,860,660,760,500,650,1000,-19750,5090,11200,-1050,-1050,-2070
LDER,,,,10,,,20,30,30,,530,530,470,,630,640,590,560,200,200,160,140,10,20,20,150,270,250,500,480,340,280,270,350,620,-300,220,510,-20,-20,-50
PZAT,,,,1520,,,2560,3700,2810,,200,220,270,,190,170,180,220,430,570,630,590,4190,2860,2040,250,130,130,70,40,30,30,30,50,70,1320,1390,1290,250,240,1650
PELDR,,,,11220,,,4470,3660,3350,,4530,4510,2620,,2520,2400,2430,2520,1940,1620,1860,1910,1430,1720,1750,3140,3340,4200,4680,7860,10040,10060,8550,7080,9930,-670,1970,1100,-106390,-107010,-3390
TSF,,,,630,,,470,370,450,,510,510,470,,460,480,460,470,410,420,400,380,380,500,500,610,620,670,720,650,810,730,840,810,620,-40,200,120,-21270,-20450,-890
ZKO,930,860,80,310,,,510,610,500,,630,570,680,,740,720,710,700,850,780,810,820,890,710,720,580,620,540,600,730,430,470,370,450,3580,1100,940,1050,28270,26910,2510
OSF,1310,3690,6140,3430,,,2210,1890,1620,,1850,1680,1180,,1120,1020,1060,1020,1330,1020,1240,1310,1220,1160,1180,1560,1620,1780,1860,3850,3200,3460,2500,2340,21730,-1280,1420,700,-3060230,-2930630,-10370
NetDebt,404000000,641000000,-5523000000,-1768520000,-5569000000,-4226000000,2183000000,2698000000,1456000000,,6414000000,5321000000,10995000000,,21639000000,18688000000,24713000000,24399000000,33233000000,35832000000,49965000000,62149000000,53849000000,48947000000,58328000000,26890000000,43303000000,35246000000,39262000000,35923000000,-26395000000,-8218000000,-17136000000,25255000000,28526000000,51930000000,9750000000,10066000000,239938000000,240155000000,23704000000
NetDebtEBITDA,3370,2430,-6950,-4210,-15910,-10060,1490,1970,320,,970,660,1740,,2020,1590,2040,2110,2490,2550,3160,3450,3810,3210,3820,10570,9890,10840,-39030,4740,-16600,-1790,3940,-4640,-1910,-2430,-1350,-1040,298800,193360,1700
DebtFin,-7000000,-339000000,-6156000000,-5279690000,,,-3431000000,-4479000000,-2985000000,,-1246000000,1835000000,6487000000,,8031000000,6520000000,11846000000,11841000000,10978000000,16573000000,14984000000,26669000000,693000000,13061000000,22373000000,23073000000,19278000000,25175000000,30798000000,48253000000,-43874000000,-41661000000,-27820000000,25579000000,20552000000,25226000000,5262000000,4827000000,218359000000,217589000000,18191000000
DebtFinEBITDA,-60,-1280,-7740,-12570,,,-2350,-3260,-660,,-190,230,1020,,750,550,980,1020,820,1180,950,1480,50,860,1470,9070,4400,7740,-30610,6370,-27590,-9060,6400,-4700,-1370,-1180,-730,-500,271930,175190,1310
SP1,1400,4290,75140,11080,7490,6160,4370,3080,3230,,2950,2950,1740,,1520,1410,1490,1460,1570,1320,1540,1590,1370,1650,1640,2710,2620,3330,3110,5270,7420,7400,6700,5230,6070,-1160,1510,670,-108260,-108920,-4130
SP2,1400,4290,75140,11220,7490,6160,4470,3160,3330,,4530,4510,2560,,2480,2300,2360,2280,1880,1570,1780,1810,1390,1670,1680,3110,3310,4170,4650,7810,9970,9470,8520,7040,9850,-810,1850,1010,-106490,-107250,-3910
CAR,20,350,9730,1540,,,640,630,630,,630,530,230,,240,350,130,160,120,30,60,30,220,120,30,70,260,170,300,30,2600,1490,2300,,190,110,20,50,0,0,40
QR,1070,1160,12240,3320,,,2020,1530,2050,,2270,2600,1920,,1820,1930,1880,1800,1260,1380,1110,960,1080,1310,1200,2029,2140,2660,3160,2860,4760,3000,5680,4620,660,910,1070,960,30,30,320
CR,1070,1160,12240,3320,,,2020,1660,2060,,2340,2700,2020,,1920,2060,2009,2040,1340,1470,1360,1310,1130,1440,1430,2090,2180,2680,3190,3110,4880,3380,5780,4750,740,920,1120,1000,40,40,410
PP,20,350,9730,1550,,,730,760,860,,920,1010,650,,490,580,340,370,210,160,150,100,270,200,100,570,570,660,950,1050,2960,1750,2840,890,200,140,510,480,0,0,70
RCLR,990,800,2480,1620,,,1280,840,1190,,1340,1580,1290,,1320,1320,1490,1400,830,960,770,700,650,910,850,1160,1470,1840,1920,1520,1780,1410,2580,3090,440,760,550,460,30,30,270
KP,60,130,910,660,920,910,450,350,440,,510,560,410,,390,410,400,400,170,230,200,190,80,210,210,420,440,530,580,350,730,650,750,700,-40,-80,90,0,-21470,-20650,-1110
PKKO,10,40,6410,1040,1380,1380,350,290,320,,390,380,310,,320,290,280,280,150,180,180,160,60,150,140,340,580,800,1120,530,4620,3250,-4360,-1440,-240,250,180,0,-30990,-32910,-2140
RN,6290,4920,1820,2170,2120,4770,4240,3950,4050,4520,4630,4360,3900,4600,4150,3920,3610,3650,3500,3740,3850,4230,4700,4440,4620,3130,2180,1650,1170,1850,490,760,-450,-860,260,-650,340,570,590,1290,1460
CRN,58000,74000,200000,168000,172000,77000,86000,92000,90000,81000,79000,84000,94000,79000,88000,93000,101000,100000,104000,98000,95000,86000,78000,82000,79000,117000,167000,221000,312000,197000,745000,479000,-807000,-426000,1405000,-561000,1083000,642000,623000,283000,250000
CPZ,58000,93000,81000,104000,95000,42000,63000,101000,84000,75000,70000,61000,68000,57000,65000,71000,73000,72000,87000,88000,102000,109000,105000,110000,103000,136000,155000,171000,197000,117000,417000,291000,-465000,-212000,740000,-367000,960000,1001000,2934000,4551000,4515000
RZ,1273500,1222670,287750,,551110,486050,1392750,249560,433320,708620,110900,73540,53320,63340,51270,50610,44160,41770,41660,45030,24120,14750,17910,17190,19000,25430,22730,25980,80820,53580,11950,7900,-4380,-11360,3590,-13440,13190,24370,16890,15700,14520
CRZ,0,0,1000,,1000,1000,0,1000,1000,1000,3000,5000,7000,6000,7000,7000,8000,9000,9000,8000,15000,25000,20000,21000,19000,14000,16000,14000,5000,7000,31000,46000,-83000,-32000,102000,-27000,28000,15000,22000,23000,25000
RMO,5830,3400,370,1370,1240,2500,2520,2370,2550,2580,2570,2520,2340,2760,2680,2580,2500,2520,2360,2520,2400,2470,2690,2560,2690,1840,1350,1050,740,1150,260,350,-190,-390,130,-380,230,390,410,740,920
RMT,34200,78840,29820,10860,11340,28890,24490,21390,19670,18900,18900,18770,14450,17050,13440,10820,10260,10180,8620,8350,7710,8050,8010,7230,6990,4870,4210,3980,3540,5950,1700,2870,-1830,-3870,1110,-3190,1820,3080,4250,4460,4300
RM,4980,3250,360,1220,1120,2300,2290,2130,2260,2270,2270,2220,2009,2380,2230,2080,2009,2020,1790,1870,1780,1840,1970,1850,1900,1310,1020,830,610,860,200,280,-160,-350,100,-280,150,220,370,630,760
COP,,,201000,,173000,78000,,93000,91000,82000,82000,89000,101000,85000,95000,100000,109000,109000,113000,106000,110000,111000,98000,103000,98000,131000,183000,235000,317000,204000,776000,525000,-890000,-458000,1507000,-588000,1111000,657000,645000,306000,275000
CSP,,,120000,,78000,36000,,-8000,7000,7000,12000,28000,33000,28000,30000,29000,36000,37000,26000,18000,8000,2000,-7000,-7000,-5000,-5000,28000,64000,120000,87000,359000,234000,-425000,-246000,767000,-221000,151000,-344000,-2289000,-4245000,-4240000
