,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
ShareAmountCurrent,17651600000,17651600000,17651600000,17651600000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,23951610000,25691088000,25190204000,25190204000,25190204000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,25719752000,28260605000,38260605000,38260605000,38260605000,38260605000
WKCurrent,550,270,420,520,2170,0,2320,0,2320,0,2450,2490,2400,0,2500,2700,2960,0,3340,3470,3310,0,3580,3810,3370,3460,3510,3510,3550,3780,3890,3950,3820,4019,3960,3990,3670,3760,3170,3070,3460,3460,2860,2870,2750,2400,2370,2340,2390
CWKCurrent,2490,5040,3290,2650,640,,590,,600,,560,550,580,,550,510,470,,410,400,420,,390,360,410,400,390,390,390,370,360,350,360,340,350,350,380,370,440,450,400,400,480,480,500,570,580,590,580
WKGrahamCurrent,210,-90,-100,-20,1700,0,1410,0,690,0,150,200,70,0,190,-660,-150,0,100,290,230,0,470,-470,-870,-820,-930,-1150,-1500,-1380,-1340,-1380,-1540,-1390,-1510,-1440,-1660,-1530,-1470,-1540,-1350,-1280,-1270,-1200,-910,-280,-320,-320,-330
CWKGrahamCurrent,6560,,,,810,,980,,2009,,9030,6740,19920,,7100,,,,14010,4830,5970,,2930,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1180,1230,1660,1800,1410,1470,1500,1550,1580,1760,1850,1960,2140,2160,2190,2420,2870,3740,4460,4870,5030,5200,5150,5150,5440,5570,6050,6110,5750,6450,6940,7320,8220,8220,7990,7990,7870,7830,7460,7120,6670,6020,5580,5470,4940,3870,4030,4080,4340
CPCurrent,1170,1130,830,770,980,940,920,890,870,780,740,700,650,640,630,570,480,370,310,280,270,270,270,270,250,250,230,230,240,210,200,190,170,170,170,170,180,180,190,190,210,230,250,250,280,360,340,340,320
ZCurrent,200,200,240,310,250,260,280,290,270,300,330,310,310,260,220,380,410,500,530,470,500,540,550,560,530,490,490,380,490,560,600,640,550,540,370,330,200,80,-400,-520,-690,-780,-330,-320,-150,-100,-70,-30,10
CZCurrent,6980,6890,5630,4520,5460,5240,4860,4700,5090,4560,4150,4510,4430,5310,6200,3680,3380,2740,2590,2940,2770,2540,2490,2480,2620,2830,2840,3680,2810,2470,2320,2160,2500,2530,3710,4130,6820,17530,,,,,,,,,,,166560
ZOCurrent,280,280,330,400,300,300,300,310,300,350,390,370,390,340,300,450,510,620,660,630,660,820,840,800,810,680,680,640,730,780,820,860,790,800,610,540,400,250,-270,-380,-650,-770,-290,-290,-80,-30,-10,20,80
CZOCurrent,4870,4900,4180,3470,4640,4650,4540,4520,4670,3990,3540,3760,3510,4070,4530,3040,2720,2230,2090,2200,2100,1690,1630,1730,1710,2040,2020,2140,1900,1760,1690,1610,1750,1720,2280,2550,3470,5460,,,,,,,,,,76970,16370
EVCurrent,1350,1340,1330,1320,-30,1380,230,1380,1100,1380,1320,1420,1670,1380,1440,2360,2410,1380,1980,2100,2170,1380,2340,3290,2810,3220,3130,3350,3290,3850,3410,3770,3840,3910,3820,3760,3680,3430,3400,3580,3510,3510,3280,3380,3250,2440,2360,2500,2510
EVPCurrent,1140,1100,800,730,-20,940,150,890,700,780,710,720,780,640,660,970,840,370,440,430,430,270,460,640,520,580,520,550,570,600,490,510,470,480,480,470,470,440,460,500,530,580,590,620,660,630,580,610,580
EVEBITCurrent,4760,4770,4030,3320,-90,4650,740,4520,3740,3990,3390,3850,4230,4070,4730,5200,4750,2230,3000,3340,3300,1690,2770,4130,3490,4760,4600,5190,4540,4900,4180,4400,4860,4870,6310,6950,9260,13590,-12720,-9330,-5390,-4550,-11420,-11720,-43020,-95830,-236080,139190,29770
EVEBITDACurrent,4340,4260,3540,2950,-80,4070,630,3660,2910,3050,2590,2800,2990,2690,2950,3710,3480,1680,2250,2400,2390,1290,2120,3100,2600,3300,3140,3460,3150,3460,2990,3150,3350,3390,3930,4090,4680,5280,26680,-719560,-12240,-8360,51620,52450,17030,15870,15740,15820,10250
DTAR,520,680,650,610,150,,170,,210,,310,290,300,,270,500,450,,410,420,410,,450,500,520,510,510,510,580,570,560,550,570,560,530,540,590,590,580,570,540,530,530,570,570,520,480,500,520
CG,1060,2130,1850,1570,180,,210,,260,,450,410,440,,370,990,800,,710,730,710,,800,1010,1090,1030,1050,1030,1370,1330,1280,1220,1340,1270,1150,1180,1460,1430,1370,1340,1160,1110,1130,1310,1300,1070,920,980,1080
LDER,340,300,960,620,30,,20,,60,,80,70,130,,120,420,330,,280,240,240,,200,400,470,520,570,640,670,720,640,600,600,540,520,490,520,550,600,620,130,120,610,580,520,410,380,380,360
PZAT,1750,4010,1150,1490,6720,,24060,,12240,,11830,12350,7110,,7170,2840,3050,,3390,3610,3770,,4220,1960,2320,2050,1950,1810,1840,1650,1840,1960,2050,2150,2280,2390,2430,2200,2220,2220,9560,9640,2270,2320,2440,2600,2870,2870,3010
PELDR,2160,990,1640,1630,4810,,2650,,1520,,1250,1270,1260,,1340,1220,1350,,1430,1460,1470,,1510,1310,1250,1310,1320,1300,1250,1330,1300,1260,1210,1210,1160,1160,1110,1160,1150,1150,820,840,1130,1130,1150,1280,1220,1220,1200
TSF,650,420,690,630,870,,840,,840,,740,750,780,,820,710,740,,750,720,730,,660,700,700,750,760,810,710,740,720,720,680,680,710,680,610,640,680,690,520,530,750,680,660,680,720,700,650
ZKO,740,1190,1140,1020,190,,250,,470,,880,830,940,,830,1330,1070,,960,900,910,,860,1140,1310,1300,1340,1470,1450,1380,1370,1400,1430,1370,1500,1440,1450,1400,1510,1600,1510,1500,1640,1470,1340,1120,1170,1160,1140
OSF,1190,890,930,990,850,,650,,660,,930,900,960,,900,1070,1020,,990,980,980,,990,1010,1040,1050,1060,1110,1030,1020,1030,1050,1030,1030,1100,1070,1000,1000,1090,1120,1090,1110,1150,1050,1010,1010,1040,1020,1010
NetDebt,9852000000,9633000000,12857000000,13299000000,-24456000000,,-16877000000,,4754000000,,19093000000,19567000000,24682000000,,16506000000,56266000000,53108000000,,47417000000,47828000000,49341000000,,43722000000,74140000000,91436000000,87797000000,88010000000,87303000000,114513000000,117548000000,105734000000,114368000000,123749000000,123453000000,111243000000,115036000000,134802000000,129922000000,102506000000,104569000000,102855000000,98503000000,80534000000,91260000000,97724000000,92287000000,76204000000,86057000000,97584000000
NetDebtEBITDA,1790,1730,1940,1690,-3060,,-1950,,520,,1570,1610,1850,,1410,3700,2990,,2140,2170,2120,,1540,2720,3290,3490,3430,3510,4260,4120,3600,3720,4200,4160,4460,4870,6670,7770,31300,-816950,-13950,-9110,49350,55110,18100,15710,13300,14260,10410
DebtFin,-554000000,-656000000,-873000000,-1089000000,-33701000000,,-27637000000,,-6590000000,,-1419000000,867000000,6831000000,,1487000000,23387000000,26438000000,,15163000000,18097000000,20286000000,,24758000000,49050000000,36744000000,47427000000,45109000000,50560000000,49246000000,63417000000,52220000000,61383000000,63150000000,65014000000,62731000000,61216000000,59144000000,52827000000,51872000000,56610000000,54749000000,54901000000,48745000000,51367000000,52940000000,40439000000,37382000000,42687000000,43203000000
DebtFinEBITDA,-100,-120,-130,-140,-4220,,-3190,,-720,,-120,70,510,,130,1540,1490,,680,820,870,,870,1800,1320,1890,1760,2029,1830,2220,1780,2000,2140,2190,2510,2590,2920,3160,15840,-442270,-7430,-5080,29870,31020,9800,6880,6530,7070,4610
SP1,1610,750,810,970,4610,,2560,,1420,,1050,1080,1020,,1090,810,950,,1030,1090,1080,,1150,890,800,810,790,750,710,740,760,750,720,750,730,740,690,710,720,700,720,740,700,710,750,900,880,880,880
SP2,2150,970,1590,1570,4750,,2600,,1500,,1140,1160,1160,,1220,1150,1270,,1310,1360,1330,,1380,1250,1170,1230,1240,1240,1190,1280,1240,1200,1160,1160,1120,1110,1050,1110,1150,1130,810,830,1120,1130,1150,1270,1220,1210,1200
CAR,80,70,130,130,4360,,2680,,850,,340,250,40,,370,160,110,,210,170,80,,200,90,60,100,160,150,170,200,340,160,110,110,90,90,40,90,140,20,0,0,70,100,60,100,150,40,20
QR,1590,650,1190,920,5470,,3460,,2029,,520,470,480,,660,620,910,,1010,910,890,,940,810,680,820,850,780,720,960,870,650,710,750,680,610,570,670,650,520,380,420,650,660,740,910,790,660,750
CR,1980,980,1800,1620,6460,,4290,,2730,,1370,1440,1520,,1800,1310,1600,,1710,1670,1660,,1550,1460,1340,1560,1620,1830,1360,1590,1460,1410,1270,1270,1230,1190,1070,1160,1180,1170,740,750,1310,1220,1250,1440,1440,1400,1310
PP,80,70,130,130,4360,,2680,,850,,340,250,40,,370,220,220,,330,380,270,,540,410,60,100,160,150,170,200,340,160,110,110,90,90,40,90,140,20,0,0,70,100,60,100,150,40,20
RCLR,1520,580,1130,860,1180,,880,,1110,,460,510,770,,690,560,860,,930,720,880,,570,510,780,910,890,830,660,870,650,600,680,710,680,610,610,650,510,520,370,420,590,560,680,800,630,600,710
KP,350,-10,250,230,690,,520,,280,,90,110,110,,150,90,160,,180,190,180,,180,140,100,140,150,160,110,150,130,110,80,90,70,60,30,60,60,50,-120,-120,80,70,80,140,130,120,110
PKKO,640,-20,340,320,2320,,1820,,940,,350,380,360,,410,340,450,,330,330,290,,350,320,200,260,250,260,220,300,230,190,130,140,100,90,40,90,80,70,-180,-190,110,110,140,230,180,180,160
RN,1930,4240,4200,4210,4230,4360,4150,4019,3480,3870,3930,4240,4470,4510,4580,3890,3570,4560,3950,3870,3910,4040,4070,4070,4019,3930,4059,4150,3900,4100,4360,4360,4690,4640,4450,4320,4150,4100,4150,4280,4550,4670,4640,4520,4250,4140,4080,4070,4170
CRN,189000,86000,87000,87000,86000,84000,88000,91000,105000,94000,93000,86000,82000,81000,80000,94000,102000,80000,92000,94000,93000,90000,90000,90000,91000,93000,90000,88000,93000,89000,84000,84000,78000,79000,82000,84000,88000,89000,88000,85000,80000,78000,79000,81000,86000,88000,89000,90000,87000
CPZ,125000,149000,107000,98000,87000,80000,92000,90000,105000,95000,137000,140000,144000,143000,123000,146000,145000,114000,118000,114000,112000,108000,127000,142000,147000,137000,119000,104000,116000,111000,113000,121000,112000,119000,122000,126000,135000,140000,146000,146000,157000,176000,175000,177000,158000,132000,133000,132000,127000
RZ,4190,4040,4210,4090,3740,3720,3050,2920,3080,3380,2650,2460,2290,2400,2700,2700,3240,4320,4660,4720,4740,4730,4140,3720,3640,3920,4270,4450,3960,4290,4450,4260,4780,4630,4580,4850,4700,4720,4400,4230,4150,3990,3930,4050,4160,4280,4150,3850,3870
CRZ,87000,90000,87000,89000,98000,98000,120000,125000,119000,108000,138000,148000,159000,152000,135000,135000,113000,84000,78000,77000,77000,77000,88000,98000,100000,93000,85000,82000,92000,85000,82000,86000,76000,79000,80000,75000,78000,77000,83000,86000,88000,92000,93000,90000,88000,85000,88000,95000,94000
RMO,1480,2500,2570,2520,1520,1390,980,780,990,1110,1460,1560,1770,1780,1890,1700,1670,2130,2009,1940,1950,2020,1780,1660,1710,1810,2060,2260,2029,2110,2120,2080,2300,2280,2310,2350,2290,2260,2180,2200,2240,2260,2290,2240,2160,2110,2060,2009,2070
RMT,3430,3350,3830,3830,3640,3530,2530,2250,1240,1390,940,940,920,930,950,910,1030,1310,1390,1520,1610,1660,1660,1480,1400,1400,1400,1390,1250,1350,1400,1430,1580,1560,1500,1490,1470,1470,1470,1470,1410,1320,1240,1250,1290,1430,1500,1520,1620
RM,1030,1430,1540,1520,1070,1000,710,580,550,620,570,590,610,610,630,590,630,810,820,850,880,910,860,780,770,790,840,860,770,820,840,840,930,920,900,910,890,890,870,870,850,820,800,800,800,850,870,870,910
COP,276000,176000,174000,176000,184000,182000,208000,216000,224000,202000,231000,234000,241000,233000,215000,229000,215000,164000,170000,171000,170000,167000,178000,188000,191000,186000,175000,170000,185000,174000,166000,170000,154000,158000,162000,159000,166000,166000,171000,171000,168000,170000,172000,171000,174000,173000,177000,185000,181000
CSP,151000,27000,67000,78000,97000,102000,116000,126000,119000,107000,94000,94000,97000,90000,92000,83000,70000,50000,52000,57000,58000,59000,51000,46000,44000,49000,56000,66000,69000,63000,53000,49000,42000,39000,40000,33000,31000,26000,25000,25000,11000,-6000,-3000,-6000,16000,41000,44000,53000,54000
