,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,151300000000,151300000000,151300000000,151300000000,161227231000,161227231000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000,172484374000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,196800.00,406.20,,,7.09,,,,17.66,1.81,1.47,2.90,1.74,5.18,6.65,6.91,8.34,4.75,7.08,6.24,7.56,6.92,-3.37,-2.20,-5.30,-4.43,1.79
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,,16.52,-1.58,0.37,2.22,0.82,-1.90,1.78,1.07,4.23,-0.53,2.02,2.43,0.78,1.68,1.23,3.69,0.19,-8.11,2.45,0.41,1.11,-2.13
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-99.94,-80.24,,,-6.63,,,,-15.01,-1.78,-1.45,-2.82,-1.70,-4.93,-6.23,-6.45,-7.70,-4.53,-6.61,-5.88,-7.03,-6.48,3.48,2.26,5.60,4.63,-1.76
