,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKGrahamCurrent_qq,,,15.07,103.10,-100.00,,-1.42,-81.41,-100.00,,79.73,-109.10,100.00,,-32.38,-4.73,100.00,,8.21,-14.63,100.00,,-4.58,3.02,100.00,,17.12,-0.51,2.25,1.72,2.30,-0.55,-2.00,-3.52,-1.98,1.02,-3.35,8.22,1.96,-1.51,-8.11,0.33,1.70,-5.11,-6.33,5.30,12.13,7.35,27.85,12.21,1.52,6.07
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-34.15,-30.62,,,,-60.82,-54.27,399.57,,565.04,264.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,-29.75,-12.33,,,,68.86,-4.67,-30.61,,-49.49,-10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,-13.10,-50.76,,,1.43,437.92,,,-44.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,-8.05,-1.98,,,-48.09,-28.66,,,-8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,23.62,8.45,,,,-7.43,-6.24,19.70,18.80,21.67,23.21,28.17,26.54,17.04,9.30,-1.41,-4.01,-7.09,-6.47,0.16,3.44,13.53,20.45,27.27,32.74,31.85,24.86,9.29,-2.59,-6.91,-2.82,5.25,12.06,8.26,1.38,2.07,3.26,4.44,2.16,-9.19,-17.18,-16.36,-11.38,-6.50,2.82,11.26,14.29,22.59,20.28,11.49,6.11,-0.37
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
