,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
ShareAmountCurrent,2472291000,2472291000,2472291000,2472291000,2472291000,2502291000,2502291000,2502291000,2502291000,3002291000,3002291000,3014653000,3014653000,5614653000,5614653000,5614653000,5614653000,6168574000,6674308000,6674308000,6674308000,6674308000,9168574000,9168574000,9168574000,9168574000
WKCurrent,-30,30,3760,3490,3370,3090,2860,2370,2100,3520,3100,2920,2550,7870,7640,7480,7150,7340,6260,5220,4360,3420,6080,5320,4740,4170
CWKCurrent,,54320,370,400,420,450,490,590,670,400,450,480,550,180,180,190,200,190,220,270,320,410,230,260,300,340
WKGrahamCurrent,-240,-230,3020,2620,2150,1880,1520,1300,1050,2600,2060,1890,1300,6670,5730,4610,3900,4059,2560,-610,-1360,-2720,1660,1310,730,210
CWKGrahamCurrent,,,460,530,650,750,920,1080,1330,540,680,740,1070,210,240,300,360,340,550,,,,840,1070,1920,6750
PCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,80,90,80,40,50,50
CPCurrent,739570,,,,,,,,,,,,,,,,,,,21880,17080,14780,18030,32330,29990,28780
ZCurrent,-180,-120,-430,-650,-770,-1030,-970,-1210,-1270,-1100,-1320,-1130,-1280,-690,-680,-720,-840,-970,-1250,-2160,-2740,-3360,-2710,-2710,-2680,-2550
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent,-180,-210,-760,-810,-1080,-1430,-1190,-1110,-1110,-900,-1080,-1160,-1320,-720,-710,-770,-920,-1050,-1320,-2200,-2760,-3320,-2630,-2640,-2560,-2470
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent,1380,1430,-1630,-1280,-870,-510,-230,250,630,-820,-1440,-1250,-1800,-5570,-4490,-3160,-2760,-2750,-490,630,1990,2910,-620,20,610,1150
EVPCurrent,727650,,,,,,,,,,,,,,,,,,,9780,24230,30690,-8020,500,13170,23580
EVEBITCurrent,-7470,-6680,2150,1580,810,360,190,-230,-570,910,1330,1080,1360,7770,6350,4090,3010,2630,370,-290,-720,-880,240,-10,-240,-460
EVEBITDACurrent,-10190,-8940,2470,1710,880,390,210,-250,-640,1030,1480,1180,1460,8250,6700,4280,3140,2730,380,-300,-790,-1000,280,-10,-290,-550
DTAR,1120,920,30,40,70,40,50,70,80,60,310,350,530,110,120,120,140,120,160,460,490,550,290,340,350,390
CG,-9210,10940,30,40,80,40,60,70,80,70,440,550,1120,120,140,140,160,140,200,860,950,1220,410,510,540,650
LDER,-2830,2480,10,10,30,30,0,0,20,0,0,0,,0,0,0,130,120,0,490,710,720,290,330,370,150
PZAT,50,110,7940,14280,7620,8540,72000,279800,13280,698000,1528000,1541000,,825830,1113500,2031860,3070,3270,5438500,1300,1070,1340,1370,1350,1330,3860
PELDR,440,460,5180,4080,2860,2640,2220,2290,2110,3870,4250,4280,,7310,4480,2940,2490,2500,1920,1350,1320,970,1790,1900,1750,1370
TSF,220,290,980,970,950,980,950,930,940,940,690,650,,890,880,880,980,980,840,800,880,780,910,880,890,690
ZKO,4670,5980,40,50,110,70,90,120,140,80,400,460,690,120,150,180,220,200,330,1160,1490,2900,600,670,780,930
OSF,-750,590,210,200,290,170,200,260,290,310,1190,1300,1410,810,610,470,490,460,550,1040,1140,1610,830,890,920,980
NetDebt,689120000,660690000,-7158000000,-6266170000,-4980350000,-4454088000,-3687597000,-2438000000,-1488000000,-5977000000,-4430000000,-3167000000,-1014000000,-33853000000,-27264000000,-19910000000,-17039000000,-19209000000,-4594000000,12599000000,19273000000,25108000000,-8116000000,-464000000,3817000000,10060000000
NetDebtEBITDA,-2060,-1680,4390,3400,2029,1350,1340,970,600,2490,1520,990,270,8920,7250,4810,3460,3090,540,-900,-1150,-1290,400,20,-200,-530
DebtFin,-55820000,64070000,-7482000000,-6613720000,-5613270000,-4780933000,-4082807000,-2870000000,-1928000000,-6665000000,-8524000000,-7978000000,-9639000000,-39155000000,-33066000000,-25578000000,-23331000000,-25629000000,-12630000000,-5167000000,3908000000,10050000000,-18545000000,-12637000000,-7198000000,-2319000000
DebtFinEBITDA,170,-160,4590,3590,2290,1450,1490,1150,780,2780,2920,2500,2590,10320,8790,6180,4740,4120,1470,370,-230,-520,910,630,370,120
SP1,-160,100,5090,3990,2760,2550,2140,2220,2000,3820,2980,2830,2050,6570,4010,2610,2200,2240,1690,900,760,560,1380,1330,1180,1050
