,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
NetDebt,268692000000,384272000000,441808000000,583618000000,48643000000,49258000000,178849000000,247383000000,294263000000,386925000000,498931000000,641319000000,767568000000,830762000000,805996000000,888396000000,898901000000,1068231000000,1065225000000,1233255000000,1409576000000,1176595000000,1235430000000,1399281000000,1361838000000,1645107000000,1546326000000,1576309000000,1514069000000,1259365000000,1164134000000,1132724000000,1017405000000,966776000000,868472000000,963356000000,968851000000,822417000000,851259000000,823038000000
NetDebtEBITDA,2090,3170,1300,1550,130,130,480,640,760,930,1260,1760,2710,1840,1530,1320,1300,1550,1610,1840,1570,1560,1470,1960,1920,2190,2150,2140,2150,20470,12870,24040,35910,1610,1430,1500,1550,680,740,710
DebtFin,-90748000000,1501000000,126000000,5036000000,-447240000000,-431659000000,-393603000000,-327170000000,-268052000000,-222101000000,-110601000000,-17271000000,140672000000,238180000000,174108000000,113338000000,231682000000,320449000000,361636000000,285959000000,376419000000,414228000000,381054000000,403604000000,279606000000,618681000000,578265000000,554228000000,484584000000,459358000000,373507000000,290017000000,176339000000,82249000000,1462000000,46491000000,35770000000,-112809000000,-56829000000,29186000000
DebtFinEBITDA,-700,10,0,10,-1150,-1170,-1060,-840,-690,-540,-280,-50,500,530,330,170,340,460,550,430,420,550,450,570,390,830,800,750,690,7470,4130,6160,6220,140,0,70,60,-90,-50,30
SP1,860,790,800,740,1100,1070,1010,970,960,910,870,810,770,800,820,800,800,750,760,720,730,750,750,700,720,670,680,670,690,700,720,730,760,780,810,810,810,840,850,860
SP2,1050,980,960,890,1250,1360,1280,1220,1200,1120,1070,990,950,1030,1070,1060,1060,1000,1000,930,950,920,930,910,1050,990,1000,990,1010,1080,1100,1090,1120,1040,1050,1030,1020,990,1010,1020
CAR,620,240,310,420,1370,2690,1850,1650,1580,1170,890,580,240,330,600,640,560,290,180,210,220,260,230,230,640,290,440,360,410,650,910,820,1110,720,650,470,430,580,470,330
QR,1230,740,740,640,1670,3170,2290,2029,2090,1500,1310,890,590,1170,1350,1100,1260,880,800,580,730,570,590,580,1160,750,820,730,880,1320,1480,1450,1690,1060,1140,1080,960,900,890,960
CR,1460,950,850,740,1780,3370,2440,2210,2240,1650,1430,990,700,1310,1520,1320,1460,1010,1020,730,830,700,720,690,1290,950,1040,950,1070,1580,1800,1660,1900,1160,1310,1190,1090,980,1050,1110
PP,620,240,310,420,1370,2690,1850,1650,1580,1170,890,580,240,330,600,640,560,290,180,210,220,260,230,230,640,290,440,360,410,650,910,820,1110,720,650,470,430,580,470,560
