,2015/Q4,2016/Q4,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,19010,19010,19010,19010,19010,19010,19010
ShareAmountCurrent,11670000000,11670000000,11670000000,11670000000,11670000000,11670000000,13670000000
WKCurrent,1320,1110,2590,2580,2550,2530,6120
CWKCurrent,14380,17060,7350,7360,7460,7520,3100
WKGrahamCurrent,590,40,1090,1110,790,700,4400
CWKGrahamCurrent,32380,454560,17360,17140,23940,27330,4330
PCurrent,0,0,0,0,0,0,0
CPCurrent,41082720,33613140,55461680,40335760,36974450,44369340,37123810
ZCurrent,-50,-210,-220,-220,-210,-210,-260
CZCurrent,,,,,,,
ZOCurrent,-70,-220,-230,-230,-220,-230,-280
CZOCurrent,,,,,,,
EVCurrent,18440,18790,17810,17790,17880,18180,14440
EVPCurrent,39844210,33230339,51950040,37741320,34775130,42435480,28192360
EVEBITCurrent,-271170,-86880,-77860,-76140,-80990,-78920,-50930
EVEBITDACurrent,-285820,-89400,-79660,-77770,-83150,-80500,-51740
DTAR,70,160,60,70,140,80,40
CG,70,190,60,80,160,90,40
LDER,,0,0,0,10,0,0
PZAT,,51820,49710,51370,17670,21180,17070
PELDR,,1120,1770,1790,1560,1440,3570
TSF,,840,940,930,860,920,960
ZKO,140,840,130,160,340,250,50
OSF,250,870,230,280,500,340,190
NetDebt,-5594763000,-18741000,-12130672000,-11861522000,-8348620000,-7013956000,-59055625000
NetDebtEBITDA,7430,10,4650,4440,3330,2660,15480
DebtFin,-6687936000,-2526476000,-14046553000,-14269446000,-13195958000,-9669274000,-62520177000
DebtFinEBITDA,8880,1030,5380,5350,5260,3670,16390
SP1,1800,1040,1730,1750,1450,1380,3540
SP2,1800,1040,1740,1760,1460,1390,3550
CAR,6120,1030,7530,6050,2810,3840,18890
QR,6980,830,7570,6270,2580,3840,19030
CR,7270,1220,7870,6510,3000,4270,19200
PP,6120,1030,7530,6050,2810,3840,18890
RCLR,1150,190,340,460,160,280,290
KP,410,30,400,400,270,260,690
PKKO,-168360,-7550,-212920,-227720,-140760,-156200,-989560
RN,0,20,10,10,10,10,10
CRN,84825000,20013000,43528000,45215000,45924000,57909000,45683000
CPZ,73890000,128445000,183403000,136233000,158922000,208822000,167974000
RZ,,,,,,,
CRZ,,,,,,,
RMO,0,0,0,0,0,0,0
RMT,0,0,0,0,0,0,0
RM,0,0,0,0,0,0,0
COP,,,,,,,
CSP,,,,,,,
