,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470,2470
ShareAmountCurrent,3422500000,3422500000,3422500000,3422500000,3422500000,9686900000,9711345000,9711345000,9711345000,9756870000,9756870000,9756870000,9787330000,9810311000,9810311000,21706070000,21706070000,21706070000,21706070000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000,43412140000
WKCurrent,1220,1720,9800,10090,10490,8130,8340,8680,8690,9000,9060,2770,3040,0,3060,5910,5830,0,5960,3990,4040,0,4180,4220,4220,4230,4190,4210,4240,4280,4280,4290,4350,4410,4500,4520,4540,4740,5180,5170,5140,5220,5240,5250,5070,5110,4890,4940,4820
CWKCurrent,2020,1440,250,240,240,300,300,280,280,270,270,890,810,,810,420,420,,410,620,610,,590,590,580,580,590,590,580,580,580,580,570,560,550,550,540,520,480,480,480,470,470,470,490,480,500,500,510
WKGrahamCurrent,-290,-450,5590,4200,1190,3040,2250,1060,-340,-510,-1610,-12190,-15350,0,-14770,-7430,-7410,0,-7040,-2580,-3110,0,-2870,-2770,-2840,-2780,-2720,-2540,-2050,-2130,-2100,-2370,-2770,-2630,-3100,-3270,-3160,-2840,-2860,-3020,-3020,-2770,-2650,-2600,-2860,-2700,-2670,-2350,-2530
CWKGrahamCurrent,,,440,590,2070,810,1100,2320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1730,1910,2890,3490,4380,2000,2500,3070,3690,4040,4100,5310,6010,6680,7430,3050,3290,3530,3970,2200,2280,2510,2670,2670,2590,2480,2230,2190,2230,2200,2300,2270,2290,2410,2860,3060,3260,3650,3590,3450,3400,3140,2940,3060,3080,3000,2970,2980,2930
CPCurrent,1430,1290,850,710,560,1240,990,810,670,610,600,470,410,370,330,810,750,700,620,1120,1080,980,920,930,950,1000,1110,1130,1110,1120,1070,1090,1080,1030,860,810,760,680,690,720,730,790,840,810,800,820,830,830,840
ZCurrent,-410,130,490,720,1040,590,740,980,1150,1210,1150,780,760,530,280,100,-100,-70,30,70,160,190,230,230,180,130,20,10,30,50,80,70,100,120,220,230,250,390,740,720,790,650,240,290,200,170,50,50,30
CZCurrent,,19000,5030,3420,2370,4170,3330,2520,2160,2040,2160,3150,3250,4630,8860,24030,,,96250,36980,15670,12810,10670,10520,13570,19560,105640,378900,97480,45340,29130,38010,25170,20840,11380,10860,9710,6340,3330,3450,3120,3780,10430,8560,12450,14520,54460,46460,93890
ZOCurrent,-300,290,610,830,1210,640,810,1080,1290,1440,1460,1620,1750,1520,1390,440,340,390,490,310,350,450,490,470,410,290,150,140,150,180,210,170,210,240,380,410,450,630,1010,950,970,800,330,420,370,310,230,240,220
CZOCurrent,,8540,4050,2970,2050,3840,3030,2290,1910,1710,1690,1520,1410,1630,1780,5640,7280,6270,5060,8100,7040,5530,5040,5200,6040,8590,16750,17980,16940,13850,11700,14930,11970,10260,6470,6000,5490,3920,2450,2600,2540,3080,7460,5910,6710,8100,10970,10390,11400
EVCurrent,2740,2450,-4370,-3300,-30,-1700,-540,860,1870,2050,2470,13560,15510,2470,14070,8290,8280,2470,7770,4450,4850,2470,4540,4380,4450,4390,4220,4230,4140,4300,3930,4280,4740,4730,4660,4870,4810,4630,4510,4580,4740,4730,4570,4490,4640,4480,4760,4410,4160
EVPCurrent,1590,1280,-1510,-950,-10,-850,-220,280,510,510,600,2550,2580,370,1890,2720,2520,700,1960,2020,2130,980,1700,1640,1720,1770,1890,1930,1860,1950,1710,1890,2070,1960,1630,1590,1480,1270,1260,1330,1390,1500,1550,1470,1510,1490,1600,1480,1420
EVEBITCurrent,-9280,8460,-7170,-3970,-20,-2640,-660,800,1440,1420,1690,8340,8860,1630,10130,18930,24390,6270,15920,14610,13840,5530,9260,9230,10890,15260,28640,30790,28390,24120,18630,25880,22980,19630,12220,11820,10700,7350,4480,4820,4870,5890,13790,10740,12620,14690,21130,18550,19220
EVEBITDACurrent,-25070,4410,-5280,-3030,-20,-2100,-520,640,1110,1070,1220,5870,6190,1040,6220,9670,10350,2810,7570,7580,7650,3340,5740,5600,6150,7240,9010,9210,8860,8580,7320,8640,8680,7960,6150,6010,5540,4350,3120,3260,3290,3660,5460,4960,5480,5740,6860,6130,5960
DTAR,530,390,180,210,210,180,150,150,180,190,230,850,860,,850,600,610,,590,490,490,,470,450,460,450,440,440,400,410,420,420,460,460,480,490,490,470,460,460,470,450,440,420,460,450,460,450,500
CG,1110,650,230,260,270,220,180,180,230,240,300,5950,5970,,5740,1510,1560,,1440,980,950,,870,820,840,830,790,770,670,700,730,730,850,850,940,940,960,900,870,860,890,810,790,740,870,840,860,800,980
LDER,210,270,130,150,150,130,110,100,100,100,200,3960,4160,,3920,1010,990,,930,650,680,,610,560,570,570,560,540,420,440,410,440,520,510,630,660,630,590,540,540,540,520,510,520,580,550,540,510,580
PZAT,5840,4640,3180,3870,5950,4890,6830,8520,10030,10200,5980,1210,1300,,1350,1970,2020,,2040,2190,2160,,2290,2450,2450,2390,2410,2450,3090,2970,3170,3140,2810,2790,2340,2290,2340,2350,2680,2710,2740,2750,2770,2730,2550,2650,2720,2780,2510
PELDR,980,1010,2640,1970,1300,1800,1520,1260,1060,1040,1020,920,860,,850,900,880,,890,1010,950,,1020,1010,940,1020,1020,1030,1030,1040,1060,1020,1020,1040,1030,1030,1030,1060,1020,1000,1000,1010,1010,1020,1020,1020,1010,1030,1050
TSF,570,770,930,910,910,920,940,930,900,890,920,710,740,,730,800,780,,790,840,860,,860,860,850,860,870,870,850,850,820,830,820,810,840,850,830,840,820,830,810,840,840,870,840,840,830,830,800
ZKO,1270,1670,280,380,700,370,400,600,1210,1310,2470,3850,6410,,6330,5890,5410,,5600,2960,5250,,4670,5080,4970,4740,5530,4570,3600,3450,3090,4050,4000,3320,3720,4280,3600,3000,2720,3090,2940,2910,2810,3040,2860,2720,2750,2450,2140
OSF,1030,1330,660,660,790,590,540,680,1160,1240,2100,710,1060,,1080,2610,2380,,2570,1800,2970,,2950,3270,2970,3050,3580,3050,2610,2470,2220,2790,2600,2220,2330,2630,2240,1980,1780,1980,1880,1910,1870,2029,1830,1770,1780,1670,1410
