,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
ShareAmountCurrent,18819368000,18819368000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,11134880000,16127542000,16127542000,16127542000,16127542000,16127542000,16127542000,16127542000,16127542000,16127542000,18819368000,18819368000,18819368000,18819368000,18819368000,18819368000,18819368000,18819368000,18819368000
WKCurrent,30,90,540,540,530,440,390,360,290,250,230,190,200,170,210,220,250,320,340,310,350,420,840,900,910,1030,990,1040,1060,1180,1200,990,1010,1060,1060,0,1090,1170,1150,1080
CWKCurrent,67850,21770,3710,3700,3750,4550,5140,5500,6950,8029,8740,10710,9770,11400,9580,8890,8060,6150,5780,6370,5710,4690,2360,2210,2180,1940,2009,1920,1880,1690,1660,2020,1970,1880,1880,,1820,1700,1730,1850
WKGrahamCurrent,30,70,490,510,500,400,230,180,100,70,50,20,40,30,60,80,110,210,240,220,270,550,440,430,280,350,320,320,330,380,440,320,380,450,290,0,280,240,200,140
CWKGrahamCurrent,72160,27870,4050,3930,3970,4920,8520,10800,20930,29430,37880,101970,45510,75200,32030,23470,17860,9280,8260,8880,7270,3650,4480,4650,7010,5610,6290,6130,5970,5180,4500,6150,5210,4390,6780,,7220,8330,10030,14130
PCurrent,260,850,1640,1380,1170,1050,1230,1230,1300,1420,1420,1600,1800,1800,1930,2000,2090,2450,2760,3000,2910,3120,2440,2940,3650,4190,4220,4140,4300,4440,4340,3780,3620,3570,3580,3660,3770,3990,4230,4380
CPCurrent,7570,2330,1220,1440,1700,1900,1620,1610,1530,1400,1400,1240,1110,1100,1030,990,950,810,720,660,680,640,810,680,550,470,470,480,460,450,460,530,550,560,560,540,530,500,470,450
ZCurrent,20,60,130,70,10,-70,-50,-140,-210,-150,-140,-140,-80,-110,-90,-20,30,150,170,200,210,200,170,150,150,180,170,190,180,220,200,200,200,150,130,80,80,110,90,80
CZCurrent,131870,30750,14910,27530,240850,,,,,,,,,,,,71040,13330,11980,10180,9320,10210,11690,13190,13330,10990,11860,10600,10810,9120,9860,10160,9810,13220,14860,25770,24700,18250,22930,24020
ZOCurrent,20,80,140,70,10,-80,-60,-150,-230,-200,-190,-190,-140,-110,-80,0,60,200,220,260,280,300,260,240,270,310,320,360,360,400,370,350,370,330,300,240,220,250,190,180
CZOCurrent,105490,24350,14100,27560,209040,,,,,,,,,,,892760,30910,10090,9240,7680,7200,6640,7700,8410,7340,6340,6310,5490,5600,4940,5340,5650,5360,6070,6610,8290,8970,8100,10300,11210
EVCurrent,1990,1940,1800,1800,1780,1680,1710,1830,1940,1920,2009,2000,2000,1990,2020,1960,2009,1810,1970,1930,1930,1530,1740,1900,2040,1940,1990,2050,1860,1750,1630,1920,1850,1840,1960,1990,2170,1970,1930,2180
EVPCurrent,7560,2260,1100,1300,1520,1600,1400,1480,1490,1350,1410,1250,1110,1110,1050,980,960,740,710,650,660,490,710,650,560,460,470,490,430,390,380,510,510,510,550,540,580,500,460,500
EVEBITCurrent,105360,23680,12730,24960,187430,-21780,-29840,-12380,-8500,-9380,-10570,-10450,-14260,-18070,-24630,879890,31250,9190,9130,7470,6970,5100,6750,8039,7520,6180,6300,5640,5240,4340,4370,5440,4990,5600,6510,8290,9780,8039,9970,12300
EVEBITDACurrent,105360,22190,11840,21740,88300,-25450,-37020,-13380,-8930,-11210,-12820,-12650,-18720,-25230,-39890,58470,17450,8200,8119,6620,6710,4950,6490,7730,7080,5790,5840,5180,4680,3820,3730,4630,4260,4690,5370,6510,7350,5950,6400,7170
DTAR,430,680,310,270,210,440,480,500,600,640,640,640,730,680,660,580,670,530,660,650,430,560,370,370,410,460,420,400,420,470,360,410,350,420,360,,420,450,430,470
CG,760,2120,440,370,260,780,940,970,1300,1760,1790,1770,2650,2160,1940,1400,2000,1190,2020,2000,820,2050,760,730,860,1050,910,830,900,1070,670,810,650,880,690,,880,990,910,1100
LDER,,30,10,10,0,,130,130,160,30,30,20,50,10,0,0,0,0,0,0,0,0,100,130,140,90,70,90,70,90,80,90,80,70,60,,120,130,120,210
PZAT,,3860,3440,3110,10190,,790,990,970,5070,5080,6220,2740,18590,627350,528780,500490,16563000,32186200,29812000,28213200,71190,260,420,270,420,850,380,580,380,400,340,430,580,880,,850,910,1020,680
PELDR,,4820,12230,16940,20120,,3120,2870,2500,1420,1800,1280,1330,1190,1430,1610,1820,2640,2880,2700,3310,3210,1510,1460,1230,1250,1220,1200,1190,1270,1320,1310,1340,1390,1160,,1200,1140,1100,1140
TSF,,330,700,740,800,,580,590,530,370,370,370,290,320,340,420,330,450,330,320,520,270,540,570,540,470,500,520,490,480,580,550,580,510,560,,540,510,530,520
ZKO,450,730,330,280,220,460,610,650,800,870,890,940,930,930,870,790,820,640,740,740,510,610,590,610,730,750,740,730,740,770,640,710,630,670,710,,780,830,840,890
OSF,7040,3330,3870,4710,3880,6030,1530,1490,1480,1190,1150,1050,1180,1100,1240,1270,1490,1700,2140,1990,1690,1860,800,770,780,830,800,770,790,870,770,840,770,860,760,,810,810,800,810
NetDebt,372000000,2614000000,498000000,110000000,-753000000,339000000,951000000,2102000000,2898480000,4100000000,4470360000,3326270000,5676070000,3864650000,4336080000,3154710000,5472300000,2193150000,7336023000,6153737000,2451473000,4541637000,4139986000,5005236000,9324860000,12669000000,10051000000,10915000000,11538000000,14927000000,5950000000,9436000000,8218000000,13871000000,9531000000,,16562000000,17909000000,13935000000,18507000000
NetDebtEBITDA,1050,1590,290,120,-3350,-460,-1850,-1380,-1200,-2150,-2560,-1890,-4770,-4390,-7710,8450,4260,890,2720,1890,770,1320,960,1260,2009,2340,1830,1710,1800,2020,850,1210,1000,1880,1390,,2980,2870,2460,3230
DebtFin,-46000000,-1029000000,-2145000000,-2092000000,-2291000000,-3475000000,-3089000000,-1787000000,-552690000,-763000000,204910000,136720000,128670000,34870000,284380000,-319430000,244460000,-1969260000,-256794000,-617859000,-711123000,-5143416000,-3962654000,-1422004000,764742000,-824000000,-51000000,917000000,-2061000000,-3856000000,-5839000000,-1400000000,-2578000000,-2873000000,-584000000,,3397000000,-305000000,-1191000000,3659000000
DebtFinEBITDA,-130,-630,-1270,-2270,-10180,4730,6000,1170,230,400,-120,-80,-110,-40,-510,-860,190,-800,-100,-190,-220,-1500,-910,-360,160,-150,-10,140,-320,-520,-830,-180,-320,-390,-90,,610,-50,-210,640
SP1,15770,4560,11870,16780,17950,13140,2520,2270,1850,1370,1300,1120,1270,1180,1430,1610,1820,2640,2880,2700,3310,3030,1350,1270,1050,1100,1080,1060,1060,1140,1190,1170,1210,1270,1070,,1040,980,950,910
SP2,15770,4710,11980,16940,18000,13140,2840,2560,2150,1420,1340,1140,1330,1190,1430,1610,1820,2640,2880,2700,3310,3030,1480,1430,1210,1190,1150,1150,1140,1240,1290,1280,1310,1360,1130,,1170,1110,1070,1100
CAR,110,290,830,980,1510,910,890,530,340,160,10,90,50,80,30,100,10,490,50,110,230,530,690,470,170,200,210,110,270,290,610,420,380,230,330,,100,210,330,130
QR,2230,1380,3080,3650,4210,2020,1770,1590,1260,1180,950,1000,1020,1070,1150,1230,1210,1550,1350,1330,1960,1600,1910,1970,1610,1390,1390,1480,1380,1380,1720,1550,1730,1580,1510,,1450,1350,1330,1340
CR,2240,1390,3130,3650,4670,2180,1900,1760,1430,1180,1150,1070,1100,1070,1150,1270,1230,1560,1350,1360,1960,1630,1940,2000,1630,1450,1460,1540,1460,1420,1770,1590,1810,1610,1550,,1490,1390,1380,1380
