,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12584414659000,12840461578000,12840461578000,12840461578000,12840461578000,12840461578000,12840461578000,12840461578000,12840461578000,12840461578000,16040573446000,16040573446000,16040573446000,16040573446000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-17.65,-17.50,-5.30,-12.44,,,,10.15,-1.58,-4.18,-2.30,-0.22,3.72,-0.17,-5.61,-12.91,-17.82,-15.15,-10.34,-7.29,1.04,-3.71,-4.07,-7.37,-4.72,4.08,16.26,27.37,24.54,17.00
CWKCurrent_sy,,-9.51,-10.31,-4.40,-27.90,,,,-13.75,-8.60,-8.00,-2.00,8.47,10.58,6.01,3.70,-1.39,-6.86,-5.76,-4.82,-2.83,-2.71,2.54,5.00,1.42,-1.95,-9.20,-11.05,-43.61,0.62,-1.80
