,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230
ShareAmountCurrent,20326660000,20326660000,20326660000,20326660000,20326660000,128567822000,128567822000,128567822000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000,149130538000
WKCurrent,-4070,-5170,-5020,-4170,0,930,1000,1090,0,1230,1180,1260,0,1380,1510,1570,0,1620,1580,1640,0,1510,1560,1560,0,1620,1640,1650,1650,1530,1560,1600,1600,1680,1710,1740,1790,1760,1770,1780,1810,1700,1710,1680,1710,1540,1530,1550,1570,1000,1020,1040
CWKCurrent,,,,,,250,230,210,,190,200,180,,170,150,150,,140,150,140,,150,150,150,,140,140,140,140,150,150,140,140,140,130,130,130,130,130,130,130,140,130,140,130,150,150,150,150,230,220,220
WKGrahamCurrent,-9560,-10470,-10340,-10270,0,-50,20,110,0,280,-400,-330,0,-260,-200,-160,0,-110,-140,-140,0,-180,-100,-60,0,-50,-40,240,240,110,140,170,130,190,220,220,190,220,240,250,270,210,230,140,150,50,-10,10,-90,-330,-350,-340
CWKGrahamCurrent,,,,,,,13320,2029,,830,,,,,,,,,,,,,,,,,,970,970,2070,1620,1320,1840,1200,1040,1050,1240,1060,950,930,850,1100,1000,1620,1560,4740,,15420,,,,
PCurrent,16129,17090,17590,18520,19850,3780,4390,4940,4600,4580,4520,4750,5070,5610,5920,6260,6570,6600,6130,5820,5770,5980,6400,6090,5570,4910,4620,4670,4590,4350,4180,3790,3630,3860,4120,4750,5360,5780,5880,5610,5430,5090,5060,5340,5080,5040,4990,4730,4800,4360,4220,3950
CPCurrent,10,10,10,10,10,60,50,50,50,50,50,50,50,40,40,40,40,30,40,40,40,40,40,40,40,50,50,50,50,50,60,60,60,60,60,50,40,40,40,40,40,50,50,40,50,50,50,50,50,50,50,60
ZCurrent,1920,-960,-750,-500,90,540,590,620,610,360,380,380,350,300,320,310,310,260,120,110,80,40,190,160,280,190,110,80,-80,-80,-100,-90,-80,50,70,90,130,130,110,140,120,10,10,-90,-80,-150,-170,-130,-140,-540,-500,-510
CZCurrent,120,,,,2470,430,390,370,380,630,610,610,650,770,720,740,750,900,1920,2160,2900,5130,1190,1410,810,1230,2190,2740,,,,,,4730,3280,2570,1830,1840,2090,1620,1900,18080,34860,,,,,,,,,
ZOCurrent,-340,1340,1340,690,790,190,260,310,310,280,310,320,330,380,400,380,400,370,250,220,140,100,220,230,340,330,280,220,130,40,-20,-30,-40,100,140,190,210,220,200,230,190,60,50,-60,-70,-160,-180,-110,-110,-510,-450,-460
CZOCurrent,,170,170,340,290,1190,880,730,730,830,750,710,690,610,570,600,570,620,920,1050,1590,2360,1040,990,670,710,830,1030,1840,5420,,,,2280,1650,1240,1080,1040,1130,990,1180,3900,5080,,,,,,,,,
EVCurrent,2670,1190,1710,2720,230,450,230,190,230,40,-190,-240,230,-120,-200,-70,230,-400,-50,120,230,-450,130,260,230,450,710,460,350,260,260,300,360,410,240,390,300,180,280,310,270,210,240,160,140,410,490,470,500,350,470,490
EVPCurrent,170,70,100,150,10,120,50,40,50,10,-40,-50,50,-20,-30,-10,40,-60,-10,20,40,-80,20,40,40,90,150,100,80,60,60,80,100,110,60,80,60,30,50,60,50,40,50,30,30,80,100,100,110,80,110,120
EVEBITCurrent,-7900,890,1280,3970,290,2310,890,620,730,150,-610,-740,690,-310,-500,-170,570,-1080,-210,560,1590,-4610,580,1130,670,1380,2570,2050,2780,6050,-10460,-8540,-9560,4019,1690,2090,1420,800,1360,1350,1390,3510,5220,-2640,-1960,-2590,-2660,-4170,-4550,-700,-1040,-1060
EVEBITDACurrent,8690,640,920,2250,170,1580,650,470,580,110,-470,-560,520,-230,-380,-130,430,-790,-130,340,810,-1870,350,700,470,970,1730,1290,1400,1670,3210,5430,6810,2110,1020,1390,980,560,920,960,940,1350,1690,4950,6140,-6250,-5260,-21150,-24220,-850,-1280,-1290
DTAR,1340,1490,1450,1320,,660,620,600,,460,650,660,,640,620,630,,580,570,610,,660,590,610,,600,580,530,510,500,450,460,520,490,490,530,520,510,490,490,520,510,490,560,560,580,560,570,580,650,630,650
CG,-3950,-3010,-3170,-4000,,2110,1800,1660,,910,2060,2090,,1950,1770,1820,,1500,1470,1730,,2120,1600,1690,,1650,1500,1230,1110,1100,900,930,1160,1050,1050,1210,1130,1100,1030,1010,1110,1090,1010,1260,1290,1370,1300,1330,1430,1900,1730,1890
LDER,-370,-300,-440,-540,,410,340,320,,160,200,180,,150,140,180,,150,160,470,,340,290,260,,250,300,270,160,150,150,140,210,190,200,210,220,200,200,210,170,200,200,220,230,160,180,180,190,200,240,250
PZAT,3400,3040,2100,2340,,2470,2770,2720,,4830,6750,7010,,7730,7780,5870,,7100,6880,2280,,3290,3660,4050,,4040,3460,3230,5370,6610,6510,6610,4350,4610,4410,4220,2770,3100,2870,2750,3360,2980,2920,2620,2530,4700,4170,4170,3690,4920,4040,3950
