,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
ShareAmountCurrent,200000000000,200000000000,226666667000,226666667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,226966667000,164010813000,164010813000,164010813000,164010813000,164010813000,164010813000
WKCurrent,20,530,1200,1210,1220,0,1280,1290,1300,0,1680,1690,1700,0,1840,1850,1840,0,1870,1860,1880,0,2009,2050,2029,2050,2050,2070,2070,2050,1980,1970,1990,1990,2020,2000,2020,1970,1580,2140,2020,2000,2060,2080,2120
CWKCurrent,43700,1980,880,870,860,,820,820,810,,620,620,620,,570,570,570,,560,560,560,,520,510,520,510,510,510,510,510,530,530,530,530,520,530,520,530,660,490,520,520,510,500,490
WKGrahamCurrent,-100,310,1190,1200,1200,0,1260,1270,1280,0,1620,1630,1620,0,1750,1740,1760,0,1780,1780,1780,0,1860,1900,1900,1910,1850,1870,1870,1850,1770,1750,1780,1770,1820,1800,1890,1840,1500,2029,1920,1900,1930,1940,2000
CWKGrahamCurrent,,3340,880,880,870,,830,830,820,,650,640,650,,600,600,600,,590,590,590,,560,550,550,550,570,560,560,570,590,600,590,590,580,580,550,570,700,520,550,550,550,540,520
PCurrent,0,280,570,580,620,670,340,350,430,400,510,550,550,930,1060,1110,1020,570,430,310,430,480,880,1080,1180,1290,910,960,920,800,670,560,590,760,1240,1250,1310,1420,2140,3370,3170,2830,1410,1230,1560
CPCurrent,,3740,1840,1800,1700,1560,3080,2990,2470,2600,2050,1910,1930,1130,990,950,1030,1840,2470,3410,2420,2190,1200,970,890,810,1150,1090,1140,1310,1560,1870,1770,1380,850,840,800,740,490,310,330,370,740,850,670
ZCurrent,0,160,170,170,180,210,70,70,80,60,90,90,80,150,150,160,150,50,30,10,40,30,140,180,190,220,80,60,40,10,-70,-100,-80,-60,90,80,80,120,280,460,410,330,60,50,100
CZCurrent,,6580,6120,6070,5730,5050,15740,14750,12700,18470,11330,12030,13610,7000,6790,6520,7210,22360,34910,80650,29160,38380,7530,5710,5580,4870,12780,17240,24120,164240,,,,,12320,13350,13520,8480,3690,2310,2590,3200,18200,23070,10080
ZOCurrent,0,190,220,220,240,260,80,90,100,70,120,110,100,160,150,150,120,20,0,-20,10,10,120,170,180,210,80,70,50,10,-70,-100,-80,-50,120,110,110,170,370,610,550,450,130,100,170
CZOCurrent,,5430,4730,4690,4410,4090,13010,12160,10270,14570,8560,9180,10670,6400,7200,7150,8430,58510,289220,,107640,197770,9070,6260,5820,5030,12720,15410,20150,84000,,,,,9020,9600,9360,6210,2820,1730,1920,2330,8300,10110,6050
EVCurrent,1340,1380,1830,1830,1890,1050,2100,2180,2200,1050,1870,1730,1580,1050,1410,1390,1560,1050,1530,1560,1590,1050,1690,1690,1590,1550,1520,1440,1650,1670,1760,1820,1860,1860,1690,1530,1580,1660,1740,2009,2240,2570,1940,1820,1860
EVPCurrent,,4900,3200,3140,3070,1560,6160,6190,5170,2600,3650,3140,2910,1130,1330,1250,1530,1840,3590,5060,3660,2190,1930,1560,1350,1200,1670,1490,1790,2080,2610,3240,3150,2440,1360,1230,1200,1170,820,600,710,910,1370,1480,1190
EVEBITCurrent,,7110,8250,8189,7950,4090,26020,25230,21480,14570,15230,15140,16100,6400,9670,9430,12540,58510,420800,-94430,162860,197770,14620,10060,8810,7440,18430,21090,31630,133330,-25240,-17390,-24200,-36830,14530,13990,14090,9800,4680,3330,4090,5700,15350,17550,10720
EVEBITDACurrent,,7100,8170,8100,7880,4019,25310,24430,21020,14140,15030,14930,15870,6340,9540,9310,12320,51660,239790,-116630,121650,121530,14210,9880,8660,7340,17840,20270,30160,110150,-26300,-17890,-25190,-39230,14150,13600,13670,9590,4620,3290,4040,5620,14670,16620,10360
DTAR,960,590,550,550,550,,560,560,560,,490,480,470,,380,350,450,,440,460,470,,420,390,410,390,370,370,400,410,460,480,510,500,470,480,490,490,510,480,500,510,520,500,570
CG,23530,1700,1200,1210,1220,,1270,1300,1300,,940,910,900,,620,550,830,,800,880,900,,720,640,690,640,600,590,660,700,870,910,1030,1010,910,930,950,980,1060,950,1030,1050,1080,1010,1320
LDER,15410,970,570,630,610,,510,270,210,,300,200,190,,140,280,480,,280,290,300,,340,330,310,320,330,290,400,430,550,510,530,500,490,440,280,350,420,410,600,590,520,450,500
PZAT,310,430,10,0,10,,10,10,30,,90,130,220,,290,150,90,,150,140,140,,110,110,110,110,120,140,100,90,80,80,80,80,80,90,130,110,120,120,90,90,100,110,100
PELDR,3950,4210,175700,170970,134250,,113270,111420,71640,,35550,35960,25450,,22560,21530,27690,,21810,22430,21320,,16239,16170,18310,17860,13220,12820,13910,13980,13760,13300,14130,13160,14680,14130,18940,19050,23310,23550,25900,24860,19620,18060,20720
TSF,670,680,710,740,730,,670,550,530,,670,630,630,,710,830,810,,710,680,680,,770,810,770,800,830,810,840,840,830,790,750,750,780,750,660,680,690,720,780,770,730,720,640
ZKO,1220,740,550,550,550,,560,570,570,,500,480,490,,390,370,460,,460,480,490,,440,410,420,410,400,390,420,440,490,510,540,530,500,510,500,510,530,500,520,530,540,520,580
OSF,230,1270,54310,50670,40230,,42220,43190,33570,,13570,14450,10400,,7790,6190,8680,,7740,8360,8000,,5310,4960,5930,5470,3950,3930,4210,4260,4390,4440,4940,4650,4950,4960,7440,7200,8670,8340,8420,8200,6930,6450,8029
NetDebt,101319000000,141664000000,252970000000,260103000000,272636000000,,323172000000,347488000000,359943000000,,298059000000,294686000000,285245000000,,161180000000,158180000000,199358000000,,240370000000,276752000000,297504000000,,278879000000,255081000000,236151000000,222686000000,223701000000,200269000000,247464000000,266138000000,314793000000,341856000000,381616000000,372149000000,307601000000,304939000000,333571000000,327910000000,307999000000,252297000000,297532000000,281127000000,295428000000,258642000000,354513000000
