,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
ShareAmountCurrent,3263500000,3263500000,3263500000,3263500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4063500000,4119374000,4119374000,4119374000,4119374000,4119374000,4119374000,4119374000
WKCurrent,4110,4590,3920,0,8109,8430,7980,0,8850,9210,8109,0,9020,9410,7390,7640,8290,8690,9050,8820,6720,6850,7000,7000,7000,7030,7130,7050,7210,7410,7720,7920,8670,9000,9160
CWKCurrent,3410,3050,3570,,1730,1660,1750,,1580,1520,1730,,1550,1490,1890,1830,1690,1610,1550,1590,2080,2040,2000,2000,2000,1990,1960,1990,1940,1890,1810,1770,1610,1560,1530
WKGrahamCurrent,680,1080,450,0,4510,4580,3750,0,4000,4110,2820,0,3450,3640,1560,1710,2280,3180,3600,2810,2390,2470,2650,2740,-670,-330,-120,-90,650,960,1290,1350,1090,1410,1810
CWKGrahamCurrent,20580,12980,31140,,3110,3060,3740,,3500,3400,4960,,4059,3850,8960,8189,6150,4410,3890,4970,5850,5670,5280,5110,,,,,21610,14530,10890,10350,12790,9950,7750
PCurrent,4890,5430,4150,4640,4019,4280,5100,5320,5880,6300,6830,7250,7910,8380,8109,8330,7770,7510,7180,6380,5320,4630,4260,4540,6100,7180,8170,8980,9260,9510,10440,10830,11940,12380,12820
CPCurrent,2860,2580,3380,3020,3480,3270,2750,2630,2380,2220,2050,1930,1770,1670,1730,1680,1800,1860,1950,2190,2630,3020,3290,3090,2290,1950,1710,1560,1510,1470,1340,1290,1170,1130,1090
ZCurrent,610,450,960,1290,1180,1220,1680,1690,1980,2040,2020,1990,2050,2070,1830,1830,1740,1750,1660,1190,-1570,-1840,-2050,-1820,690,650,600,460,330,430,980,1310,1800,1930,2040
CZCurrent,22980,30850,14560,10850,11820,11460,8350,8280,7080,6870,6940,7030,6810,6770,7670,7630,8039,8010,8450,11790,,,,,20420,21630,23210,30250,42850,32520,14350,10650,7760,7250,6860
