,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
ShareAmountCurrent,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22724000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000,22834000000
WKCurrent,2180,2790,4059,6540,6420,13740,14360,14220,14570,14710,15050,14760,13900,15510,15870,15710,15560,15290,16379,16650,15800,16129,16670,16440,16250,16450,17320,17010,16239,16750,18130,17860,17490,17690,17750,17670,17340,18300,18950,18990,18540,18200,18860,18490,18310,18750
CWKCurrent,4830,3760,2590,1610,1640,760,730,740,720,710,700,710,760,680,660,670,680,690,640,630,660,650,630,640,650,640,610,620,650,630,580,590,600,590,590,590,610,570,550,550,570,580,560,570,570,560
WKGrahamCurrent,-260,520,1020,2480,2310,8650,9110,8520,8690,7840,4930,4760,3720,4220,4610,3810,3480,2730,3150,2320,1550,1840,2760,2450,2220,2320,3570,3810,3020,3670,4960,3860,3370,3290,2360,1000,530,1250,2110,4690,4190,4110,4870,4780,4510,4840
CWKGrahamCurrent,,20320,10310,4240,4540,1210,1150,1230,1210,1340,2130,2210,2820,2490,2280,2760,3010,3850,3330,4540,6790,5720,3810,4290,4730,4520,2940,2750,3480,2860,2120,2720,3120,3190,4450,10520,19700,8430,4970,2240,2510,2560,2160,2200,2330,2170
PCurrent,11510,14170,18980,22790,23300,23250,23350,23310,23670,24350,27120,28190,29520,33270,35790,38670,40330,41510,43290,44980,45710,46670,46860,46460,46350,46890,47630,48780,49480,49540,49150,48320,47690,46380,44760,43700,43390,43590,43620,44400,46210,48130,50280,51620,52850,53340
CPCurrent,910,740,550,460,450,450,450,450,440,430,390,370,360,320,290,270,260,250,240,230,230,230,220,230,230,220,220,220,210,210,210,220,220,230,230,240,240,240,240,240,230,220,210,200,200,200
ZCurrent,40,600,1270,1530,1390,1170,990,630,1100,970,1300,710,230,980,620,1060,1020,130,300,780,330,640,560,200,450,660,940,900,520,780,1170,910,1310,1020,440,1170,1230,1910,1850,1400,1310,310,330,300,490,990
CZCurrent,247260,17460,8300,6850,7560,8980,10640,16670,9530,10780,8050,14740,46130,10720,16910,9900,10330,82500,35220,13420,31390,16420,18700,52760,23190,15920,11110,11690,20000,13460,8970,11520,8039,10260,23680,8940,8530,5500,5670,7490,8010,33930,31560,35160,21370,10580
