,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260
ShareAmountCurrent,2559055000,3419056000,3419056000,3419056000,3419056000,3419056000,3419056000,3419056000,3419056000,3419056000,3419056000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4273820000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000,4269520000
WKCurrent,-70,4920,5020,5240,0,5920,6080,6470,0,7370,7820,8680,0,8850,9340,8560,0,9400,9690,9840,0,11950,10770,12450,12930,13940,14370,14590,15150,15890,16360,16329,16800,17720,18180,18840,19610,19470,19960,20200,20760,20990,21160,20930,21210,10970,11010,10980
CWKCurrent,,1270,1250,1200,,1060,1030,970,,850,800,720,,710,670,730,,670,650,640,,520,580,500,480,450,440,430,410,390,380,380,370,350,340,330,320,320,310,310,300,300,300,300,300,570,570,570
WKGrahamCurrent,-530,3750,3250,3300,0,1040,1130,1370,0,-3070,-2730,-3460,0,-2850,-3160,-4140,0,-4440,-4040,-4970,0,-3210,-4680,-3940,-4010,-3170,-2380,-2050,-1290,-1290,-1690,-4240,-4170,-4380,-2140,-1620,-2850,-3910,-4050,-3270,-2910,-2320,-2120,-3300,-1660,-1570,-1450,-1010
CWKGrahamCurrent,,1670,1920,1900,,6000,5520,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,2740,4019,4940,9260,17020,26160,33190,36030,36370,37340,38160,30730,32200,30770,29000,28550,26290,25990,26000,25900,26390,27270,27800,29020,28820,30090,30560,31350,31940,30800,32140,33330,35030,34990,35690,34660,35380,41350,42770,45270,45840,41900,41090,40280,39670,39520,39920,39830
CPCurrent,2290,1560,1270,680,370,240,190,170,170,170,160,200,190,200,220,220,240,240,240,240,240,230,230,220,220,210,200,200,200,200,190,190,180,180,180,180,180,150,150,140,140,150,150,160,160,160,160,160
ZCurrent,-120,640,690,730,870,1000,1120,1300,1320,1520,1750,1360,1410,980,690,870,1000,1340,1560,1600,1670,1770,1820,1830,1900,1990,2090,2200,2260,2380,2410,2340,2250,2430,2460,2540,2830,2410,2400,2200,2000,1730,1410,950,680,-9790,-9840,-9750
CZCurrent,,9730,9130,8560,7170,6240,5590,4800,4740,4120,3580,4590,4450,6380,9070,7170,6230,4690,4030,3910,3750,3550,3440,3420,3290,3140,3000,2840,2770,2630,2600,2680,2780,2570,2550,2460,2210,2600,2610,2850,3120,3630,4440,6560,9160,,,
ZOCurrent,-130,790,750,730,930,1270,1560,2110,2260,2470,2810,2040,2000,1700,1430,1650,1860,2270,2490,2610,2590,2790,2780,2720,2800,2600,2650,2680,2660,2570,2630,2840,2800,3010,2990,2750,3020,2910,2950,2900,2720,2560,2250,1860,1700,1170,1140,1220
CZOCurrent,,7940,8300,8540,6730,4940,4000,2970,2770,2540,2230,3070,3120,3680,4380,3790,3370,2750,2510,2390,2420,2240,2250,2300,2240,2410,2360,2340,2360,2430,2380,2200,2230,2080,2090,2280,2070,2150,2130,2160,2300,2450,2780,3370,3670,5360,5510,5110
EVCurrent,6220,6360,6270,5910,6260,5010,5340,6380,6260,7980,8730,9360,6260,10380,10190,11890,6260,11880,11980,12190,6260,10930,11710,10160,11490,10290,10370,11340,10740,12650,12730,12740,13240,13590,13950,13680,15310,16100,15880,16149,15630,14810,15360,14200,14520,14200,14070,13600
EVPCurrent,2270,1580,1270,640,370,190,160,180,170,210,230,300,190,340,350,420,240,460,460,470,240,400,420,350,400,340,340,360,340,410,400,380,380,390,390,390,430,390,370,360,340,350,370,350,370,360,350,340
EVEBITCurrent,-48810,8070,8310,8060,6730,3960,3410,3020,2770,3230,3100,4600,3120,6100,7130,7210,3370,5220,4810,4660,2420,3920,4210,3730,4110,3960,3920,4240,4040,4910,4830,4480,4730,4520,4670,4980,5070,5530,5390,5580,5740,5790,6820,7640,8520,12160,12380,11100
EVEBITDACurrent,-97020,7040,7370,6480,6580,3240,2890,2540,2260,2630,2430,3520,2230,4100,4410,4700,2260,3900,3730,3640,1920,3080,3270,2880,3020,2780,2650,2760,2610,3120,3200,3130,3390,3390,3450,3550,3640,3860,3720,3790,3800,3740,4160,4300,4630,5500,5470,5040
DTAR,1070,230,330,400,,500,510,400,,570,540,510,,530,570,590,,590,580,580,,530,560,490,490,500,490,490,470,430,440,450,470,420,440,420,490,510,470,470,480,470,460,450,430,590,600,600
CG,-15690,300,500,670,,1040,1090,720,,1410,1210,1050,,1150,1330,1450,,1450,1360,1360,,1140,1260,950,940,1000,960,950,900,740,780,830,870,740,780,730,940,1030,900,900,910,880,850,830,760,1460,1490,1480
LDER,-4000,10,10,10,,20,20,30,,110,30,180,,130,160,330,,260,260,270,,130,250,70,140,150,120,170,250,270,260,350,420,290,330,310,300,460,440,390,320,390,450,360,160,300,620,650
PZAT,1320,14190,21210,22020,,12660,16920,10290,,2950,10740,1420,,1670,1240,630,,700,670,540,,2270,1490,2230,1120,750,900,560,370,320,440,410,310,440,410,480,520,340,340,370,410,330,260,330,720,700,330,330
PELDR,840,4270,2900,2740,,1210,1270,1220,,750,740,830,,840,850,900,,860,890,850,,890,870,810,870,940,960,1030,1150,1180,1150,1070,1140,1150,1190,1210,1140,1210,1200,1190,1160,1250,1320,1180,1080,1130,1430,1510
TSF,200,780,670,600,,490,480,580,,450,460,570,,520,490,540,,510,530,540,,530,550,550,580,580,570,600,650,730,710,740,760,740,750,760,670,720,760,730,690,740,780,750,660,530,650,670
ZKO,1820,280,430,520,,860,850,770,,1420,1400,1610,,1390,1340,1500,,1480,1440,1590,,1310,1530,1500,1490,1300,1210,1170,1100,1120,1150,1450,1400,1500,1180,1130,1180,1240,1290,1220,1180,1140,1130,1240,1110,1110,1100,1070
OSF,-300,1190,1240,1390,,1000,1010,910,,960,1020,1140,,1030,990,1010,,1010,1020,1060,,1030,1060,1140,1140,1060,1040,1030,1020,1040,1050,1150,1120,1340,1050,1050,1040,1030,1070,1050,1040,1030,1030,1070,1030,970,970,980
NetDebt,2874000000,4833000000,-1044000000,-366000000,,12540000000,14138000000,9537000000,,32665000000,30341000000,33665000000,,40967000000,50668000000,51590000000,,55513000000,54207000000,56252000000,,47831000000,53623000000,46926000000,49464000000,54610000000,54339000000,51646000000,43721000000,46638000000,46805000000,55453000000,60562000000,53993000000,57007000000,52833000000,67359000000,81974000000,72647000000,76547000000,76743000000,74022000000,75678000000,71504000000,67625000000,67214000000,68414000000,66823000000
NetDebtEBITDA,-17520,1560,-360,-120,,2370,2240,1110,,3140,2470,2960,,3790,5130,4770,,4270,3940,3930,,3150,3510,3110,3040,3460,3250,2940,2490,2690,2750,3190,3630,3150,3300,3210,3750,4600,3990,4210,4370,4370,4800,5080,5060,6090,6230,5800
DebtFin,-108000000,358000000,41000000,-1203000000,,-4270000000,-3158000000,402000000,,5888000000,8446000000,13247000000,,17607000000,16783000000,24067000000,,24027000000,24443000000,25349000000,,19952000000,23291000000,16665000000,22354000000,17207000000,17551000000,21718000000,19130000000,27305000000,27654000000,27686000000,29842000000,31306000000,32855000000,31711000000,38645000000,42001000000,41062000000,42220000000,40016000000,36504000000,38867000000,33879000000,35247000000,33906000000,33338000000,31322000000
DebtFinEBITDA,660,120,10,-390,,-810,-500,50,,570,690,1160,,1630,1700,2220,,1850,1780,1770,,1310,1520,1100,1370,1090,1050,1240,1090,1580,1620,1590,1790,1830,1900,1930,2150,2360,2250,2320,2280,2160,2470,2410,2640,3070,3040,2720
SP1,-160,4200,2840,2700,,1170,1180,1180,,680,720,710,,740,740,670,,680,710,660,,790,700,760,760,810,860,880,920,930,910,790,800,890,900,920,880,830,830,860,880,900,910,860,930,870,880,910
SP2,490,4240,2870,2720,,1200,1200,1220,,750,740,830,,840,850,900,,860,890,850,,890,870,810,870,940,960,1030,1150,1180,1150,1070,1140,1150,1190,1210,1140,1210,1200,1190,1160,1250,1320,1180,1080,1130,1430,1510
CAR,50,40,50,130,,380,210,290,,70,40,160,,70,50,40,,50,30,20,,60,50,70,50,90,70,60,210,120,80,70,70,60,110,160,210,70,90,20,80,110,40,60,30,20,40,60
QR,560,3620,1990,1820,,1130,1070,1180,,710,670,630,,710,700,810,,770,810,720,,820,770,680,730,870,910,1010,1200,1340,1260,1170,1360,1070,1450,1520,1220,1420,1490,1410,1280,1510,1800,1370,1080,1080,1480,1600
CR,740,3650,2340,1960,,1190,1190,1350,,760,730,750,,810,850,860,,820,860,790,,860,820,720,780,910,940,1040,1240,1410,1310,1190,1380,1090,1470,1540,1240,1450,1520,1440,1310,1560,1860,1440,1140,1130,1550,1670
PP,50,40,1140,1040,,410,380,420,,90,60,160,,70,50,40,,60,50,20,,200,100,80,60,90,90,160,350,120,210,80,70,60,110,170,210,70,90,20,80,110,40,60,30,20,40,60
