,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200,52200
ShareAmountCurrent,18227062000,18227062000,18227062000,18227062000,18227062000,22104427000,22104427000,22104427000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000,24424613000
WKCurrent,84800,95960,86910,89570,84490,70890,71170,70630,66220,65860,60690,61430,62620,63670,63550,66430,65000,66000,63790,64190,66990,62620,63430,64950
CWKCurrent,620,540,600,580,620,740,730,740,790,790,860,850,830,820,820,790,800,790,820,810,780,830,820,800
WKGrahamCurrent,-37460,-38410,-43980,-46810,-50600,-40890,-40440,-40490,-34140,-37690,-38660,-40800,-41230,-42990,-42610,-43500,-43660,-47640,-44460,-43610,-44810,-47800,-47310,-48300
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,297380,338170,285970,287790,288000,227840,233080,233960,212200,216680,210000,206250,210180,216070,215090,219350,220420,228820,229190,230070,229700,221110,225280,225290
CPCurrent,180,150,180,180,180,230,220,220,250,240,250,250,250,240,240,240,240,230,230,230,230,240,230,230
ZCurrent,4330,2170,10,-2350,-2790,-4730,-3790,-2710,-520,180,-370,-1540,-2110,-1430,-950,140,930,1450,1690,1830,1500,170,260,-530
CZCurrent,12060,24030,4475600,,,,,,,293550,,,,,,372990,56010,36050,30820,28550,34740,315460,200570,
ZOCurrent,12260,10580,10080,8920,10570,6820,7770,7910,7560,7420,6300,5520,4690,6010,6390,7120,6820,7280,7390,6750,6690,3700,3740,2930
CZOCurrent,4260,4930,5180,5850,4940,7660,6720,6600,6910,7030,8280,9450,11130,8690,8170,7330,7650,7170,7060,7730,7800,14090,13970,17840
EVCurrent,128949,134630,131039,146180,148710,117380,124020,126260,116100,107520,116750,120260,119770,110580,122020,127540,124430,114740,123290,124380,126430,113940,123520,126680
EVPCurrent,430,400,460,510,520,520,530,540,550,500,560,580,570,510,570,580,560,500,540,540,550,520,550,560
EVEBITCurrent,10520,12720,13010,16379,14060,17220,15960,15960,15360,14490,18520,21780,25540,18400,19090,17920,18240,15760,16670,18430,18890,30750,33050,43300
EVEBITDACurrent,5460,5920,6360,7670,7250,7970,7840,7980,7850,7200,8480,9130,9600,7910,8480,8360,8270,7260,7730,8039,7950,8740,9130,9690
DTAR,700,680,670,680,690,670,660,680,660,660,670,680,690,670,670,680,680,670,680,690,680,680,690,700
CG,2370,2160,2060,2140,2260,2020,1990,2100,1980,1910,2080,2190,2210,2009,2050,2090,2170,2080,2120,2210,2170,2110,2220,2320
LDER,910,970,910,910,820,740,730,770,830,920,910,1030,980,950,920,960,950,960,970,990,1010,1000,1010,990
PZAT,1070,970,1030,1080,1250,1380,1380,1310,1150,1080,1120,1010,1060,1110,1130,1050,1080,1090,1060,1020,1000,1040,1010,1020
PELDR,1320,1400,1310,1260,1140,1110,1100,1120,1210,1220,1170,1220,1190,1160,1150,1180,1160,1140,1160,1180,1200,1130,1150,1140
TSF,570,620,620,610,560,570,570,570,610,660,620,640,610,640,630,640,610,640,630,620,630,640,620,600
ZKO,1230,1230,1330,1320,1360,1400,1400,1370,1350,1430,1440,1440,1420,1510,1490,1460,1450,1530,1490,1440,1440,1570,1510,1470
OSF,850,870,910,870,850,890,890,870,890,910,880,860,860,900,890,880,860,890,880,860,860,890,860,840
NetDebt,794928000000,709902000000,712902000000,744564000000,768370000000,707905000000,708823000000,744274000000,724874000000,665588000000,712776000000,734318000000,756148000000,685232000000,708165000000,733917000000,765715000000,713310000000,750465000000,775732000000,792398000000,741676000000,792387000000,806022000000
NetDebtEBITDA,7310,7560,7760,9280,8660,9020,8460,8850,8380,7780,8660,9580,10520,8560,8600,8720,8990,8180,8130,8680,8790,9710,10090,11010
DebtFin,353217000000,340171000000,351515000000,395699000000,417229000000,347395000000,380563000000,393419000000,373772000000,317000000000,385570000000,396299000000,389339000000,334592000000,399529000000,415818000000,409155000000,345272000000,411473000000,417122000000,420760000000,361521000000,413900000000,417057000000
DebtFinEBITDA,3250,3620,3820,4930,4710,4430,4540,4680,4320,3710,4690,5170,5420,4180,4850,4940,4800,3960,4460,4670,4670,4730,5270,5700
SP1,690,710,680,660,630,640,640,630,660,630,610,600,600,590,600,600,600,580,590,590,600,570,570,570
SP2,1320,1400,1310,1260,1140,1110,1100,1120,1210,1220,1170,1220,1190,1160,1150,1180,1160,1140,1160,1180,1200,1130,1150,1140
CAR,230,310,190,130,110,120,90,90,100,150,100,120,90,80,50,50,50,90,50,70,50,60,40,60
QR,870,960,800,740,680,640,630,640,710,770,680,720,700,670,640,680,670,660,650,670,710,670,650,620
CR,1320,1480,1360,1320,1150,1130,1130,1150,1270,1350,1240,1320,1260,1260,1230,1280,1230,1210,1240,1260,1290,1210,1220,1190
PP,230,310,190,130,110,120,90,90,100,150,100,120,90,120,90,80,70,110,80,100,70,80,60,80
RCLR,540,550,500,490,450,430,440,460,510,500,460,490,490,420,440,470,470,420,450,460,500,450,450,420
KP,140,180,130,120,70,50,50,60,110,120,90,110,100,90,80,100,90,80,90,100,110,70,80,70
PKKO,-3520,-4520,-3370,-3440,-1890,-1450,-1410,-1730,-2890,-3080,-2250,-2950,-2550,-2170,-2009,-2530,-2200,-1860,-2040,-2310,-2470,-1560,-1740,-1590
RN,4420,5430,5060,5010,5400,5340,5600,5610,5660,5810,6000,5920,6030,6340,6430,6410,6690,6720,6930,6810,6590,6440,6420,6240
CRN,83000,67000,72000,73000,68000,68000,65000,65000,64000,63000,61000,62000,61000,58000,57000,57000,55000,54000,53000,54000,55000,57000,57000,59000
CPZ,152000,123000,132000,139000,139000,146000,144000,146000,140000,132000,127000,126000,125000,123000,123000,125000,121000,121000,116000,119000,121000,122000,122000,129000
RZ,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,,,,,,,
RMO,1820,2009,2060,1960,2040,2029,2150,2190,2230,2270,2310,2240,2270,2340,2350,2340,2420,2440,2530,2490,2410,2400,2400,2310
RMT,2430,2510,2270,2140,2170,2090,2110,2110,2100,2100,2120,2020,2029,2060,2029,1990,2040,2050,2140,2130,2070,2040,2050,1970
RM,1040,1110,1070,1010,1040,1020,1060,1070,1080,1090,1100,1060,1070,1090,1090,1070,1110,1110,1160,1150,1110,1100,1110,1060
COP,,,,,,,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,,,,,,,
