,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
ShareAmountCurrent,43338015000,43338015000,43338015000,43338015000,43338015000,43338015000,43338015000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000,44786917000
WKCurrent,56320,67260,72510,74260,77600,79530,80810,76650,78860,74390,75460,77620,79250,74440,72980,71020,70640,72800,71990,72910,73880,74460,75280,76120
CWKCurrent,710,590,550,540,520,500,500,520,510,540,530,520,500,540,550,560,570,550,560,550,540,540,530,530
WKGrahamCurrent,-22330,-19410,-19370,-16410,-15760,-12890,-11840,-13490,-12170,-19580,-19900,-38200,-36210,-37730,-40070,-41330,-41010,-37960,-36330,-35910,-35290,-36010,-35390,-35050
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,109200,127610,119050,113500,111230,108860,108170,101100,97470,94160,91300,90520,93470,97430,100420,101630,99190,97620,99060,100820,103050,104780,107400,110150
CPCurrent,370,310,340,350,360,370,370,400,410,420,440,440,430,410,400,390,400,410,400,400,390,380,370,360
ZCurrent,730,9490,6180,4800,220,1710,2930,2780,6800,1700,920,2500,1720,680,-1300,-7320,-8880,-2990,-1540,1810,2660,1820,2650,3390
CZCurrent,54880,4210,6480,8320,179550,23410,13630,14400,5880,23580,43360,16010,23310,59160,,,,,,22160,15030,21930,15090,11800
ZOCurrent,640,9640,7940,6740,1180,2540,3750,3410,8370,2700,1890,2970,2500,1250,-850,-7120,-9000,-2950,-1500,2400,3500,3460,4800,5440
CZOCurrent,62390,4150,5040,5930,33940,15730,10660,11720,4780,14810,21120,13490,16000,32040,,,,,,16670,11430,11560,8330,7360
