,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280
ShareAmountCurrent,33690496000,33690496000,33690496000,33690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,41690496000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,72862932000,75362932000,75362932000,75362932000,75362932000,75362932000,75362932000,75362932000
WKCurrent,540,610,790,820,0,1720,2210,2250,0,2240,2230,2240,0,2240,2120,2000,0,1690,1690,1650,0,1640,1680,1950,1980,2009,2009,1990,1920,1950,2029,1970,1980,1970,1970,2029,2029,2029,2029,2000,2029,2270,2360,2390,2440,2500,2520,2470
CWKCurrent,6070,5380,4150,4000,,1910,1480,1460,,1460,1470,1460,,1470,1550,1640,,1940,1940,1990,,2000,1950,1680,1660,1630,1630,1640,1700,1680,1610,1660,1650,1660,1660,1620,1620,1610,1620,1640,1620,1440,1390,1370,1350,1310,1300,1330
WKGrahamCurrent,-40,70,-230,-240,0,880,300,230,0,130,110,50,0,-150,-260,-280,0,-380,-370,-390,0,-470,-420,-920,-860,-820,-820,-870,-960,-1040,-930,-880,-860,-950,-960,-900,-930,-840,-830,-1170,-1230,-800,-900,-1390,-1160,-1070,-1080,-870
CWKGrahamCurrent,,47260,,,,3720,10770,14370,,25810,29960,66410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,1130,1260,1530,1720,1380,1450,1580,1790,1950,2240,2260,1940,1710,1530,1330,1390,1500,1370,1440,1390,1310,1340,1370,990,1090,1150,1150,1030,980,890,920,970,1060,1250,1250,1300,1260,1350,1360,1370,1450,1420,1760,2280,2910,3460,3880,4200
CPCurrent,2900,2600,2150,1910,2370,2270,2080,1830,1680,1470,1450,1690,1920,2150,2460,2360,2180,2400,2280,2360,2500,2460,2400,3300,3000,2860,2860,3170,3360,3690,3580,3360,3090,2630,2620,2520,2600,2430,2410,2400,2260,2320,1860,1440,1130,950,840,780
ZCurrent,-20,70,30,10,70,100,580,600,590,520,30,0,-60,0,-100,-220,-360,-560,-440,-370,-280,-50,-10,90,140,160,140,60,-30,-40,-20,20,90,40,20,10,0,30,-10,-20,0,240,150,250,270,80,250,140
CZCurrent,,46800,100370,299470,46880,34220,5680,5480,5520,6310,124770,,,731260,,,,,,,,,,37800,23060,20810,23510,57340,,,,196050,35080,84090,166200,255060,,104140,,,1719360,13580,22540,13380,12140,39870,13330,23470
ZOCurrent,-30,60,60,20,80,50,60,80,110,470,610,530,410,50,-240,-250,-580,-650,-540,-480,-110,0,50,50,60,130,120,110,40,-10,-150,-120,-20,-70,90,100,80,160,120,110,140,120,120,140,180,200,280,330
CZOCurrent,,54490,52970,160620,41950,62040,57800,39900,28840,6920,5380,6230,7990,61380,,,,,,,,663810,69200,61930,53850,25100,26360,29790,86870,,,,,,37750,32650,40540,20150,27650,29310,23460,28290,26330,23900,18110,16470,11570,9820
EVCurrent,3280,3280,3280,3910,3280,3270,3350,3360,3280,3730,3670,3560,3280,3740,3780,3740,3280,3880,3800,3810,3280,3910,3850,4030,4010,3900,3960,4010,4000,4130,4200,4270,4270,4320,4280,4340,4360,4460,4390,4440,4580,4460,4460,4880,4920,4910,4740,4720
EVPCurrent,2900,2600,2150,2280,2370,2260,2120,1880,1680,1670,1630,1840,1920,2450,2830,2690,2180,2840,2640,2750,2500,2930,2810,4059,3670,3400,3450,3870,4100,4650,4580,4380,4019,3470,3420,3330,3450,3300,3220,3250,3150,3150,2530,2140,1690,1420,1220,1120
EVEBITCurrent,-100460,54550,52970,191240,41950,61810,58980,40920,28840,7870,6010,6770,7990,70010,-15900,-14880,-5680,-5930,-7100,-7880,-29500,790580,81170,76140,65840,29870,31820,36380,106070,-374170,-28750,-36990,-193590,-63960,49250,43190,53870,27390,36980,39660,32720,38430,35820,35550,27180,24660,16730,14130
EVEBITDACurrent,373330,33720,29650,54040,27550,33000,26260,20330,15950,7870,6090,6870,8090,70010,-16090,-18050,-6500,-5930,-7030,-7200,-17670,38800,27200,32650,28340,16690,16460,18110,26360,43700,-96240,-346250,62600,153050,23610,22990,24690,18170,21990,23250,20960,22650,20530,20110,16750,15370,11810,10580
DTAR,500,460,600,630,,380,360,370,,430,430,380,,430,440,420,,440,410,370,,420,410,410,410,370,390,390,400,400,470,410,420,450,450,450,480,470,460,470,480,430,480,530,550,530,520,530
CG,980,850,1470,1670,,600,570,600,,760,760,620,,760,780,730,,790,700,600,,710,690,710,690,590,640,650,680,680,890,700,720,830,810,810,910,890,850,890,930,990,1090,1280,1400,1280,1210,1290
LDER,,10,830,810,,300,280,330,,280,300,300,,280,280,270,,300,190,280,,280,260,420,400,380,380,390,430,450,400,430,420,460,450,520,650,620,590,470,470,510,560,600,670,610,590,510
PZAT,,142590,1500,1530,,1560,3050,2670,,3230,3050,3110,,3450,3560,3790,,3790,5860,4140,,4270,4440,3370,3430,3540,3480,3510,3380,3290,3510,3200,3330,3020,3100,2620,2110,2150,2270,2940,2900,3050,2640,2520,2240,2380,2480,2710
PELDR,,1170,1420,1410,,2680,1480,1480,,1360,1370,1330,,1200,1140,1120,,1070,980,1040,,990,1010,970,990,990,1000,980,970,960,980,1010,1000,990,980,1060,1140,1150,1140,940,930,920,1000,1030,1110,1100,1070,1100
TSF,,540,740,680,,810,820,830,,730,740,800,,730,720,730,,720,700,800,,750,750,830,830,870,850,840,850,870,740,840,820,800,800,840,860,860,860,780,770,660,680,660,660,670,680,630
ZKO,1070,880,1250,1210,,540,800,850,,930,940,970,,1100,1190,1230,,1390,1460,1650,,1690,1580,2990,2720,3170,2760,3060,3780,4610,2070,2710,2480,2390,2520,2220,2020,1870,1920,2910,2890,1550,1540,1830,1520,1500,1540,1380
OSF,1010,1000,970,940,,1110,930,950,,990,990,990,,1030,1060,1080,,1140,1200,1340,,1320,1270,2029,1920,2280,1990,2160,2560,3050,1430,1890,1740,1610,1700,1540,1380,1320,1360,1830,1800,940,970,1140,950,970,990,930
NetDebt,16857000000,16860000000,39182000000,45266000000,,21220000000,31244000000,36602000000,,54826000000,51800000000,39387000000,,55380000000,57202000000,52120000000,,49128000000,41152000000,36895000000,,46787000000,45685000000,98859000000,96818000000,83998000000,90407000000,89719000000,88600000000,94696000000,115395000000,99060000000,103388000000,116541000000,114033000000,113633000000,114130000000,110751000000,100369000000,126181000000,134194000000,157392000000,170042000000,222046000000,239665000000,227878000000,211169000000,223272000000
NetDebtEBITDA,56950,5140,10510,18590,,5140,5880,5310,,2780,2060,1820,,24860,-5840,-6040,,-1800,-1830,-1670,,11150,7750,10990,9390,4930,5160,5570,8000,13760,-36320,-110310,20790,56630,8630,8260,8870,6190,6910,9070,8440,10620,10380,12140,10820,9460,6980,6640
DebtFin,,116000000,-11000000,21071000000,,-509000000,2790000000,3478000000,,18651000000,16157000000,11815000000,,19243000000,20778000000,19044000000,,24929000000,21810000000,22119000000,,26114000000,23642000000,54831000000,53189000000,45410000000,49438000000,52889000000,52821000000,61846000000,66778000000,71940000000,72297000000,75995000000,72814000000,77146000000,78602000000,85903000000,80631000000,84392000000,94355000000,88617000000,89086000000,120458000000,123761000000,122915000000,110177000000,108432000000
DebtFinEBITDA,,40,0,8650,,-120,530,500,,940,640,550,,8640,-2120,-2210,,-910,-970,-1000,,6220,4010,6090,5160,2670,2820,3280,4770,8980,-21020,-80110,14540,36930,5510,5610,6110,4810,5550,6070,5930,5980,5440,6590,5590,5110,3640,3230
SP1,940,1130,770,780,,2060,1160,1110,,1060,1050,1020,,940,890,880,,820,820,810,,780,800,680,710,720,720,710,680,660,690,700,700,680,670,690,690,710,710,630,620,610,630,620,630,650,640,680
SP2,940,1130,1410,1410,,2680,1480,1480,,1360,1370,1330,,1200,1140,1120,,1070,980,1040,,990,1010,970,990,990,1000,980,970,960,970,1000,990,990,980,1050,1130,1150,1130,930,920,910,990,990,1050,1040,1020,1020
CAR,,,0,0,,900,710,690,,360,440,620,,320,240,230,,190,220,190,,60,50,30,40,90,70,120,190,50,220,50,30,50,20,120,490,300,310,60,40,140,250,50,80,70,120,90
QR,650,850,1390,1310,,3370,2080,2310,,1580,1620,1790,,1230,1110,1030,,1000,810,910,,830,820,750,760,750,810,730,620,530,810,700,680,660,540,680,990,1140,1070,330,330,660,650,450,620,510,510,540
CR,930,1140,1830,1610,,3700,2440,2640,,1710,1760,1980,,1440,1310,1290,,1150,950,1130,,970,1020,820,870,870,910,820,720,660,890,960,950,940,890,1250,1730,1790,1700,730,710,1320,1340,1030,1270,1280,1260,1210
PP,60,40,0,40,,1010,790,770,,360,440,620,,340,270,230,,190,230,200,,60,80,40,60,90,80,120,190,60,220,60,30,60,40,140,520,540,660,60,40,150,260,70,130,110,160,110
