,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740,740
ShareAmountCurrent,1130000000000,1130000000000,1130000000000,1130000000000,1130000000000,1130000000000,1130000000000,1130000000000,1130000000000,1130000000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000,113500000000
WKCurrent,10,10,0,10,10,10,10,10,10,10,140,140,140,140,140,140,160,0,170,160,170,160,170
CWKCurrent,65160,66050,,64349,73060,72320,73490,71660,53010,53310,5360,5220,5350,5450,5390,5290,4620,,4360,4650,4410,4500,4380
WKGrahamCurrent,0,0,0,0,0,0,0,0,0,0,10,20,10,10,10,10,20,0,30,20,20,40,40
CWKGrahamCurrent,,,,,,,,,634930,636380,62730,45180,55000,65360,55000,54570,36640,,25150,40360,29920,20240,18460
PCurrent,10,10,20,20,20,20,20,20,20,20,180,180,190,190,200,210,240,270,300,320,320,360,480
CPCurrent,65910,55630,49270,42530,43740,42430,41020,39730,39070,40930,4200,4140,3970,3910,3730,3530,3020,2700,2450,2320,2320,2029,1550
ZCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,20,10,0,0
CZCurrent,603540,926080,1353000,1328290,,,,,2541640,2778070,280900,200450,,,,,74920,46820,35600,35320,97440,164690,274480
ZOCurrent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,30,20,10,10
CZOCurrent,388210,526780,759700,733880,,,,,3455370,,756670,223970,1090780,,345640,1787020,64110,37680,29590,28570,47350,82590,85970
EVCurrent,740,740,740,740,740,740,740,740,740,740,750,740,750,730,750,740,750,740,760,750,790,790,840
EVPCurrent,66200,55830,49270,42680,43940,42580,41170,39860,39120,40930,4270,4130,4019,3880,3780,3510,3050,2700,2530,2340,2470,2170,1760
EVEBITCurrent,389940,528640,759700,736480,-658320,-851550,-585670,-661630,3459770,-26133970,768730,223400,1102840,-1985290,350880,1777550,64790,37680,30510,28760,50560,88190,97390
EVEBITDACurrent,272490,298910,322110,369770,-6412370,5024440,-3232050,-10486830,564190,756820,74260,63230,97610,110000,81990,100540,40950,28330,24310,23190,36930,52510,56840
DTAR,310,320,,290,340,350,360,350,190,200,210,230,200,220,230,250,310,,280,300,340,460,520
CG,450,470,,400,510,530,570,540,240,240,270,290,250,280,290,330,450,,390,440,510,960,1240
LDER,250,360,,250,280,270,270,260,50,40,40,30,20,20,10,10,40,,90,70,80,140,120
PZAT,4050,2890,,4180,4130,4170,4160,4190,15670,18190,19780,24160,35370,43900,52820,71720,19140,,7850,11200,8740,5850,6290
PELDR,1210,1300,,1200,1100,1130,1130,1160,1150,1140,1140,1170,1130,1110,1120,1120,1190,,1320,1210,1270,1240,1250
TSF,870,930,,890,850,830,810,820,850,840,820,800,820,800,780,760,710,,780,740,710,540,470
ZKO,1090,1100,,1110,1470,1310,1260,1190,740,740,760,720,720,770,750,780,780,,690,790,780,810,840
OSF,1050,1060,,1070,1260,1160,1130,1100,810,810,830,810,800,840,830,860,900,,840,890,910,880,930
NetDebt,5446650000,5781230000,,4592000000,5271000000,5663000000,6018000000,5669000000,2737000000,2613000000,2767000000,3243000000,2757000000,3046000000,3925000000,4380000000,7416000000,,6890000000,7461000000,9078000000,16962000000,23514000000
NetDebtEBITDA,1770,2060,,2020,-40240,33910,-23180,-70860,1840,2360,2410,2450,3170,4019,3770,5270,3580,,1930,2050,3740,9930,14050
DebtFin,3727100000,2964970000,,2969000000,3821000000,2931000000,2907000000,2746000000,1065000000,87000000,1339000000,-214000000,929000000,-608000000,1275000000,-445000000,890000000,,2588000000,568000000,5702000000,5703000000,11158000000
DebtFinEBITDA,1210,1060,,1310,-29170,17550,-11200,-34330,720,80,1170,-160,1070,-800,1230,-540,430,,730,160,2350,3340,6670
SP1,970,960,,960,860,890,890,920,1090,1090,1090,1130,1110,1090,1110,1110,1140,,1210,1130,1170,1090,1100
SP2,1210,1300,,1200,1100,1130,1130,1160,1150,1140,1140,1170,1130,1110,1120,1120,1190,,1310,1210,1270,1230,1240
CAR,120,90,,110,60,50,30,70,90,170,150,140,190,190,40,90,40,,70,40,30,40,10
QR,1510,2760,,1490,800,850,890,990,1060,960,990,1110,1110,910,960,1000,1140,,1560,1200,1350,1190,1170
CR,2130,3960,,2350,1520,1540,1490,1610,1710,1630,1540,1570,1520,1390,1400,1330,1390,,1860,1500,1530,1430,1320
PP,120,90,,310,200,170,130,180,340,380,400,340,320,310,150,180,110,,100,60,80,70,10
RCLR,1140,2170,,1010,480,550,650,700,690,510,530,730,780,500,660,730,1030,,1480,870,1280,1130,1160
KP,150,220,,150,80,90,90,110,110,100,100,110,100,80,90,80,110,,190,130,150,170,150
PKKO,-3020,-1430,,260,90,90,70,120,130,130,130,160,120,100,100,90,140,,190,120,150,190,150
RN,5910,5790,6610,7590,9270,11930,11340,11290,10360,9990,10170,9400,9050,8820,8430,8350,6750,6450,5090,4880,4360,3900,3700
CRN,62000,63000,55000,48000,39000,31000,32000,32000,35000,37000,36000,39000,40000,41000,43000,44000,54000,57000,72000,75000,84000,94000,99000
CPZ,64000,55000,51000,36000,38000,47000,50000,54000,54000,57000,59000,62000,62000,65000,65000,65000,69000,67000,66000,67000,69000,80000,87000
RZ,,-970,-2170,7040,9150,10370,12550,8740,8590,8260,8020,8109,8900,9450,9960,11020,12080,13310,15430,15610,17930,16320,18790
CRZ,,-375000,-168000,52000,40000,35000,29000,42000,42000,44000,46000,45000,41000,39000,37000,33000,30000,27000,24000,23000,20000,22000,19000
RMO,2850,3070,3370,3850,4100,4420,4410,4420,4250,3980,3810,3650,3740,3730,3820,3970,3830,3970,3640,3470,3260,2980,2970
RMT,1100,1210,1300,1470,1430,1480,1550,1630,1620,1510,1430,1420,1480,1510,1590,1680,1900,2110,2230,2270,2260,2530,3250
RM,790,870,940,1070,1060,1110,1150,1190,1170,1090,1040,1020,1060,1080,1120,1180,1270,1380,1380,1370,1330,1370,1550
COP,,-312000,-113000,100000,79000,66000,61000,74000,77000,81000,82000,84000,81000,80000,80000,77000,84000,84000,96000,98000,104000,116000,118000
CSP,,-367000,-164000,64000,41000,19000,11000,20000,23000,24000,23000,22000,19000,15000,15000,12000,15000,17000,30000,31000,35000,36000,31000
