,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_qq,,,,,-3.98,-5.27,-4.77,-22.25,-4.11,-1.68,-2.28,-5.05,-6.13,-8.93,-14.59,-13.73,4.55,-7.14,-7.02,-5.40,-3.04,-4.31,-5.33,0.43,-0.43,16.02,4.85,-1.78,-11.23,-0.41,-0.82,
CPCurrent_sq,,,,,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-1.85,131.99,,,37.12,,71.74,31.42,14.48,17.22,-8.38,19.48,29.98,45.12,54.59,13.62,0.98,-20.52,-29.16,-5.75,-23.88,-44.33,-34.66,-47.04,-91.25,-62.13,-478.27,-574.35,-4087.06,-1442.54,34.48
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,11.63,17.82,6.50,22.61,-14.58,2.63,9.04,-4.17,11.40,11.65,21.74,2.08,-18.12,-0.77,-4.18,-9.01,8.93,-19.86,-29.92,6.79,-11.72,-86.76,203.50,-1166.61,-10.71,-11.25,-2.20,47.95
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,1.87,-56.89,,,-27.08,,-41.76,-23.91,-12.64,-14.69,9.16,-16.30,-23.07,-31.10,-35.32,-11.99,-0.97,25.84,41.17,6.09,31.37,79.60,53.02,88.82,1042.29,164.03,,,,,
CZCurrent_sy,,1.61,21.48,,,11.26,,53.22,22.04,-29.58,-26.54,-19.73,-8.72,-8.94,0.29,9.50,-0.44,-0.65,-37.68,-4.97,-8.97,0.04,6.85,-16.93,-1.37,-1.13,20.85,,,,,
CZCurrent_qq,,,,,-10.40,-15.13,-6.10,-18.45,17.07,-2.55,-8.30,4.35,-10.24,-10.44,-17.86,-2.04,22.14,0.77,4.38,9.90,-8.21,24.77,42.69,-6.36,13.26,654.82,-67.02,,,,,
CZCurrent_sq,,,,,13.79,80.70,-4.17,-22.24,-9.37,4.26,-0.03,-15.02,3.05,4.02,10.10,-7.22,-6.30,3.80,-30.94,41.48,-10.24,14.07,-26.24,10.00,6.56,14.35,-9.84,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-17.24,132.28,,,18.41,,49.95,48.24,52.78,48.62,14.96,19.43,22.83,36.10,54.55,35.19,36.95,19.36,5.30,19.11,2.58,2.88,-13.96,-26.17,-89.77,-103.85,-105.97,-78.21,-54.31,214.00,-410.31
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,2.91,5.48,6.56,29.63,1.74,8.71,3.66,0.27,5.69,11.81,14.86,13.87,-7.55,13.26,0.11,0.45,4.58,-2.46,0.40,-15.99,-10.26,-86.49,-137.76,-30.39,427.54,-71.67,-5.78,-683.68
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,20.82,-56.95,,,-15.53,,-33.31,-32.55,-34.54,-32.71,-13.01,-16.27,-18.60,-26.52,-35.30,-26.03,-26.97,-16.24,-5.04,-16.05,-2.52,-2.80,16.23,35.46,878.01,,,358.87,118.78,,
CZOCurrent_sy,,-34.82,39.45,,,-30.07,,-26.52,111.12,11.56,32.27,57.11,-23.18,-9.27,-13.85,-34.70,-57.16,-22.07,-33.54,-25.01,-11.36,5.24,-26.83,13.94,3.72,-22.33,,,-6.50,39.02,,
CZOCurrent_qq,,,,,-2.82,-5.19,-6.17,-22.85,-1.71,-8.00,-3.53,-0.27,-5.39,-10.56,-12.92,-12.18,8.16,-11.71,-0.12,-0.45,-4.38,2.52,-0.40,19.04,11.44,640.21,,,,252.91,6.10,
CZOCurrent_sq,,,,,-8.86,2.18,-12.24,-10.09,161.88,-46.01,4.05,6.79,28.04,-36.23,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,-0.72,37.74,-41.42,42.24,-9.64,3.15,,,,53.36,1.28,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-8.15,14.42,,,21.76,,48.88,,28.18,-35.82,-7.36,237.63,-40.68,209.08,20.20,-25.33,-22.91,-43.31,3.51,66.09,285.68,161.13,33.49,-7.29,-25.11,,8.37,26.38,62.04,24.84,24.01
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-43.17,91.89,-24.70,81.30,-61.83,145.96,-62.30,161.71,39.11,-56.78,96.44,1.77,-13.58,-55.38,44.46,85.82,38.67,3.61,-2.19,-5.01,-3.69,-16.31,30.61,2.95,12.31,7.30,0.62,2.27
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
