,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,,-5.99,14.73,12.83,18.85,7.30,-7.95,-5.51,-14.30,1.28,-5.17,-20.86,-31.10,-41.63,-25.52,-27.45,-49.81,-37.75,35.63,-7.88,-23.72,150.61,41.00,58.97,44.24,7.48,11.82,2.93,-5.56,2.59,6.40,-3.20,-48.06,-1.28,-0.39
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,35.00,-42.52,83.85,,,,-30.89,-39.41,-24.50,-9.84,25.08,32.41,28.57,53.50,90.92,231.38,321.81,360.25,531.68,492.07,225.18,156.13,68.58,-58.12,-59.72,-76.66,-87.66,-71.22,-63.71,-43.96,-14.41,-10.33,-5.75,0.21,82.20,89.33,102.25
CPCurrent_sy,,-17.05,-19.38,21.43,,,,-5.62,-10.99,-24.33,-26.59,-24.86,-24.96,-10.96,1.87,32.02,50.99,61.96,54.27,4.13,-22.94,-37.93,-39.84,-36.24,-23.27,-18.07,-14.81,-5.87,-9.11,-4.50,-3.97,51.22,79.88,83.42,98.79,-2.79,15.55,-24.27
CPCurrent_qq,,,,,6.36,-12.83,-11.39,-15.87,-6.76,8.63,5.81,16.72,-1.30,5.48,26.32,45.17,71.32,34.26,37.84,99.24,60.58,-26.26,8.57,31.14,-60.11,-29.09,-37.10,-30.66,-6.96,-10.58,-2.85,5.89,-2.52,-6.02,3.30,92.52,1.30,0.40
CPCurrent_sq,,,,,2.65,1.90,-5.21,-4.80,-3.20,-13.37,-8.04,-2.56,-3.33,2.79,5.20,26.29,10.56,10.26,0.20,-14.76,-18.18,-11.19,-2.88,-9.67,-1.52,-5.17,0.99,-0.18,-4.92,-0.35,1.55,57.18,13.10,1.61,10.06,-23.14,34.43,-33.41
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-64.01,189.13,-106.69,,,,327.42,79.38,-1028.99,-1566.48,-1980.76,-2200.40,-320.74,-197.95,39.08,42.23,72.58,52.99,77.87,92.88,70.66,92.05,123.82,143.34,220.86,451.48,515.93,1790.71,357.21,318.90,150.28,33.76,-4.74,-36.40,-61.34,-66.77,-56.10
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,215.51,-2.40,-13.51,133.24,-8.89,-605.48,-36.52,-199.13,-1.75,-1.25,3.32,38.84,3.50,51.94,-65.75,71.20,68.97,-98.14,55.08,186.26,-43.55,452.50,30.64,51.16,73.29,33.60,19.69,-9.69,-7.39,-4.84,-20.09,-45.10,-20.40,25.71
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,177.77,-65.41,,,,,,-44.29,,,,,,,,,,,,,,,,,,,-83.77,-94.72,-78.13,-76.13,-60.04,-25.24,4.96,57.25,158.68,200.97,127.77
CZCurrent_sy,,-26.22,-15.90,,,,,,40.04,,,,,,,,,,,,,,,,,,,-43.96,-47.91,-21.88,-40.95,19.60,19.46,43.15,101.71,19.08,-5.82,-19.59
CZCurrent_qq,,,,,,2.30,15.83,-57.15,9.73,,,,,,,,,,,,,,,,77.30,-81.91,-23.47,-33.86,-42.28,-25.16,-16.46,10.73,7.98,5.08,25.15,82.16,25.64,-20.48
CZCurrent_sq,,,,,,2.48,19.91,28.68,-11.45,,,,,,,,,,,,,,,,3.61,-25.63,-9.25,-19.86,-3.70,11.53,-31.39,62.32,-3.82,33.65,-3.33,-4.18,-23.93,14.11
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-54.64,116.34,-83.32,,,,112.75,82.18,-143.03,-250.84,-563.50,-524.70,-1531.91,-365.04,58.06,58.86,70.40,77.03,74.45,96.39,80.72,73.02,151.80,342.86,349.87,430.42,894.24,1902.75,591.34,470.59,45.84,5.40,-21.55,-45.97,-64.82,-71.66,-62.34
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,31.02,1.53,-3.50,65.74,12.19,-123.98,-238.30,-409.29,-2.80,7.86,3.60,54.07,-0.85,33.72,25.19,48.91,85.76,-254.29,-4.70,198.07,-33.25,264.51,38.46,195.10,34.47,25.83,14.28,-24.57,-2.82,-6.34,-21.30,-50.89,-21.71,24.45
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,120.49,-53.78,499.34,,,,-52.99,-45.12,,,,,,,,,,,,,,,,,,,-89.94,-95.01,-85.54,-82.47,-31.43,-5.13,27.46,85.06,184.28,252.92,165.56
CZOCurrent_sy,,-22.02,-34.71,18.63,,,,57.68,34.33,,,,,,,,,,,,,,,,,,,-47.59,-43.44,-41.70,-37.09,25.41,30.46,64.42,111.46,24.72,17.66,7.53
CZOCurrent_qq,,,,,-23.64,-1.54,3.66,-39.67,-10.87,,,,,,,,,,,,,,,,49.88,-72.58,-27.80,-66.11,-25.64,-20.53,-12.48,32.56,2.90,6.77,27.07,103.63,27.74,-19.66
CZOCurrent_sq,,,,,9.60,-1.53,18.51,23.27,-6.63,,,,,,,,,,,,,,,,-13.60,-1.92,-17.20,-25.31,-6.76,1.09,-10.65,48.90,-3.01,27.41,14.92,-12.18,-8.50,16.44
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,7.22,5.24,,,,-11.46,2.23,9.80,,14.65,13.65,-1.59,1008.52,-6.71,-8.72,-3.29,-8.68,-60.66,-72.31,-72.00,-71.29,19.44,82.72,85.67,110.65,22.02,7.49,21.89,2.87,-2.40,5.04,-4.94,1.84,-37.91,-38.96,-42.98
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,-10.35,-1.09,-90.12,910.77,3.51,6.24,-91.00,1058.81,2.61,-8.00,1.34,-2.47,0.39,-2.53,-4.31,-57.99,-29.34,-1.42,-1.89,74.76,8.10,0.17,11.31,1.23,-4.77,13.60,-6.06,-3.95,2.49,2.80,0.64,-41.45,0.76,-3.96
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,34.97,-38.36,93.43,,,,-38.79,-38.08,-17.09,-9.84,43.35,50.54,26.52,1601.83,78.14,202.44,308.00,320.26,148.52,63.95,-8.93,-26.46,101.33,-23.48,-25.22,-50.84,-84.94,-69.07,-55.77,-42.34,-16.46,-5.81,-10.41,2.06,13.13,15.58,15.31
EVPCurrent_sy,,-32.43,-18.10,6.65,,,,23.43,0.53,51.24,-18.16,-11.75,-2.89,-34.14,61.69,99.81,25.71,37.75,13.81,-4.64,-16.03,12.29,-11.77,-6.14,-1.08,-29.27,-37.15,-53.23,-38.13,-36.57,26.82,65.59,66.64,68.77,0.92,-20.32,-18.27,-9.08
EVPCurrent_qq,,,,,-4.64,-13.79,-91.25,750.51,-3.53,15.43,-90.48,1252.30,1.31,-2.99,28.06,41.55,71.99,30.87,31.91,-16.29,13.46,-27.31,6.51,129.17,-56.88,-28.96,-29.99,-29.81,-11.40,1.59,-8.74,1.71,-0.10,-3.37,3.96,12.73,2.06,-3.59
EVPCurrent_sq,,,,,42.45,-2.36,-11.49,0.26,16.02,46.89,-52.10,8.11,27.66,-0.38,17.60,33.60,-19.68,9.17,-2.85,11.94,-29.27,45.98,-23.67,19.08,-25.45,4.38,-32.17,-11.37,-1.39,6.99,35.63,15.71,-0.76,8.36,-18.90,-8.64,1.80,20.54
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,120.47,-50.44,530.75,,,,-58.38,-43.90,-355.20,-166.28,-124.73,-126.76,93.97,-138.39,-122.45,-121.87,-226.80,-297.71,-53.94,-667.34,-45.21,-6.33,330.72,175.33,174.34,163.78,-87.73,-94.64,-82.37,-81.97,-33.08,-0.35,21.17,88.50,76.50,115.43,51.42
EVEBITCurrent_sy,,-46.25,2.33,-12.74,,,,22.83,32.03,51.14,7.92,46.22,21.43,-8.51,14.47,-30.11,-72.70,66.05,45.05,70.64,290.61,-13.97,7.93,-5.89,1.25,1.89,10.81,-18.98,-40.29,-49.48,-58.60,-14.90,16.87,119.15,239.27,-14.42,13.20,-58.61
EVEBITCurrent_qq,,,,,-31.55,-2.62,-89.76,509.77,-7.74,-542.98,97.34,-127.56,0.19,0.16,-5.12,-112.34,0.44,-47.06,-27.92,17.81,-396.24,72.17,6.33,278.35,62.02,-72.54,-19.63,-65.69,-29.18,-9.72,-17.80,27.34,5.46,9.76,27.88,19.23,28.72,-22.85
EVEBITCurrent_sq,,,,,42.58,-8.66,-9.17,3.84,53.26,4.56,-35.14,40.69,27.28,-21.23,-18.85,-14.10,-50.29,379.21,-29.11,1.06,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27,-35.57,-9.79,-10.13,-20.74,32.43,23.89,68.53,22.70,-66.59,63.87,-38.37
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,88.71,-49.99,255.22,,,,-38.44,-30.70,418.52,-370.24,-142.34,-143.82,-105.89,-22.64,-145.29,-142.27,-300.11,-447.78,-63.90,4653.86,-48.87,8.15,232.98,-93.40,143.33,140.71,-85.15,-92.06,-79.68,-79.92,-31.09,0.70,20.83,86.27,72.38,107.17,47.86
EVEBITDACurrent_sy,,-37.20,-13.09,2.41,,,,37.32,29.52,74.94,44.31,5.08,26.73,-27.64,-3.43,-19.50,-15.34,70.33,45.71,94.06,32.28,-11.41,5.59,-14.74,2.26,-8.98,-11.64,-33.21,-39.88,-38.15,-42.42,58.79,38.46,119.01,153.46,-40.53,1.54,-32.12
EVEBITDACurrent_qq,,,,,-15.13,-0.01,-90.33,650.54,-4.47,648.13,-105.04,-17.59,1.14,-0.64,-4.82,-135.19,2.36,-66.21,-43.51,29.63,2812.97,-105.43,11.46,201.88,34.65,-64.33,-16.81,-62.83,-28.02,-8.73,-17.76,27.53,5.19,9.52,26.78,18.02,26.42,-21.83
EVEBITDACurrent_sq,,,,,29.10,-2.16,-16.03,29.48,21.76,32.15,-30.73,-5.72,46.84,-24.54,-7.56,-21.41,54.44,51.82,-20.93,4.66,5.27,1.68,-5.76,-15.49,26.27,-9.49,-8.52,-36.12,13.66,-6.88,-14.83,76.15,-0.89,47.29,-1.43,-58.67,69.22,-1.53
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,-81.43,127.52,-106.19,,,,348.62,76.06,-1164.23,,-4744.65,-5468.00,-1360.70,,-161.17,-164.06,34.08,62.61,73.65,94.39,66.15,72.83,118.58,141.00,177.82,276.86,209.25,644.17,69.91,64.33,11.43,-26.15,-40.41,-60.92,-51.50,-53.58,-86.03
ROE_sy,,36.15,-9.80,-22.76,,,,-41.20,-36.63,-35.14,,8.38,-30.94,-18.03,,-55.31,-29.44,-60.84,-64.16,8.32,6.91,87.22,103.50,45.12,33.17,9.97,43.98,16.81,42.86,-15.86,-26.45,-35.68,-42.31,12.41,13.92,26.62,68.22,8.96
ROE_qq,,,,,230.28,-3.52,,,-7.75,-683.20,,,-6.62,-58.70,-3.08,-49.75,-7.80,60.38,41.54,-5.54,77.05,-139.08,53.08,172.20,-49.38,353.87,6.62,26.24,21.81,3.63,3.12,-14.40,-19.27,-16.39,-32.36,6.24,-22.74,-74.84
ROE_sq,,,,,-6.55,-4.67,,,0.70,-2.41,,,-35.83,15.82,-11.36,-32.17,1.32,-35.72,-18.86,105.00,,12.56,-11.81,46.19,-8.24,-7.05,15.47,18.60,12.23,-45.26,0.94,3.71,0.67,6.67,2.29,15.27,33.75,-30.91
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
