,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,137.72,,-78.54,-85.67,-91.28,-88.73,405.80,398.49,164.13,55.77,-55.43,-55.43,,,206.67,251.50,,,,-98.60,-99.27,-99.27,,-21.60,85.91,62.50,85.91,455.93,13.91,-9.23,-9.39
CPCurrent_sy,,,,-16.27,,73.31,31.75,-7.92,-3.45,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,,,11.18,16.66,,,,-30.96,-25.31,-22.18,,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,52.00,38.21,-22.62,-86.80,1.47,-15.89,,492.68,,-55.43,-41.03,69.57,,,,,14.62,,,,,-47.56,,,49.51,24.35,-12.59,14.41,347.08,-74.52,-30.35,14.21
CPCurrent_sq,,,35.87,36.10,-7.08,0.85,3.29,-4.88,,-3.70,,-30.99,19.23,-5.33,,,,,7.28,,,,,-5.45,,,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,1554.88,,873.96,141.56,-17.44,-13.24,-65.45,544.89,-76.95,-40.70,-27.55,-69.15,855.07,120.68,261.32,38.38,-146.86,-162.52,-162.21,-129.88,339.76,338.33,318.92,791.50,-69.79,-69.38,-118.67,-238.66,-33.97,98.32,418.37
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-19.79,674.68,15.84,35.31,-80.11,164.78,21.73,-46.12,271.36,-90.54,213.22,-34.18,58.12,192.97,-27.63,7.78,-39.44,-199.22,3.44,-7.24,70.91,896.08,-4.02,-1.50,-8.12,-65.22,-2.72,-160.06,-582.33,116.56,192.18,-3.59
