,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_sq,,,,,,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,
ROE_yy,,507.50,-50.83,-83.33,,,-69.40,,-127.15,-126.54,85.04,633.71,496.80
ROE_sy,,-17.41,-22.44,170.10,,,-24.37,,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,,,,0.48,-75.58,-64.96,-415.73,1.78,270.29,38.94,70.75
ROE_sq,,,,,,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,
ROA_yy,,-1160.92,95.67,1335.00,,,-66.80,,-121.11,-120.97,42.68,496.08,442.36
ROA_sy,,11.40,13.39,83.33,,,-15.34,,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,,,,-3.52,-75.08,-68.90,-382.35,4.17,269.57,29.91,62.17
ROA_sq,,,,,,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,
OPM_yy,,-1093.33,116.78,-2222.00,,,202.36,,152.73,137.18,-14.00,63.10,867.59
OPM_sy,,-18.00,45.02,-13.23,,,79.03,,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,,,,-29.09,405.92,-40.61,-77.52,-8.97,607.58,12.63,33.37
OPM_sq,,,,,,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,
ROS_yy,,-1016.67,94.55,13326.67,,,-67.49,,-141.46,-131.57,38.14,377.78,254.94
ROS_sy,,-9.55,-23.66,166.07,,,7.95,,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,,,,-9.63,-68.92,-65.12,-523.11,31.20,236.03,20.65,37.21
ROS_sq,,,,,,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,
RS_yy,,-1120.00,101.63,-21180.00,,,125.71,,-149.39,-20.55,361.99,822.95,338.64
RS_sy,,-21.68,54.72,4.75,,,10.81,,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,,,,-31.98,183.13,-167.53,-236.61,36.20,418.58,5.67,11.11
RS_sq,,,,,,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,
GPM_yy,,-1116.67,95.41,-8207.14,,,149.79,,-163.41,-115.79,38.34,461.49,277.91
GPM_sy,,-42.94,8.27,107.44,,,15.58,,24.03,51.14,1.55,93.04,52.97
GPM_qq,,,,,,13.94,334.41,-72.19,-569.57,29.50,250.28,12.86,48.78
GPM_sq,,,,,,11.03,34.42,-27.07,13.96,35.29,-9.68,38.63,-9.70
RBS,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,1.65,2.02
RBS_sy,,,,,,,,,,,,3.08,7.91
RBS_qq,,,,,,,,,-13.54,,,,-13.22
RBS_sq,,,,,,,,,-4.54,,,,-0.07
ROPA,,,,,,,,,,,,,
ROPA_yy,,-1247.13,113.63,-294.12,,,204.17,,126.83,124.78,-10.91,102.04,2031.82
ROPA_sy,,32.80,24.30,2.40,,,69.80,,9.47,12.34,-39.91,-0.50,12.54
ROPA_qq,,,,,,-37.80,343.36,-46.55,-85.03,27.27,775.00,21.22,57.91
ROPA_sq,,,,,,-8.62,26.31,-8.29,3.42,-6.22,-32.44,51.84,16.97
ZNPO,,,,,,,,,,,,,
ZNPO_yy,,4300.44,-98.91,-58709.61,,,96.86,,-97.34,-97.51,70.83,-517.62,-769.36
ZNPO_sy,,257.57,-91.79,707.55,,,11.82,,-85.57,42.69,0.61,759.54,1265.50
ZNPO_qq,,,,,,27.53,-112.31,92.59,328.36,19.47,-244.34,-56.84,-147.49
ZNPO_sq,,,,,,-3.54,14.39,-85.78,-8.02,853.88,-19.34,21.46,46.12
ZFI,,,,,,,,,,,,,
ZFI_yy,,,221.93,125.25,,,-47.96,,141.37,-256.36,,,
ZFI_sy,,,146.18,-18.32,,,-46.46,,16.14,22.16,,,
ZFI_qq,,,,,,66.57,-2.47,-32.20,119.12,-207.90,,,
ZFI_sq,,,,,,13.33,-35.15,-3.54,63.81,19.20,,,
DTAR,,,,,,,,,,,,,
DTAR_yy,,15.13,-7.62,-59.76,,,-12.18,,42.94,36.11,41.09,26.48,14.44
DTAR_sy,,7.91,-3.06,-5.19,,,8.94,,7.43,5.61,3.35,-1.59,2.56
DTAR_qq,,,,,,7.62,-2.97,18.69,15.32,2.48,0.58,6.41,4.34
DTAR_sq,,,,,,1.60,1.19,2.10,2.34,-0.12,-0.98,-2.78,6.66
CG,,,,,,,,,,,,,
CG_yy,,-165.89,-938.69,100.55,,,-18.91,,83.82,72.16,82.57,56.91,32.66
CG_sy,,15.07,5.73,-13.07,,,10.13,,13.27,20.10,11.95,6.31,5.65
CG_qq,,,,,,12.07,-4.62,32.39,29.89,4.96,1.15,13.78,9.82
CG_sq,,,,,,-3.74,-0.21,3.59,13.84,2.06,-6.98,-1.63,13.14
LDER,,,,,,,,,,,,,
LDER_yy,,-158.58,-3334.86,101.25,,,16.70,,110.55,95.46,94.66,37.88,13.82
LDER_sy,,7.70,22.39,-18.31,,,-15.81,,44.47,31.91,32.02,4.48,-4.37
LDER_qq,,,,,,3.67,7.20,48.44,27.64,-3.76,6.76,5.14,5.36
LDER_sq,,,,,,14.32,-2.02,12.41,14.75,4.38,-1.93,-11.05,5.04
PZAT,,,,,,,,,,,,,
PZAT_yy,,,,933.23,,,-61.94,,-71.73,-69.41,-95.62,-93.39,-94.61
PZAT_sy,,,,18.11,,,-18.73,,9.26,5.64,11.13,10.17,-6.67
PZAT_qq,,,,,,5.50,-60.25,-28.40,-5.84,14.16,-94.32,8.18,-23.26
PZAT_sq,,,,,,0.49,-13.53,1.64,23.72,-2.84,-9.05,0.76,4.82
PELDR,,,,,,,,,,,,,
PELDR_yy,,,179.08,155.39,,,49.38,,37.99,38.46,60.50,61.94,60.48
PELDR_sy,,,-3.85,25.56,,,-5.44,,-6.87,-4.16,-3.18,-3.85,13.75
PELDR_qq,,,,,,-4.30,41.38,2.48,-0.47,-3.97,63.88,3.39,-1.37
PELDR_sq,,,,,,-0.52,-1.94,4.23,-8.41,2.37,-0.94,3.52,8.35
TSF,,,,,,,,,,,,,
TSF_yy,,-125.49,732.64,321.90,,,12.41,,-1.98,-2.67,-4.07,-9.12,-9.04
TSF_sy,,3.64,3.59,-6.16,,,2.67,,-5.35,-1.14,-7.75,-2.77,-5.62
TSF_qq,,,,,,-3.12,3.50,0.74,-2.96,-3.80,2.01,-4.56,-2.88
TSF_sq,,,,,,-1.13,-0.57,-1.26,-2.50,3.26,-7.21,4.08,-5.36
ZKO,,,,,,,,,,,,,
ZKO_yy,,17.98,27.37,-57.98,,,-21.47,,25.35,18.73,24.96,10.95,1.25
ZKO_sy,,5.66,13.95,-8.24,,,-6.43,,23.63,26.11,6.51,12.77,3.23
ZKO_qq,,,,,,8.34,-14.30,18.34,14.08,2.62,-9.80,5.07,4.10
ZKO_sq,,,,,,-1.81,17.51,-8.50,17.09,0.16,-0.74,-3.12,7.19
OSF,,,,,,,,,,,,,
OSF_yy,,,99.06,2895.19,,,13.30,,37.32,33.42,61.93,60.78,53.98
OSF_sy,,,30.43,-7.05,,,0.39,,3.47,-0.23,-8.78,5.95,20.89
OSF_qq,,,,,,2.67,19.10,7.09,4.87,-0.25,44.56,6.33,0.43
OSF_sq,,,,,,5.88,16.10,-13.63,-2.55,2.09,6.16,0.32,11.20
NetDebt,92000000,5432000000,15442729000,125236663000,103410097000,123769434000,121941914000,148169161000,169867636000,183228453000,212513530000,235459511000,243203312000
NetDebt_yy,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-111.42,544.03,-131.18,,,180.54,,473.23,507.95,55.64,-34.58,-93.35
NetDebtEBITDA_sy,,-13.33,-22.43,-12.57,,,45.88,,-8.52,-1.25,-5.54,-7.91,12.90
NetDebtEBITDA_qq,,,,,,20.65,136.15,103.06,540.80,-13.27,-86.21,-14.65,-34.83
NetDebtEBITDA_sq,,,,,,2.13,2.37,-6.96,-5.95,10.24,-2.08,-9.30,15.31
DebtFin,-17000000,173000000,6289500000,84220700000,62152984000,71073553000,75374057000,99642657000,121648185000,116795530000,133611080000,145656880000,145181749000
DebtFin_yy,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,
DebtFinEBITDA_yy,,98.03,5778.75,-151.48,,,174.03,,544.71,552.84,58.31,-39.83,-94.45
DebtFinEBITDA_sy,,26.33,-55.35,-49.56,,,320.76,,2.78,44.38,-34.13,-66.12,0.31
DebtFinEBITDA_qq,,,,,,24.19,138.91,120.93,582.39,-22.80,-86.40,-16.03,-37.11
DebtFinEBITDA_sq,,,,,,16.86,16.97,58.26,-52.49,64.16,-46.63,-18.60,40.66
SP1,,,,,,,,,,,,,
SP1_yy,,,99.26,6735.97,,,44.28,,9.54,12.37,29.58,44.91,52.10
SP1_sy,,,-17.36,31.47,,,8.09,,-7.44,-12.33,-10.56,-9.82,-4.68
SP1_qq,,,,,,-5.23,38.96,-9.51,-8.08,-2.78,60.24,1.20,-3.52
SP1_sq,,,,,,1.99,0.41,-2.45,-7.34,-3.40,2.44,-1.65,-2.05
SP2,,,,,,,,,,,,,
SP2_yy,,,152.40,282.51,,,49.76,,38.08,38.35,60.87,63.41,60.37
SP2_sy,,,-5.37,20.33,,,-0.01,,-4.54,-5.21,-11.91,-11.90,-3.50
SP2_qq,,,,,,-4.41,41.39,1.68,0.48,-4.23,64.41,3.28,-1.38
SP2_sq,,,,,,-0.47,2.62,2.78,-9.06,-1.17,-4.64,2.79,-0.39
CAR,,,,,,,,,,,,,
CAR_yy,,-72.89,345.13,-20.28,,,15.71,,23.51,49.65,37.39,-38.17,-28.66
CAR_sy,,20.27,12.84,1.27,,,39.80,,29.73,1.97,-5.89,-9.36,-12.65
CAR_qq,,,,,,-48.61,0.27,144.88,-2.11,-37.74,-7.94,10.20,12.95
CAR_sq,,,,,,10.47,19.40,15.55,-14.88,-13.16,10.20,11.29,-17.97
QR,,,,,,,,,,,,,
QR_yy,,-15.88,-20.70,-67.23,,,254.04,,22.36,21.69,13.22,-22.60,-0.32
QR_sy,,-5.77,14.79,-2.74,,,8.73,,28.04,52.87,-3.05,-15.69,-19.07
QR_qq,,,,,,-48.35,178.37,23.08,-30.85,-48.63,159.00,-15.86,-10.96
QR_sq,,,,,,-10.34,21.92,25.18,-6.43,7.05,-22.68,8.86,-10.19
CR,,,,,,,,,,,,,
CR_yy,,-15.88,-8.73,238.55,,,90.42,,1.47,0.97,-10.35,-29.31,-24.26
CR_sy,,4.50,-20.75,41.37,,,-9.11,,-14.00,-13.12,-11.67,-8.69,-1.38
CR_qq,,,,,,-16.86,37.57,5.19,-15.67,-17.27,22.14,-17.05,-9.63
CR_sq,,,,,,2.94,-6.91,3.78,-13.52,3.99,-5.36,7.28,-6.60
PP,,,,,,,,,,,,,
PP_yy,,-72.89,347.12,-19.35,,,15.34,,21.09,57.88,37.23,-37.06,-28.66
PP_sy,,7.23,11.40,1.17,,,25.24,,9.92,4.41,-0.95,-15.82,-1.13
PP_qq,,,,,,-49.07,0.48,142.98,-2.61,-33.60,-12.66,11.43,10.40
PP_sq,,,,,,6.61,8.11,25.91,-24.26,1.27,2.56,7.01,-11.04
RCLR,,,,,,,,,,,,,
RCLR_yy,,362.15,-18.66,-83.86,,,554.44,,35.28,-34.63,3.25,-16.34,42.35
RCLR_sy,,-18.24,30.63,13.95,,,-18.78,,-27.09,0.73,-7.71,60.25,55.83
RCLR_qq,,,,,,-39.23,413.10,-6.68,-53.51,-70.63,710.41,-24.39,-20.89
RCLR_sq,,,,,,15.49,-17.91,-9.57,-14.96,59.56,-24.78,57.02,-17.31
KP,,,,,,,,,,,,,
KP_yy,,-146.99,-106.97,506.28,,,39.37,,14.46,14.98,10.03,4.28,3.86
KP_sy,,28.98,-9.43,23.67,,,48.85,,-45.07,-40.67,-44.24,-36.68,54.38
KP_qq,,,,,,-5.84,23.33,1.38,-2.77,-5.41,18.01,-3.91,-3.16
KP_sq,,,,,,2.58,8.66,-0.98,-50.23,10.80,2.12,12.45,21.33
PKKO,,,,,,,,,,,,,
PKKO_yy,,,-82.31,-1784.70,,,-119.66,,103.44,-79.14,-12.62,-3.39,-49.94
PKKO_sy,,,-8.39,11.46,,,-30.48,,23.41,19.96,19.36,14.21,-11.41
PKKO_qq,,,,,,-13.63,-58.29,102.61,-26.69,-6024.38,0.49,102.24,-62.01
PKKO_sq,,,,,,7.79,-0.09,0.24,14.31,4.78,-0.58,-4.09,-11.34
RN,,,,,,,,,,,,,
RN_yy,,-78.73,25.70,99.93,,,-40.72,,-77.79,-71.83,-30.75,-4.48,54.92
RN_sy,,-26.94,22.28,-3.29,,,19.04,,-14.27,-10.16,-16.78,-9.11,-8.07
RN_qq,,,,,,13.43,-53.90,-29.63,-39.64,43.86,13.32,-2.93,-2.10
RN_sq,,,,,,-2.14,8.22,-16.28,-3.30,2.55,0.25,-8.57,-2.19
CRN,19000,91000,73000,36000,32000,28000,61000,87000,144000,100000,89000,91000,93000
CRN_yy,,378.95,-19.78,-50.68,,,69.44,,350.00,257.14,45.90,4.60,-35.42
CRN_sy,,26.87,-11.76,2.67,,,-15.58,,14.71,13.97,20.00,14.48,12.18
CRN_qq,,,,,,-12.50,117.86,42.62,65.52,-30.56,-11.00,2.25,2.20
CRN_sq,,,,,,,-4.41,11.54,7.59,-0.64,0.65,6.41,5.42
CPZ,110000,112000,110000,339000,201000,184000,202000,208000,337000,255000,204000,210000,205000
CPZ_yy,,1.82,-1.79,208.18,,,-40.41,,67.66,38.59,0.99,0.96,-39.17
CPZ_sy,,-10.61,-8.23,6.33,,,-6.70,,0.80,-16.71,13.43,12.12,2.11
CPZ_qq,,,,,,-8.46,9.78,2.97,62.02,-24.33,-20.00,2.94,-2.38
CPZ_sq,,,,,,5.85,-5.53,-12.23,14.85,-12.53,28.66,-13.25,4.59
RZ,,,,,,,,,,,,,
RZ_yy,,,,,,,,,,,,0.41,92.21
RZ_sy,,,,,,,,,,,,3.23,24.94
RZ_qq,,,,,,,,,24.07,,,,137.50
RZ_sq,,,,,,,,,-4.40,,,,15.70
CRZ,,,,,,,,7512000,6056000,,,7484000,3149000
CRZ_yy,,,,,,,,,,,,-0.37,-48.00
CRZ_sy,,,,,,,,,,,,-3.21,-20.12
CRZ_qq,,,,,,,,,-19.38,,,,-57.92
CRZ_sq,,,,,,,,,5.03,,,,-13.33
RMO,,,,,,,,,,,,,
RMO_yy,,16.89,12.04,-90.47,,,4.01,,-53.84,-43.00,-4.56,11.23,98.69
RMO_sy,,4.60,21.01,-4.34,,,-3.00,,4.97,6.12,10.98,14.00,12.96
RMO_qq,,,,,,8.25,-23.89,-9.22,-38.28,33.68,27.43,5.79,10.25
RMO_sq,,,,,,8.47,-3.13,-1.02,0.93,9.66,1.31,1.67,0.01
RMT,,,,,,,,,,,,,
RMT_yy,,,-93.26,-91.72,,,10.48,,-35.11,-9.14,60.90,97.90,273.23
RMT_sy,,,-25.01,31.67,,,33.26,,17.42,-2.86,25.23,-16.04,15.35
RMT_qq,,,,,,8.20,-16.15,2.92,-30.50,51.50,48.49,26.59,31.06
RMT_sq,,,,,,9.40,18.19,-4.90,-4.51,-9.49,52.37,-36.24,31.19
RM,,,,,,,,,,,,,
RM_yy,,14.06,-18.72,-90.87,,,6.03,,-48.98,-35.01,9.14,26.93,126.15
RM_sy,,18.32,-4.83,5.32,,,31.88,,-15.98,-17.64,4.29,1.44,32.80
RM_qq,,,,,,8.25,-21.49,-5.80,-36.27,37.90,31.84,9.56,13.54
RM_sq,,,,,,-12.63,19.86,-8.57,-12.25,-14.35,51.77,-11.07,14.88
COP,,,,,,,,7599000,6200000,,,7575000,3242000
COP_yy,,,,,,,,,,,,-0.32,-47.71
COP_sy,,,,,,,,,,,,-14.88,-28.55
COP_qq,,,,,,,,,-18.41,,,,-57.20
COP_sq,,,,,,,,,10.85,,,,-6.95
CSP,,,,,,,,7391000,5863000,,,7365000,3037000
CSP_yy,,,,,,,,,,,,-0.35,-48.20
CSP_sy,,,,,,,,,,,,-24.88,-33.52
CSP_qq,,,,,,,,,-20.67,,,,-58.76
CSP_sq,,,,,,,,,5.56,,,,-6.59
