,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
ShareAmountCurrent,18427220000,18427220000,18427220000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,14756228000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000,125183380000
WKCurrent,500,530,670,950,940,1100,0,1420,1560,1580,0,1510,6680,6740,0,880,8720,8660,0,1090,1120,1160,1190,1220,1270,1310,1370,1430,1500,1550,1630,1760,1830,1920,2029,2120,2210,2210,2400,2550,2630,2680
CWKCurrent,2580,2450,1940,1370,1380,1190,,910,830,820,,860,190,190,,1480,150,150,,1200,1160,1130,1090,1060,1020,990,950,910,870,840,800,740,710,680,640,610,590,590,540,510,490,490
WKGrahamCurrent,170,190,210,320,320,270,0,320,280,20,0,-90,-2770,-2660,0,-70,-2420,-2250,0,-260,-210,-210,-250,-190,-150,-100,-60,50,100,110,210,280,350,370,470,470,540,590,680,-1890,-1770,-1610
CWKGrahamCurrent,7830,6740,6270,4100,4040,4880,,4010,4640,62080,,,,,,,,,,,,,,,,,,28190,12600,11940,6170,4720,3760,3490,2760,2760,2390,2200,1900,,,
PCurrent,1650,1670,1790,2009,1860,1740,1630,1540,1540,1540,1610,1640,6380,10860,15070,290,20,1610,480,3130,3450,3760,4230,4840,5250,6070,6710,6800,7110,7310,7830,8290,8610,9340,9700,10250,10790,11000,11270,11330,11070,10380
CPCurrent,790,780,730,650,700,750,800,840,850,840,810,790,200,120,90,4530,54040,810,2720,420,380,350,310,270,250,210,190,190,180,180,170,160,150,140,130,130,120,120,120,110,120,130
ZCurrent,60,100,100,110,70,190,80,260,370,280,370,400,310,310,460,-1780,-1690,-1740,-210,50,70,100,100,120,140,160,200,250,280,280,300,330,340,370,400,370,380,380,370,430,430,470
CZCurrent,20280,13600,13460,11640,17470,6800,15510,5000,3480,4690,3480,3270,4260,4190,2820,,,,,25060,17690,13480,12460,10640,9540,8270,6430,5120,4720,4590,4280,3930,3850,3490,3250,3520,3470,3440,3520,3030,3050,2740
ZOCurrent,60,120,120,140,90,80,60,30,20,-20,-20,-60,70,240,490,-70,80,160,30,110,130,140,130,190,220,270,360,390,410,450,470,510,530,570,610,630,650,650,660,750,780,870
CZOCurrent,20530,10950,10460,9220,14880,15700,21820,46900,58130,,,,19900,5490,2630,,15790,8380,51390,11340,10350,9290,10370,6890,5820,4830,3650,3360,3190,2900,2760,2570,2440,2300,2140,2050,1990,2000,1970,1730,1660,1490
EVCurrent,1230,1230,1230,1250,1240,1260,1300,1200,1260,1270,1300,1400,6480,6080,1300,1690,7960,8510,1300,2200,2180,2210,2250,2370,2280,2510,2400,2580,2670,2780,3080,2980,2940,3450,3550,3620,3660,3750,3760,4830,4820,4710
EVPCurrent,750,740,690,620,660,720,800,780,820,820,810,860,1020,560,90,5880,330750,5290,2720,700,630,590,530,490,430,410,360,380,380,380,390,360,340,370,370,350,340,340,330,430,440,450
