,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_yy,,8.07,19.41,,189.03,,,,-4.70,7.72,8.38,,-3.52,-1.55,-6.61,,5.94,4.72,4.74,,-3.24,-2.89,-3.30,,7.04,7.95,4.60,3.84,4.56,7.75,12.72,13.33,12.52,13.63,15.20,12.14,1.76,-0.77,-8.21,-2.85,-9.09,-5.49,-2.26,-8.19,-1.97,-7.47,-5.40
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,,-12.01,0.67,-100.00,,-0.55,1.29,-100.00,,1.48,-3.92,-100.00,,0.31,-3.90,-100.00,,0.67,-4.31,4.04,6.80,1.52,-7.28,3.28,7.55,4.62,-3.00,3.84,6.77,5.66,-1.66,1.08,-3.11,3.03,-9.04,6.99,-9.34,7.11,-5.92,0.49,-3.19,1.10,-3.83
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-7.47,-16.25,,-65.40,,,,4.93,-7.18,-7.73,,3.65,1.58,7.08,,-5.61,-4.50,-4.52,,3.36,2.97,3.41,,-6.58,-7.36,-4.39,-3.70,-4.37,-7.20,-11.29,-11.76,-11.12,-11.99,-13.19,-10.83,-1.72,0.78,8.95,2.94,10.00,5.80,2.30,8.92,2.01,8.08,5.72
CWKCurrent_sy,,-42.14,-15.03,,-14.56,,,,-0.19,-8.23,-8.37,,2.74,-2.47,-10.41,,-21.06,-8.30,2.83,,-12.77,-13.48,-18.33,,11.36,-0.25,3.31,-8.38,5.89,5.81,10.21,10.38,-2.71,4.24,1.05,1.96,1.24,1.60,7.06,7.26,9.04,5.80,1.92,3.39,-0.18,3.66,5.72
CWKCurrent_qq,,,,,,13.66,-0.67,,,0.55,-1.26,,,-1.46,4.08,,,-0.30,4.06,,,-0.67,4.50,-3.88,-6.37,-1.49,7.85,-3.19,-7.02,-4.41,3.09,-3.70,-6.35,-5.34,1.69,-1.08,3.22,-2.94,9.93,-6.54,10.31,-6.65,6.30,-0.50,3.31,-1.09,3.98
CWKCurrent_sq,,,,,,2.63,3.14,,,-5.64,2.99,,,-10.43,-5.40,,,4.04,6.08,,,3.19,0.14,9.25,-1.36,-7.57,3.72,-3.12,14.01,-7.64,8.03,-2.97,0.49,-1.04,4.73,-2.10,-0.21,-0.69,10.35,-1.92,1.44,-3.63,6.30,-0.50,-2.07,0.08,8.41
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
