,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
ShareAmountCurrent,3224245000,4799245000,4799245000,6439245000,6339245000,6339245000,9508868000,10408868000,10408868000,13800641000,17975641000,17975641000,17975641000,17975641000,17975641000,17975641000,22975641000,22975641000,22975641000,22975641000,8500987000,8500987000,8500987000,15520845000,13484309000,14832740000,43300557000,43300557000,49634287000,49634287000,49634287000,49634287000,39707430000,39707430000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,39707400000,9926850000,9926850000,9926850000
WKCurrent,4900,1160,320,200,0,1290,9450,2630,0,6450,4870,4840,0,4590,4780,4590,0,1010,150,-210,0,3760,3270,4520,0,4780,5770,5630,0,4660,4690,4750,5960,2390,6010,2400,2400,2420,2440,2460,2480,2420,2440,2470,2500,2210,2250,2050,2150,-1500,-1910,-1410
CWKCurrent,100,430,1560,2480,,390,50,190,,80,100,100,,110,100,110,,500,3270,,,130,150,110,,100,90,90,,110,110,110,80,210,80,210,210,210,200,200,200,210,210,200,200,230,220,240,230,,,
WKGrahamCurrent,-8620,-7170,-3900,-2780,0,-2090,1300,90,0,900,650,420,0,-190,-150,-140,0,-3170,-2910,-3030,0,-8370,-9420,-1930,0,-2580,-560,-220,0,-830,-570,-450,-600,-690,1010,-410,-400,-280,-250,-230,-210,-220,-200,-150,-110,-350,-320,-510,-460,-6470,-6820,-6230
CWKGrahamCurrent,,,,,,,380,5330,,560,770,1200,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,
PCurrent,35950,10730,10800,11300,11510,11230,8990,7070,6730,5770,4410,5620,6160,6380,6120,5880,4000,3620,3330,3210,9190,7910,7280,3590,3630,3250,1030,770,430,580,780,1100,1700,1570,1710,1980,2460,3120,3310,3330,3610,3390,3480,3650,3490,3530,3410,3260,3270,12100,11800,9700
CPCurrent,10,50,50,40,40,40,60,70,70,90,110,90,80,80,80,90,120,140,150,160,50,60,70,140,140,150,480,650,1160,860,640,460,290,320,290,250,200,160,150,150,140,150,140,140,140,140,150,150,150,40,40,50
ZCurrent,-5480,-3140,-2770,-1740,-1670,160,110,110,110,90,-30,-20,-20,240,320,360,150,-2450,-2910,-3100,-8680,-5380,-4690,-2750,-3120,-1560,-520,-770,-900,-640,-520,-170,190,70,30,0,0,30,50,60,70,0,0,10,30,-160,-140,-300,-280,-10120,-10990,-9980
CZCurrent,,,,,,3200,4620,4390,4590,5870,,,,2110,1560,1380,3230,,,,,,,,,,,,,,,,2670,7130,18430,397070,144920,16450,9870,8070,6760,189080,,49630,16940,,,,,,,
