,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PZAT,,15280,7660,12030,17570,17800,16690,23110,25350,29490,34880,37930,41500,48890,54530,18140,18590,22090,23960,60290,28040,36370,41670,57980,64230,76180,5890,46030,98960,77900,,,,,,,,,,,,,,,,,,
PELDR,,1130,1570,2400,1850,1790,1630,1430,1380,1300,1160,1120,1120,1130,1070,1090,1120,1170,1140,1140,1180,1190,1170,1160,1150,1230,1380,1210,1230,1240,,,2073330,1460,810,1760,19520,313430,233260,450920,1883830,1113220,,,,30330,10204000,1510
TSF,,660,820,830,780,900,840,880,880,890,860,840,830,880,820,800,800,880,840,790,810,850,810,720,690,760,830,710,690,770,,,990,980,790,720,570,570,610,610,980,930,,,,960,960,960
ZKO,630,1180,540,310,430,260,390,380,400,430,650,740,760,640,870,940,850,640,750,770,700,630,700,790,810,670,690,740,730,630,,680,110,1200,30110,590,440,430,470,480,90,70,10,0,0,40,40,110
OSF,700,1080,760,710,760,450,620,530,530,540,730,800,820,700,900,960,900,710,810,840,790,720,790,890,910,800,830,880,880,770,,680,198070,1080,14950,940,8640,135120,94850,185270,155690,81140,19560,10960,12290,1260,437440,170
NetDebt,1272000000,7482000000,2514000000,-11705000000,-5848000000,-10650000000,-4790000000,1547000000,1910000000,2183000000,7484000000,8197000000,9823000000,6492000000,10106000000,12568000000,12437000000,6898000000,9411000000,11825000000,11586000000,9406000000,9748000000,15984000000,18670000000,13377000000,14131000000,16861000000,16242000000,10223000000,,48000000,-5584000000,824000000,6108000000,-2563000000,-3765000000,-4102000000,-4408000000,-4428000000,-10274000000,-9940000000,-9861000000,-10803000000,-10752000000,-9953000000,-9905000000,-3423000000
NetDebtEBITDA,870,1220,290,-1280,-630,-1160,-520,190,370,770,4160,9310,12050,6930,37290,9590,5080,1870,2430,2780,2490,2820,2430,4520,5640,3800,3940,4940,7310,7320,,20,-2660,630,-22620,11490,28520,17460,17850,13340,25750,32810,28010,-14520,32780,13340,13260,2009
DebtFin,-344000000,-734000000,-3788000000,-6390000000,-4355000000,-17840000000,-16054000000,-6146000000,-5624000000,-4728000000,-1288000000,-1492000000,-330000000,-299000000,-212000000,-576000000,-983000000,-1188000000,-461000000,-220000000,-764000000,-119000000,-1826000000,-1808000000,-1564000000,6405000000,-419000000,-506000000,-1523000000,3030000000,,-12000000,-3089000000,3037000000,3055000000,-18000000,,3060000000,699000000,-35000000,-135000000,723000000,-1570000000,-3061000000,-3003000000,-582000000,-531000000,-707000000
DebtFinEBITDA,-240,-120,-440,-700,-470,-1950,-1750,-770,-1100,-1670,-720,-1700,-400,-320,-780,-440,-400,-320,-120,-50,-160,-40,-460,-510,-470,1820,-120,-150,-690,2170,,0,-1470,2320,-11310,80,,-13020,-2830,110,340,-2390,4460,-4110,9160,780,710,410
SP1,1110,910,1410,2300,1770,1720,1570,1380,1330,1250,1120,1090,1080,1100,1040,1020,1060,1110,1080,1090,1140,1140,1130,1120,1120,1200,1200,1190,1200,1220,215360,1000,1876330,900,500,1580,19490,311790,201130,386420,1746670,1112000,3309000,2717500,3601330,30320,10197000,1510
SP2,1110,980,1540,2380,1830,1780,1630,1420,1370,1290,1150,1110,1110,1120,1060,1080,1110,1160,1120,1110,1170,1170,1150,1140,1130,1210,1360,1210,1210,1230,215360,1000,2073330,1460,810,1760,19520,312500,232830,450920,1883830,1113220,3309000,2717500,3601330,30330,10204000,1510
CAR,210,100,820,690,320,3170,1700,980,910,830,170,170,40,50,20,50,90,190,60,20,70,10,170,110,80,80,40,30,80,150,,200,42320,10,0,10,,0,0,10,670,20,26610,69570,81160,1350,1180,1640
QR,1300,350,1580,3080,2040,4010,2280,1960,1780,1880,910,770,720,940,680,760,870,1190,970,730,1040,1140,950,670,600,710,1130,790,810,870,,1470,86160,16680,80,2140,2260,2310,2580,2550,56930,13900,169200,247950,292920,24130,23670,9010
