,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
ShareAmountCurrent,6220101000000,6220101000000,6220101000000,6220101000000,6220101000000,28252782000,28252782000,28252782000,28252782000,28252782000,28252782000,28676521000,28698624000,28698624000,28809752000,28835727000,28835727000,28903980000
WKCurrent,20,10,10,40,40,12320,12110,12100,12380,12480,12990,13680,13780,13200,13520,13890,14250,13960
CWKCurrent,3388420,4723480,4614450,1381940,1373350,4220,4290,4300,4200,4170,4000,3800,3770,3940,3850,3740,3650,3720
WKGrahamCurrent,10,0,0,-40,-40,-5720,-6370,-9930,-10480,-11340,-10790,-11190,-10770,-11850,-11350,-11520,-11410,-12100
CWKGrahamCurrent,9334100,71558690,,,,,,,,,,,,,,,,
PCurrent,30,10,10,30,40,9440,10350,11520,12270,13080,13950,14480,14990,15340,15650,16149,16640,17340
CPCurrent,1811050,8001910,8439980,1612630,1351970,5510,5020,4510,4240,3980,3730,3590,3470,3390,3320,3220,3120,3000
ZCurrent,0,0,0,0,0,460,310,150,460,590,1040,1870,1650,1630,1750,1230,1420,1620
CZCurrent,15307390,44521030,199904360,85296740,55138980,113700,170410,339140,112790,88790,50100,27740,31480,31890,29710,42450,36650,32030
ZOCurrent,0,0,0,0,10,1530,1820,2260,2400,2610,2720,2820,2610,2600,2750,2730,3070,3270
CZOCurrent,12958540,35481050,199411380,13559370,8867590,33920,28640,22970,21680,19930,19090,18440,19890,19980,18930,19070,16950,15910
EVCurrent,52000,52000,52000,52030,52030,55850,55620,58450,58570,58770,57970,57880,57390,57760,58290,57910,60570,60000
EVPCurrent,1811010,8001890,8439890,1613570,1352730,5920,5370,5070,4770,4490,4150,4000,3830,3760,3720,3590,3640,3460
EVEBITCurrent,12958200,35480940,199409380,13567310,8872590,36430,30630,25820,24410,22530,21280,20530,21950,22200,21210,21240,19740,18360
EVEBITDACurrent,7971530,26414390,66813050,7251660,5280790,22520,19770,17490,16379,15150,14100,13470,13670,13420,12870,12600,12160,11560
DTAR,290,90,140,570,560,460,470,520,530,540,530,520,510,540,520,530,540,560
CG,410,100,170,1390,1350,880,930,1150,1160,1230,1160,1130,1110,1250,1120,1180,1180,1310
LDER,10,,20,1060,980,630,660,860,860,920,870,840,800,880,710,770,790,820
PZAT,41650,,3270,200,210,230,230,180,170,160,170,180,180,180,220,210,180,180
PELDR,1590,,1080,990,970,1090,1060,1000,980,980,1000,990,990,970,910,940,990,970
TSF,720,,840,840,820,850,850,850,840,850,850,850,840,820,790,790,820,780
ZKO,530,590,1040,3820,3800,2120,2310,3510,3700,3850,3550,3620,3390,3590,4040,3350,3140,2940
OSF,830,630,1100,1840,1860,1420,1480,1880,1960,1970,1890,1950,1860,1850,2150,1780,1730,1560
NetDebt,29296000000,5549000000,8423000000,293077000000,289300000000,223095000000,235264000000,343339000000,368078000000,395635000000,371542000000,398321000000,385779000000,423377000000,404246000000,427536000000,423773000000,455072000000
NetDebtEBITDA,720,450,1740,6570,4720,3180,2960,3640,3640,3610,3200,3230,3200,3430,3100,3230,2950,3030
DebtFin,-8471000000,-1026000000,-3254000000,189264000000,182426000000,108788000000,102291000000,182120000000,185493000000,191271000000,168673000000,168624000000,154727000000,165349000000,181086000000,170406000000,246979000000,231312000000
DebtFinEBITDA,-210,-80,-670,4240,2980,1550,1290,1930,1840,1740,1450,1370,1280,1340,1390,1290,1720,1540
SP1,1570,1070,1060,480,490,670,640,540,530,510,530,540,550,520,530,530,550,530
SP2,1590,1070,1080,990,970,1090,1060,1000,980,980,1000,990,990,970,910,940,990,970
CAR,260,160,340,400,330,950,900,500,360,340,510,400,430,350,190,280,380,370
QR,1940,1690,1090,1100,950,1660,1510,1130,1040,1040,1150,1080,1060,950,680,850,980,900
CR,1950,1690,1090,1100,950,1660,1510,1130,1040,1040,1150,1080,1060,950,680,850,980,900
PP,260,160,340,400,330,950,900,500,360,340,510,400,430,350,190,280,380,370
RCLR,1640,1530,740,700,620,710,600,630,680,700,640,680,630,600,490,570,600,530
KP,270,60,10,10,-10,90,70,20,10,10,20,10,10,-10,-60,-30,0,-20
PKKO,-2300,-1440,-280,-380,170,-2150,-1640,-420,-120,-130,-400,-220,-170,140,970,460,40,360
RN,2870,4010,4780,3390,4420,4710,5200,5570,5510,5570,5700,5700,5810,5790,5730,5600,5480,5380
CRN,127000,91000,76000,108000,83000,77000,70000,66000,66000,66000,64000,64000,63000,63000,64000,65000,67000,68000
CPZ,78000,59000,103000,152000,126000,115000,107000,102000,101000,100000,96000,95000,95000,99000,107000,114000,118000,124000
RZ,,,,,,,,,,,,,,,,,,
CRZ,,,,,,,,,,,,,,,,,,
RMO,2420,3640,3280,2350,2840,2560,2600,2730,2760,3130,3480,3580,3560,3500,3680,3650,3590,3440
RMT,2940,630,580,420,490,540,580,600,590,590,590,600,610,610,620,630,650,670
RM,1330,540,450,360,420,440,470,490,490,490,500,510,520,520,530,540,550,560
COP,,,,,,,,,,,,,,,,,,
CSP,,,,,,,,,,,,,,,,,,
