,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,,,,,-50.00,-50.00,-50.00,,,,,,,,,,,,,,100.00,300.00,3510200.00,,34200.00,4700.00,-99.61,,-67.93,437.50,63.97,,-7.73
CPCurrent_sy,,,,,,,,-19.90,-23.86,-16.94,,,,,,,,,,,,,,71.39,2.36,31.87,,-37.48,42.41,-35.00,,3.44,-26.42,-25.28,,0.68
CPCurrent_qq,,,,,,,-50.00,,,,,,,,,,,,,,,,,100.00,100.00,877475.00,,,-72.01,-29.17,,,369.09,-78.39,-8.97,
CPCurrent_sq,,,,,,,-17.38,,,,,,,,,,,,,,,,,67.46,-39.55,86.77,,,37.69,-14.75,,,-2.05,-13.44,17.35,
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-250.00,219.66,,,347.44,,599.74,2860.65,-20.04,-18.07,84.07,107.90,86.74,68.99,84.29,-1.11,45.99,46.18,-25.47,-21.90,22.80,-10.06,-10.68,12.97,-338.85,-606.15,-891.55,-929.89,29.56,97.36,115.09,121.30,103.10,124.46,-99.68
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,-133.07,2862.22,21.18,-36.79,30.48,-19.99,24.17,42.00,47.37,-28.14,12.37,54.86,-20.92,6.09,12.51,-21.05,-17.13,66.80,-17.59,-21.59,4.81,-452.67,-74.64,-22.62,-9.89,70.06,93.45,800.90,55.11,-95.64,-48.39,-90.81
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,-77.66,,-85.71,,24.62,22.22,-45.88,-52.31,-45.68,-40.91,-45.65,3.23,-31.82,-30.77,36.00,28.12,-20.00,11.11,11.76,-12.20,,,,,,,,,,,30615.62
