,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QR,930,820,890,3220,4270,,3280,4019,3580,,3440,3910,3310,,3250,2050,1940,,1590,1990,2060,,2130,1850,2250,2210,2100,1960,2400,2160,1990,1890,2200,2170,1930,2340,2490,2390,2060,3540,4470,3200,3500,3440,3810,4190,5100,3250,4440
CR,1020,1060,1150,3460,4570,,3610,4370,3800,,3590,4040,3400,,3300,2100,2050,,1680,2180,2240,,2250,2000,2460,2380,2230,2150,2500,2250,2040,2009,2350,2230,1980,2420,2570,2470,2140,3670,4660,3370,3640,3530,3950,4280,5270,3300,4540
PP,200,10,30,2130,2790,,2160,2550,2080,,2050,2500,2200,,2110,1160,890,,530,710,650,,830,670,750,780,840,660,830,700,720,900,950,890,800,780,800,620,1100,1460,2290,1430,1480,1680,1900,2040,2610,1740,2780
RCLR,720,810,680,890,1280,,1110,1430,1470,,1350,1360,1070,,1090,850,1020,,1030,1250,1390,,1260,1160,1470,1390,1210,1230,1460,1410,1190,950,1180,1150,1090,1520,1650,1740,920,2029,2090,1720,1940,1690,1850,2090,2370,1450,1600
KP,20,50,110,670,710,,670,720,590,,580,610,560,,560,330,280,,240,340,360,,340,320,320,310,330,340,290,280,300,290,320,330,320,390,390,400,370,470,490,470,480,450,460,480,520,480,530
PKKO,10,20,40,740,610,,510,520,420,,430,440,400,,440,290,210,,170,210,210,,210,210,180,180,210,220,160,170,200,200,200,200,230,250,230,250,250,270,280,280,310,300,300,320,380,380,380
RN,6410,6010,9360,8470,7640,6950,6670,6260,6100,6430,6120,6040,6160,5870,6100,6480,6560,6610,6410,6080,5600,5880,5740,5650,5970,6150,6280,6560,6820,6690,6680,6880,6880,7240,7060,6610,6130,5350,5530,5750,5970,6730,6570,6460,6510,6520,6560,6670,7070
CRN,57000,61000,39000,43000,48000,53000,55000,58000,60000,57000,60000,60000,59000,62000,60000,56000,56000,55000,57000,60000,65000,62000,64000,65000,61000,59000,58000,56000,54000,55000,55000,53000,53000,50000,52000,55000,60000,68000,66000,64000,61000,54000,56000,56000,56000,56000,56000,55000,52000
CPZ,79000,75000,52000,55000,52000,57000,51000,46000,45000,43000,42000,43000,47000,49000,51000,57000,57000,57000,59000,55000,54000,52000,49000,51000,48000,46000,45000,43000,41000,42000,42000,44000,46000,45000,48000,45000,45000,46000,47000,43000,40000,37000,29000,31000,31000,30000,28000,29000,29000
RZ,36040,14130,25830,22260,21610,19080,19910,19350,21760,22710,29240,40490,49720,47220,61760,81100,70250,70870,61110,45430,41650,43400,40000,39330,38530,40140,40640,39360,46290,52710,63530,109590,95240,106000,101340,93300,107050,93230,83640,84370,74750,67290,67650,67970,70570,85670,88930,100510,118870
CRZ,10000,26000,14000,16000,17000,19000,18000,19000,17000,16000,12000,9000,7000,8000,6000,5000,5000,5000,6000,8000,9000,8000,9000,9000,9000,9000,9000,9000,8000,7000,6000,3000,4000,3000,4000,4000,3000,4000,4000,4000,5000,5000,5000,5000,5000,4000,4000,4000,3000
RMO,4530,4590,6380,3360,2560,2140,1880,1910,2060,2180,2220,2210,2120,2020,2000,2260,2640,2660,3220,3440,3380,3550,3370,3320,3450,3570,3610,3750,3880,3870,3940,3870,3740,3760,3620,3670,3590,3370,3280,3310,3190,3250,3370,3200,3240,3210,3090,3070,3040
RMT,63600,32770,26180,25620,23690,23030,24300,24300,16550,17460,12330,9310,8780,8360,8130,6300,4990,5030,4580,4840,5440,5710,5670,5700,5160,5000,5000,5150,5090,4930,4990,4600,4710,5160,5340,5970,6370,6480,6710,6650,6340,6390,6290,5820,5850,5560,5220,5600,5920
RM,4230,4019,5130,2970,2310,1960,1740,1770,1830,1940,1880,1790,1710,1630,1610,1660,1730,1740,1890,2009,2090,2190,2110,2100,2070,2080,2100,2170,2200,2170,2200,2100,2080,2180,2160,2270,2300,2220,2200,2210,2120,2150,2200,2060,2090,2040,1940,1980,2009
COP,67000,87000,53000,59000,65000,72000,73000,77000,77000,73000,72000,69000,66000,70000,66000,61000,61000,60000,63000,68000,74000,70000,73000,74000,70000,68000,67000,65000,62000,62000,61000,56000,57000,53000,56000,59000,63000,72000,70000,68000,66000,59000,61000,61000,61000,60000,60000,59000,55000
CSP,-12000,12000,1000,4000,13000,15000,22000,31000,32000,30000,30000,26000,19000,21000,15000,4000,4000,3000,4000,13000,20000,18000,24000,23000,22000,22000,22000,22000,21000,20000,19000,12000,11000,8000,8000,14000,18000,26000,23000,25000,26000,22000,32000,30000,30000,30000,32000,30000,26000
